File Name:	PMMA_CN_6mm_60Kmin_4mg_R1.txt	Version: 8.3.7.3						
Date:	02 Aug 2024							
Operator:	-							
Test ID:	PMMA_CN_6mm_4mg_60K_R1							
Sample ID:	PMMA_6mm_4mg_R1							
Sample Mass (mg):	4.0500							
Sample Cup Mass (mg):	184.4700							
End Total Mass (mg):								
Heating Rate (C/s):	1.0000							
Combuster Temperature (C):	900.0							
N2 Flow Rate (cc/min):	80.0							
O2 Flow Rate (cc/min):	20.0							
Calibration File:	Coeff.txt							
T Correction Coefficients:	0.308738730	0.013615500	0.000000000					
Time Shift (s):	10.0							
Pre-Test Comments:								
Post-Test Comments:								
Baseline Flow:	99.761							
Baseline O2:	20.276							
Instrument ID:	2700							
----------exported parameters----------
Date:	07 Okt 2024
T Onset (°C):	297.104
T Burn (°C):	417.034
Peak Temperature (°C):	386.719
Heating Rate (°C/s):	1.0101234347045651
FGC (kJ/(gK)):	6.725926549441123
HR Capacity (J/g-K):	TODO
75.501	138.513	80.057	19.997	100.385	0.013033563374591495	1.1886525898006068	1.06	899.166
76.0	139.007	80.055	19.998	100.38	0.014859047434178763	1.1180484779366853	1.051	899.155
76.5	139.546	80.054	19.997	100.373	0.012684181762423918	1.346453175467826	1.034	899.166
77.0	140.058	80.054	19.996	100.371	0.012509316090667966	1.3288578729989668	1.051	899.157
77.5	140.574	80.056	19.996	100.367	0.01133445041891079	1.4292625705301076	1.027	899.151
78.001	141.081	80.056	19.995	100.367	0.012159235015811731	1.3656760774563108	1.022	899.165
78.501	141.63	80.054	19.996	100.372	0.01098436934405811	1.3680807749874515	1.056	899.117
79.001	142.119	80.054	19.996	100.372	0.01580950367230116	0.9884854725185924	1.039	899.168
79.501	142.665	80.055	19.996	100.367	0.011634638000547426	1.2498901700497331	1.035	899.167
80.001	143.207	80.054	19.997	100.368	0.00845977232879136	1.5032948675808737	1.087	899.19
80.501	143.737	80.055	19.997	100.37	0.010284906657034298	1.2626995651120145	1.072	899.153
81.001	144.23	80.056	19.997	100.368	0.014110040985279682	1.0411042626431555	1.024	899.162
