General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,94200;0,04800;-0,023000;109,375;100,01;0,0000;0,000;100,956;29,500;0,000;344,150;347,750;27,00;1141,950;263,164;0,000;858,100;884,500;863,800;326,450;;;;;0,00;0,00;0,00;3,00;2,94;15,326;27,402;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,2586;;;-0,00083351;-0,00083351;-0,00178;0,94959;0,0003;24,635796;0,000051;24,005714;24,256827;0,0000;0,0011;0,00;0,00;0,00;0,00;-0,07;;;;0,0025865;20,94400;0,04600;-0,01300;0,0000340;;67,35;0,00;;;
Standard used;ISO 5660-1;1;20,94100;0,04800;-0,007000;107,625;100,00;0,0000;0,000;100,950;29,500;0,000;344,150;347,650;27,00;1141,783;263,164;0,000;857,800;884,400;863,700;326,450;;;;;0,00;0,00;0,00;3,00;2,94;15,339;27,416;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00333468;0,00333468;-0,00068;-0,23544;0,0003;24,437914;0,000105;23,812894;24,055071;0,0000;0,0022;0,00;0,00;0,00;0,00;-0,07;;0,000;0,000;0,0000000;20,94400;0,04600;-0,00800;-0,0000292;;67,35;1,00;;;
Date of test;24.07.2026;2;20,94000;0,04800;-0,004000;112,150;100,03;-0,0100;0,000;100,958;29,500;0,000;344,150;347,650;27,00;1139,350;263,164;0,000;850,600;884,400;863,600;326,550;;;;;0,00;0,00;0,00;3,00;2,94;15,355;27,402;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,02416738;0,02416738;0,00040;-0,04896;0,0003;24,946360;-0,000135;24,308336;24,555551;0,0000;-0,0029;0,00;0,00;0,00;0,00;-0,13;;0,000;0,000;0,0000000;20,94600;0,04500;-0,00300;-0,0002007;;67,34;2,00;;;
Time of test;13:21;3;20,94000;0,04800;-0,009000;105,200;100,00;-0,0400;0,000;100,950;29,500;0,000;344,050;347,450;27,00;1137,350;263,164;0,000;845,000;884,200;863,400;326,550;;;;;0,00;0,00;0,00;3,00;2,94;15,349;27,437;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,01083120;0,01083120;0,00124;-0,07168;0,0003;24,164539;0,000145;23,539669;23,772295;0,0000;0,0030;0,00;0,01;0,00;0,00;-0,10;;0,000;0,000;0,0000000;20,94500;0,04600;0,00100;-0,0002036;;67,31;3,00;;;
Heat flux (kW/m²);75;4;20,94200;0,04700;0,006000;106,550;100,01;-0,0300;0,000;100,950;29,500;0,000;343,950;347,450;27,00;1135,517;263,164;0,000;840,000;884,000;863,100;326,550;;;;;0,00;0,00;0,00;3,00;2,94;15,299;27,418;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;-0,00833448;-0,00833448;0,00061;0,13841;0,0003;24,322628;0,000008;23,686783;23,927817;0,0000;0,0002;0,00;0,01;0,00;0,00;-0,12;;0,000;0,000;0,0000000;20,94600;0,04500;-0,00200;-0,0002133;;67,32;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,94200;0,04700;0,018000;111,425;100,00;-0,0300;0,000;100,958;29,500;0,000;343,950;347,350;27,00;1134,283;263,164;0,000;836,700;883,800;862,900;326,550;;;;;0,00;0,00;0,00;3,00;2,94;15,311;27,418;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;-0,00069;-Infinity;0,0003;24,872824;0,000168;24,222596;24,462040;0,0000;0,0036;0,00;0,01;0,00;0,00;-0,10;;0,000;0,000;0,0000000;20,94500;0,04500;-0,00800;-0,0000770;;67,32;5,00;;;
Sampling interval (s);1;6;20,94200;0,04700;-0,002000;110,000;99,99;-0,0300;0,000;100,950;29,500;0,000;343,850;347,250;27,00;1133,450;263,164;0,000;834,700;883,600;862,600;326,550;;;;;0,00;0,00;0,00;3,00;2,94;15,269;27,418;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00583458;0,00583458;0,00258;-0,26572;0,0003;24,716858;0,000222;24,063708;24,301651;0,0000;0,0047;0,00;0,01;0,00;0,00;-0,13;;0,000;0,000;0,0000000;20,94600;0,04400;0,00700;-0,0003146;;67,32;6,00;;;
Separation (mm);25;7;20,94300;0,04700;-0,015000;108,875;99,96;-0,0400;0,000;100,950;29,500;0,000;343,750;347,050;27,00;1132,783;263,164;0,000;833,100;883,400;862,400;326,550;;;;;0,00;0,00;0,00;3,00;2,95;15,355;27,413;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0947;;;0,00583458;0,00583458;-0,00221;-0,19991;0,0004;24,593717;0,000503;23,936859;24,166653;0,0001;0,0107;0,00;0,03;0,00;0,00;-0,10;;0,007;0,014;0,0009470;20,94500;0,04500;-0,01500;0,0000116;;67,31;7,00;;;
Orientation;hor;8;20,94300;0,04700;-0,003000;108,100;99,91;-0,0400;0,000;100,950;29,500;0,000;343,850;347,250;27,00;1132,117;263,164;0,000;831,600;883,200;862,100;326,550;;;;;0,00;0,00;0,00;3,00;2,95;15,297;27,437;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,5859;;;-0,00083351;-0,00083351;0,00104;-4,45238;0,0009;24,502465;0,001010;23,854981;24,090860;0,0002;0,0213;0,00;0,05;0,00;0,00;0,09;;0,048;0,014;0,0058606;20,93800;0,05800;0,00000;0,0000801;;67,31;8,00;;;
