General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
Additional preparation details;;14;20,95100;0,04600;-0,012000;98,425;95,28;-0,4600;0,000;100,888;30,500;0,000;337,050;344,150;27,40;1132,450;263,196;0,000;834,500;883,100;860,300;314,350;;;;;0,00;0,00;0,00;3,00;3,34;15,646;26,532;0,61;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;496,8550;18,81875;37,0621;0,26499812;0,26499812;-0,00053;1,74644;1,6169;23,614947;0,048657;22,536247;23,010975;0,0098;0,9785;0,02;1,89;0,00;0,46;37,73;;97,710;70,866;4,9869341;19,50200;1,32600;-0,00700;0,0712577;;67,85;14,00;;;
;;15;20,95000;0,04700;-0,016000;90,200;91,35;-0,6300;0,000;100,888;30,500;0,000;340,750;352,250;27,40;1132,650;263,196;0,000;835,200;883,000;860,300;314,350;;;;;0,00;0,00;0,00;3,00;3,34;15,645;26,513;0,61;0,55;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;540,1916;37,60768;123,8704;0,14417013;0,14417013;0,00208;3,40020;2,1571;22,483648;0,090788;21,692165;22,424256;0,0179;1,7793;0,04;3,67;0,00;0,49;40,95;;125,765;126,253;5,4219032;19,29900;1,47000;0,00600;0,0814587;;67,68;15,00;;;
Specimen;;16;20,95100;0,04600;-0,023000;87,850;88,59;-0,8100;0,000;100,888;30,500;0,000;345,350;361,750;27,40;1132,583;263,196;0,000;835,100;883,000;860,200;314,350;;;;;0,00;0,00;0,00;3,00;3,34;15,610;26,518;0,61;0,53;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;570,0294;18,60577;78,2329;0,30750593;0,30750593;0,00048;1,72190;2,7271;22,040558;0,121483;21,551739;22,575189;0,0241;2,3968;0,06;6,07;0,00;0,53;43,38;;152,599;126,253;5,7213850;19,16600;1,61500;-0,00200;0,0877429;;67,50;16,00;;;
Sample description;PMMA_CN_6mm_q75_Al2O3_R3;17;20,95200;0,04700;-0,020000;90,300;88,31;-1,2100;0,000;100,888;30,500;0,000;350,050;371,750;27,40;1132,583;263,196;0,000;835,100;883,100;860,100;314,350;;;;;0,00;0,00;0,00;3,00;3,34;15,648;26,516;0,61;0,53;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;618,4302;19,49909;80,2659;0,31833204;0,31833204;0,00499;1,77652;3,3455;22,195262;0,124682;21,998376;23,362080;0,0256;2,5457;0,09;8,61;0,00;0,57;47,09;;178,577;179,554;6,2071836;19,02700;1,71000;0,02100;0,0945989;;67,10;17,00;;;
Material name/ID;PMMA_CN;18;20,95100;0,06800;0,002000;88,800;87,79;-1,4100;0,000;100,888;30,500;0,000;355,450;382,450;27,40;1133,483;263,196;0,000;837,900;883,000;860,100;314,350;;;;;0,00;0,00;0,00;3,00;3,34;15,645;26,524;0,61;0,53;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;643,6262;40,16722;168,4043;0,16082954;0,16082954;0,00105;3,64982;3,9892;21,842315;0,130542;21,982519;23,652312;0,0271;2,6985;0,11;11,31;0,00;0,59;48,92;;203,713;179,554;6,4600761;18,92000;1,80100;0,00100;0,1000994;;66,90;18,00;;;
Specimen number;R3;19;20,95200;0,14600;-0,004000;92,150;87,35;-1,6100;0,000;100,888;30,500;0,000;360,650;392,750;27,40;1133,783;263,196;0,000;838,900;883,000;860,000;314,350;;;;;0,00;0,00;0,00;3,00;3,34;15,639;26,518;0,61;0,53;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;678,5033;19,04940;81,7229;0,35749880;0,35749880;0,00594;1,72120;4,6677;22,089513;0,135588;22,556533;24,564199;0,0292;2,9108;0,14;14,22;0,01;0,62;51,67;;227,784;228,913;6,8101379;18,83000;1,86500;0,02600;0,1043914;;66,70;19,00;;;
E (MJ/kg);13,10;20;20,93800;0,35600;0,018000;89,525;86,93;-2,0800;0,000;100,888;30,500;0,000;365,550;402,150;27,40;1133,983;263,196;0,000;839,500;883,000;860,000;314,350;;;;;0,00;0,00;0,00;3,00;3,34;15,677;26,529;0,61;0,52;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;689,2240;19,44073;85,2126;0,35583750;0,35583750;0,00429;1,76658;5,3569;21,626200;0,140376;22,383463;24,624564;0,0303;3,0210;0,17;17,24;0,00;0,63;52,52;;250,588;228,913;6,9177414;18,74900;1,94400;0,01800;0,1083564;;66,23;20,00;;;
Initial mass (g);68,31;21;20,86000;0,58400;0,015000;93,375;87,18;-2,2800;0,000;100,888;30,500;0,005;370,550;411,650;27,40;1134,117;263,196;0,000;840,000;883,000;859,900;314,350;;;;;0,00;0,00;0,00;3,00;3,34;15,688;26,510;0,61;0,53;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;727,9822;43,62272;184,1490;0,16749891;0,16749891;0,00532;3,93340;6,0849;21,936803;0,137526;23,015501;25,568293;0,0308;3,0731;0,20;20,31;0,01;0,66;55,45;;272,398;274,088;7,3067576;18,65900;2,00700;0,02300;0,1128827;;66,03;21,00;;;
Thickness (mm);5,73;22;20,66200;0,87600;0,019000;92,025;86,60;-2,5000;0,000;100,892;30,500;0,005;375,350;419,850;27,40;1134,183;263,196;0,000;840,300;883,000;859,800;314,350;;;;;0,00;0,00;0,00;3,00;3,35;15,641;26,534;0,61;0,52;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;743,5272;20,63473;89,9472;0,36166128;0,36166128;0,00429;1,85927;6,8284;21,637951;0,144173;22,996028;25,722345;0,0325;3,2410;0,24;23,56;0,00;0,67;56,63;;293,460;274,088;7,4627824;18,57800;2,07500;0,01800;0,1169342;;65,81;22,00;;;
Surface area (cm²);100,37;23;20,36800;1,09500;0,008000;90,150;83,80;-2,9600;0,000;100,888;30,500;0,005;380,050;428,050;27,40;1134,083;263,196;0,000;839,900;883,100;859,800;314,350;;;;;0,00;0,00;0,00;3,00;3,35;15,626;26,548;0,61;0,51;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;751,0270;21,03613;111,7622;0,35833867;0,35833867;0,00159;1,88588;7,5794;21,283543;0,176992;22,902608;25,795188;0,0400;3,9901;0,28;27,55;0,00;0,68;57,12;;313,191;314,559;7,5380579;18,51800;2,11900;0,00400;0,1201189;;65,35;23,00;;;
Sponsor;;24;20,05400;1,32600;0,003000;91,525;84,77;-3,1800;0,000;100,888;30,500;0,005;384,450;434,950;27,40;1134,050;263,196;0,000;840,000;883,000;859,700;314,350;;;;;0,00;0,00;0,00;3,00;3,35;15,669;26,524;0,61;0,51;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;764,4231;40,20436;199,8619;0,19083786;0,19083786;-0,00029;3,62640;8,3438;21,322168;0,165588;23,209806;26,258564;0,0381;3,8001;0,31;31,35;0,00;0,69;58,16;;331,714;314,559;7,6725149;18,47800;2,16500;-0,00600;0,1220637;;65,13;24,00;;;
Manufacturer;;25;19,75600;1,47000;-0,007000;86,625;85,90;-3,4200;0,000;100,888;30,500;0,005;388,850;442,650;27,40;1134,117;263,196;0,000;840,300;882,900;859,700;314,350;;;;;0,00;0,00;0,00;3,00;3,35;15,662;26,548;0,61;0,52;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;754,2263;20,14265;91,8913;0,37582779;0,37582779;0,00227;1,81329;9,0981;20,625858;0,152298;22,708811;25,850727;0,0345;3,4408;0,35;34,79;0,00;0,68;57,45;;348,818;349,604;7,5701694;18,42600;2,20300;0,00800;0,1245344;;64,89;25,00;;;
Test start time (s);60;26;19,50200;1,61500;0,006000;92,250;85,93;-3,8900;0,000;100,888;30,500;0,005;393,550;449,850;27,40;1134,250;263,196;0,000;840,800;882,900;859,600;314,350;;;;;0,00;0,00;0,00;3,00;3,35;15,654;26,548;0,61;0,52;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;789,4880;21,22555;96,1836;0,37332789;0,37332789;0,00252;1,90814;9,8876;21,157515;0,151902;23,575714;26,948380;0,0359;3,5776;0,39;38,36;0,00;0,71;60,15;;365,089;349,604;7,9240911;18,37400;2,24400;0,00900;0,1271150;;64,42;26,00;;;
Time to ignition (s);11;27;19,29900;1,71000;-0,002000;93,175;84,14;-4,1300;0,000;100,888;30,500;0,005;398,050;456,350;27,40;1134,417;263,196;0,000;841,300;882,900;859,600;314,350;;;;;0,00;0,00;0,00;3,00;3,35;15,685;26,532;0,61;0,51;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;797,7557;38,90003;201,3939;0,20583725;0,20583725;0,00289;3,48368;10,6853;21,142791;0,172987;23,828693;27,318739;0,0415;4,1302;0,43;42,49;0,00;0,72;60,76;;380,960;381,188;8,0070742;18,34600;2,26000;0,01100;0,1285550;;64,18;27,00;;;
Time to flameout (s);207;28;19,16600;1,80100;0,021000;96,625;84,71;-4,3800;0,000;100,888;30,500;0,005;402,150;461,950;27,40;1134,517;263,196;0,000;841,800;882,800;859,500;314,350;;;;;0,00;0,00;0,00;3,00;3,35;15,711;26,542;0,61;0,51;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;813,1091;20,88129;104,5700;0,39083672;0,39083672;0,00387;1,87062;11,4984;21,420626;0,166295;24,390488;28,017372;0,0409;4,0719;0,47;46,57;0,00;0,73;61,96;;396,120;381,188;8,1611759;18,32900;2,27400;0,01600;0,1293406;;63,93;28,00;;;
End of test criteria;User end of test;29;19,02700;1,86500;0,001000;90,250;84,63;-4,8700;0,000;100,892;30,500;0,005;406,250;468,050;27,40;1133,817;263,196;0,000;839,900;882,700;859,400;314,350;;;;;0,00;0,00;0,00;3,00;3,35;15,711;26,545;0,61;0,51;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;787,7347;21,51438;108,9665;0,36749808;0,36749808;0,00427;1,92931;12,2862;20,597208;0,167245;23,692015;27,296117;0,0400;3,9897;0,51;50,56;0,00;0,71;60,06;;410,061;409,571;7,9064927;18,30800;2,29300;0,01900;0,1303271;;63,44;29,00;;;
User EOT time (s);221;30;18,92000;1,94400;0,026000;90,975;85,67;-5,1200;0,000;100,892;30,500;0,005;410,650;474,050;27,40;1133,483;263,196;0,000;838,900;882,700;859,400;314,450;;;;;0,00;0,00;0,00;3,00;3,35;15,700;26,558;0,61;0,52;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;792,6684;20,35651;96,0269;0,39083385;0,39083385;0,00499;1,82858;13,0788;20,568686;0,154974;23,915455;27,607747;0,0375;3,7392;0,54;54,30;0,00;0,71;60,48;;422,733;409,571;7,9560130;18,28600;2,31400;0,02300;0,1313394;;63,19;30,00;;;
MLR EOT mass (g/m²);;31;18,83000;2,00700;0,018000;91,825;84,26;-5,6400;0,000;100,888;30,500;0,005;414,350;478,850;27,40;1133,650;263,196;0,000;839,500;882,700;859,300;314,450;;;;;0,00;0,00;0,00;3,00;3,36;15,664;26,558;0,61;0,51;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;802,9998;20,97973;109,2989;0,38416640;0,38416640;0,00608;1,88937;13,8818;20,572082;0,171618;24,134919;27,891893;0,0420;4,1834;0,59;58,48;0,01;0,73;61,33;;434,833;434,462;8,0597086;18,24900;2,34900;0,02900;0,1330533;;62,67;31,00;;;
MLR time period (s);;32;18,74900;2,07500;0,023000;92,300;84,96;-5,8500;0,000;100,892;30,500;0,005;417,550;482,450;27,30;1134,250;263,196;0,000;841,300;882,700;859,300;314,450;;;;;0,00;0,00;0,00;3,00;3,36;15,704;26,532;0,61;0,51;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;812,8834;44,30195;218,2252;0,18416595;0,18416595;0,00444;3,97557;14,6947;20,546036;0,163244;24,290520;28,066007;0,0402;4,0041;0,63;62,48;0,00;0,73;62,02;;446,493;434,462;8,1589103;18,21500;2,37200;0,02000;0,1348865;;62,46;32,00;;;
Truncate graphs at EOT;;33;18,65900;2,11900;0,018000;87,550;84,49;-6,1000;0,000;100,880;30,500;0,005;420,950;485,850;27,40;1134,550;263,196;0,000;842,300;882,700;859,200;314,450;;;;;0,00;0,00;0,00;3,00;3,36;15,706;26,537;0,61;0,51;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;796,2978;20,14895;102,3504;0,39666780;0,39666780;0,00483;1,81197;15,4910;19,929401;0,168820;23,753360;27,415535;0,0406;4,0449;0,67;66,53;0,00;0,72;60,80;;457,344;456,594;7,9924411;18,18600;2,40000;0,02300;0,1362421;;62,21;33,00;;;
