General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,94600;0,05700;0,009000;109,675;100,07;0,0000;0,000;100,888;30,500;0,000;334,750;338,150;27,50;1142,250;263,196;0,000;859,600;885,100;862,600;314,250;;;;;0,00;0,00;0,00;3,00;3,32;15,624;26,513;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,5030;;;-0,00333341;-0,00333341;0,00010;-0,21431;0,0005;25,013528;-0,000406;23,708049;23,948848;-0,0001;-0,0085;0,00;0,00;0,00;0,00;0,02;;;;0,0050486;20,95100;0,04700;-0,00400;0,0000673;;68,31;0,00;;;
Standard used;ISO 5660-1;1;20,94400;0,05900;0,001000;113,850;100,05;0,0000;0,000;100,880;30,500;0,000;334,650;337,950;27,50;1141,983;263,196;0,000;859,000;885,000;862,500;314,250;;;;;0,00;0,00;0,00;3,00;3,32;15,660;26,489;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,1261;;;0,02333387;0,02333387;0,00100;0,03120;0,0006;25,488985;-0,000177;24,151474;24,389633;0,0000;-0,0038;0,00;0,00;0,00;0,00;0,02;;0,063;0,126;0,0012656;20,95100;0,04700;0,00000;0,0000166;;68,31;1,00;;;
Date of test;24.07.2026;2;20,94300;0,06200;0,030000;114,050;100,06;-0,0400;0,000;100,888;30,500;0,000;334,550;338,050;27,40;1139,483;263,196;0,000;851,800;884,800;862,400;314,250;;;;;0,00;0,00;0,00;3,00;3,32;15,646;26,534;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,1894;;;0,02416738;0,02416738;-0,00125;0,01400;0,0018;25,515176;-0,000282;24,169066;24,421918;-0,0001;-0,0060;0,00;0,00;0,00;0,00;0,02;;0,360;0,126;0,0119375;20,95100;0,04600;-0,01000;0,0001558;;68,27;2,00;;;
Time of test;14:35;3;20,93900;0,06000;-0,011000;111,750;100,07;-0,0400;0,000;100,880;30,500;0,000;334,650;338,050;27,40;1137,617;263,196;0,000;846,400;884,700;862,300;314,250;;;;;0,00;0,00;0,00;3,00;3,33;15,645;26,510;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,8220;;;-0,00833511;-0,00833511;-0,00168;-0,04017;0,0036;25,252814;-0,000354;23,927696;24,170799;-0,0001;-0,0075;0,00;0,00;0,00;0,00;0,05;;0,742;0,691;0,0182877;20,95000;0,04600;-0,01200;0,0002415;;68,27;3,00;;;
Heat flux (kW/m²);75;4;20,93700;0,05800;-0,002000;108,750;100,07;-0,0300;0,000;100,888;30,500;0,000;334,550;337,850;27,40;1136,050;263,196;0,000;842,100;884,500;862,100;314,250;;;;;0,00;0,00;0,00;3,00;3,33;15,618;26,513;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,7279;;;-0,01166471;-0,01166471;-0,00254;-0,02832;0,0054;24,915268;-0,000359;23,600808;23,833605;-0,0001;-0,0075;0,00;0,00;0,00;0,00;0,02;;1,000;0,691;0,0173424;20,95100;0,04600;-0,01600;0,0002318;;68,28;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,93700;0,05600;-0,008000;114,100;100,05;-0,0200;0,000;100,888;30,500;0,000;334,450;337,750;27,40;1134,650;263,196;0,000;838,500;884,200;861,800;314,250;;;;;0,00;0,00;0,00;3,00;3,33;15,627;26,516;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,8926;;;-0,00582949;-0,00582949;-0,00417;-0,12505;0,0073;25,524583;-0,000164;24,170750;24,409241;0,0000;-0,0035;0,00;0,00;0,00;0,00;-0,01;;1,162;1,158;0,0189965;20,95200;0,04700;-0,02300;0,0002473;;68,29;5,00;;;
Sampling interval (s);1;6;20,93900;0,05300;-0,015000;116,450;100,02;-0,0200;0,000;100,892;30,500;0,000;334,450;337,650;27,40;1133,717;263,196;0,000;836,100;884,000;861,600;314,250;;;;;0,00;0,00;0,00;3,00;3,33;15,599;26,521;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,1790;;;0,00666300;0,00666300;-0,00353;0,05132;0,0094;25,786096;0,000082;24,418392;24,652026;0,0000;0,0018;0,00;0,00;0,00;0,00;0,02;;1,308;1,158;0,0218709;20,95100;0,04600;-0,02000;0,0002824;;68,29;6,00;;;
Separation (mm);25;7;20,94000;0,05100;-0,019000;116,450;100,02;-0,0300;0,000;100,892;30,500;0,000;334,450;337,650;27,40;1132,850;263,196;0,000;833,900;883,800;861,400;314,250;;;;;0,00;0,00;0,00;3,00;3,33;15,673;26,500;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00499662;0,00499662;0,00147;0,14739;0,0094;25,786096;0,000082;24,418392;24,652026;0,0000;0,0018;0,00;0,00;0,00;0,00;-0,01;;1,277;1,097;0,0000000;20,95200;0,04700;0,00200;-0,0000691;;68,28;7,00;;;
Orientation;hor;8;20,94300;0,04900;-0,011000;115,925;99,98;-0,0300;0,000;100,888;30,500;0,000;334,350;337,650;27,40;1132,483;263,196;0,000;833,200;883,600;861,200;314,250;;;;;0,00;0,00;0,00;3,00;3,33;15,637;26,516;0,60;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;4,4918;;;0,00500170;0,00500170;0,00011;1,79984;0,0139;25,731750;0,000493;24,359643;24,600070;0,0001;0,0106;0,00;0,01;0,00;0,01;0,39;;1,398;1,097;0,0450840;20,93800;0,06800;-0,00400;0,0005865;;68,28;8,00;;;
Edge frame?;N;9;20,94500;0,04700;-0,002000;113,775;99,75;-0,0400;0,000;100,888;30,500;0,000;334,350;337,650;27,40;1132,017;263,196;0,000;832,200;883,400;861,000;314,250;;;;;0,00;0,00;0,00;3,00;3,33;15,639;26,518;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;30,5525;;;0,00583458;0,00583458;0,00505;6,74252;0,0445;25,492016;0,002843;24,132693;24,370880;0,0006;0,0606;0,00;0,07;0,01;0,04;2,58;;3,189;4,248;0,3066551;20,86000;0,14600;0,01800;0,0040322;;68,27;9,00;;;
Grid?;N;10;20,94800;0,04700;0,020000;113,700;99,45;-0,0400;0,000;100,892;30,500;0,000;334,350;337,650;27,40;1131,583;263,196;0,000;831,200;883,300;860,800;314,250;;;;;0,00;0,00;0,00;3,00;3,33;15,645;26,521;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;101,2270;;;-0,00333341;-0,00333341;0,00438;-36,36020;0,1457;25,483613;0,005815;24,124738;24,362847;0,0012;0,1238;0,00;0,20;0,00;0,12;8,13;;9,459;4,248;1,0160151;20,66200;0,35600;0,01500;0,0133734;;68,27;10,00;;;
Non-scrubbed?;;11;20,95000;0,04700;-0,004000;110,650;99,22;-0,0400;0,000;100,888;30,500;0,000;334,350;337,750;27,40;1131,383;263,196;0,000;831,000;883,100;860,600;314,250;;;;;0,00;0,00;0,00;3,00;3,33;15,645;26,516;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;210,0677;0,00000;146,8167;0,01166598;0,01166598;0,00521;17,76629;0,3558;25,139491;0,008122;23,798965;24,040976;0,0017;0,1706;0,00;0,37;0,01;0,21;16,17;;22,749;25,350;2,1084499;20,36800;0,58400;0,01900;0,0281751;;68,27;11,00;;;
Substrate used? {Y/N};;12;20,95100;0,04600;0,000000;115,975;98,34;-0,0700;0,000;100,888;30,500;0,000;334,450;337,950;27,40;1131,617;263,196;0,000;831,800;883,100;860,500;314,350;;;;;0,00;0,00;0,00;3,00;3,33;15,620;26,532;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;331,9001;105,20122;116,2818;0,03166580;0,03166580;0,00283;10,33047;0,6877;25,733451;0,017047;24,368540;24,623555;0,0037;0,3669;0,01;0,74;0,00;0,33;25,46;;43,435;25,350;3,3312809;20,05400;0,87600;0,00800;0,0435565;;68,24;12,00;;;
Substrate;;13;20,95100;0,04600;-0,010000;108,600;99,20;-0,1400;0,000;100,888;30,500;0,000;334,950;339,250;27,40;1131,950;263,196;0,000;833,000;883,000;860,400;314,350;;;;;0,00;0,00;0,00;3,00;3,34;15,688;26,516;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;432,3416;20,58220;8,3257;0,21083323;0,21083323;0,00164;1,89578;1,1200;24,883208;0,008372;23,598620;23,901573;0,0018;0,1749;0,01;0,91;0,00;0,40;32,79;;69,488;70,866;4,3394128;19,75600;1,09500;0,00300;0,0587691;;68,17;13,00;;;
