General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Grid?;N;10;20,94500;116,09999;0,017000;0,051;99,97;21,0000;0,000;0,00;101,294;0,014;263,177;324,950;326,85;845,883;;;570,200;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,30;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,31708;0,05660;0,00384803;25,702554;-0,000142;23,647928;23,786199;0,0000;-0,0034;;;0,00;0,00;-0,01;;;;0,0000000;20,94600;0,05000;0,01600;-0,0002478;;;;;;
Non-scrubbed?;;11;20,94500;121,47500;0,017000;0,050;99,97;21,0000;0,000;0,00;101,286;0,014;263,177;324,950;326,85;845,650;;;569,500;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,30;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,29731;0,01137;0,00384803;26,290790;-0,000119;24,189141;24,330576;0,0000;-0,0029;;;0,00;0,00;-0,01;;;;0,0000000;20,94600;0,05000;0,01100;-0,0002335;;;;;;
Substrate used? {Y/N};;12;20,94400;121,84999;0,012000;0,051;99,95;21,0000;0,000;0,00;101,286;0,014;263,177;324,950;326,85;845,517;;;569,100;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,30;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,15360;0,05257;0,00384803;26,331339;0,000095;24,226449;24,368102;0,0000;0,0023;;;0,00;0,00;0,02;;;;0,0000000;20,94500;0,05000;0,00300;-0,0001247;;;;;;
Substrate;;13;20,94500;119,77500;-0,004000;0,051;99,96;21,0000;0,000;0,00;101,286;0,014;263,177;324,850;326,75;845,517;;;569,100;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,30;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,15778999;;;;nan;-0,24564;0,04840;0,00400582;26,110195;0,000024;24,015590;24,156053;0,0000;0,0006;;;0,00;0,00;-0,01;;;;0,0015779;20,94600;0,05000;-0,00600;0,0000198;;;;;;
Additional preparation details;;14;20,94500;115,52500;-0,009000;0,051;99,98;21,0000;0,000;0,00;101,286;0,014;263,177;324,850;326,75;845,450;;;568,900;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,30;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,66065999;;;;nan;-0,34457;0,04437;0,00466648;25,642774;-0,000238;23,585666;23,723615;0,0000;-0,0056;;;0,00;0,00;-0,01;;;;0,0066066;20,94500;0,05000;-0,00300;0,0000851;;;;;;
;;15;20,94200;120,75000;-0,007000;0,050;99,95;21,0000;0,000;0,00;101,294;0,014;263,177;324,850;326,75;845,417;;;568,800;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,31;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,91785;;;;nan;-0,28121;0,00000;0,00658432;26,216251;0,000046;24,113138;24,254172;0,0000;0,0011;;;0,00;0,00;0,08;;;;0,0191785;20,94500;0,05000;-0,01200;0,0002434;;;;;;
Specimen;;16;20,94300;120,07500;-0,002000;0,050;99,96;21,0000;0,000;0,00;101,288;0,014;263,183;324,950;326,85;845,617;;;569,400;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,31;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,89599999;;;;nan;-0,14115;0,00000;0,00748032;26,138851;0,000041;24,049348;24,189966;0,0000;0,0010;;;0,00;0,00;0,05;;;;0,0089600;20,94600;0,05000;-0,00200;0,0001141;;;;;;
Sample description;;17;20,94500;119,60000;-0,010000;0,050;99,96;21,0000;0,000;0,00;101,288;0,014;263,177;324,950;326,85;845,483;;;569,000;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,31;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,76052999;;;;nan;-0,32971;0,00000;0,00824086;26,087099;-0,000041;24,001732;24,142072;0,0000;-0,0010;;;0,00;0,00;-0,02;;;;0,0076053;20,94600;0,05000;0,00200;0,0000964;;;;;;
Material name/ID;PMMA_DE_6m;18;20,94500;121,60000;0,012000;0,050;99,98;21,0000;0,000;0,00;101,286;0,014;263,177;324,850;326,75;845,617;;;569,400;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,31;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,23211;0,00000;0,00824086;26,308362;-0,000208;24,197860;24,339389;0,0000;-0,0050;;;0,00;0,00;-0,02;;;;0,0000000;20,94400;0,05000;0,01500;-0,0001805;;;;;;
Specimen number;R1;19;20,94400;121,87500;0,025000;0,049;99,99;21,0000;0,000;0,00;101,288;0,014;263,177;324,850;326,75;845,817;;;570,000;593,300;554,700;307,150;;;;;0,00;0,00;0,00;3,00;1,31;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,54532;-0,04329;0,00824086;26,338094;-0,000292;24,225206;24,366896;-0,0001;-0,0071;;;0,00;0,00;0,02;;;;0,0000000;20,94600;0,05000;0,01700;-0,0002743;;;;;;
