General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Auswertung Test;;97;20,94600;119,15000;-0,006000;0,051;99,93;20,7000;-0,020;0,00;101,282;0,014;263,170;323,750;325,45;843,717;;;569,100;589,700;552,900;307,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;-0,23209;0,02332;0,06102271;26,086186;0,000271;23,912261;24,037823;0,0001;0,0065;;;0,00;0,00;-0,05;;0,911;0,897;0,0000000;20,94400;0,05200;0,01700;-0,0000262;;;;;;
Software;Logger2024;98;20,94500;120,69999;0,001000;0,050;99,96;20,7000;-0,020;0,00;101,290;0,014;263,170;323,750;325,45;843,750;;;569,200;589,700;552,900;307,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;-0,05021;-0,02196;0,06102271;26,255313;-0,000032;24,067293;24,193669;0,0000;-0,0008;;;0,00;0,00;-0,02;;0,887;0,897;0,0000000;20,94300;0,05200;0,01500;-0,0000418;;;;;;
Auswertung Test;;99;20,94500;120,35000;-0,001000;0,051;99,97;20,7000;-0,020;0,00;101,290;0,014;263,170;323,750;325,35;843,817;;;569,300;589,700;553,000;307,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;-0,10246;0,02344;0,06102271;26,217218;-0,000115;24,032373;24,151143;0,0000;-0,0028;;;0,00;0,00;-0,02;;0,864;0,851;0,0000000;20,94300;0,05100;0,01800;-0,0000291;;;;;;
Test start time   [s];60;100;20,94500;120,87501;0,017000;0,050;99,97;20,7000;-0,020;0,00;101,292;0,014;263,170;323,750;325,35;843,750;;;569,100;589,700;553,000;307,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,36922;-0,02197;0,06102271;26,274340;-0,000118;24,084735;24,203764;0,0000;-0,0028;;;0,00;0,00;-0,02;;0,843;0,851;0,0000000;20,94500;0,05100;0,00700;-0,0002443;;;;;;
Time to ignition  [s];0;101;20,94500;124,37500;0,002000;0,051;99,95;20,7000;-0,020;0,00;101,290;0,014;263,170;323,650;325,35;843,817;;;569,200;589,800;553,000;307,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;-0,02438;0,02383;0,06102271;26,656136;0,000085;24,427166;24,555472;0,0000;0,0021;;;0,00;0,00;-0,02;;0,822;0,809;0,0000000;20,94400;0,05100;0,01100;-0,0000671;;;;;;
Time to flame out [s];0;102;20,94500;114,75000;0,017000;0,051;99,97;20,7000;-0,030;0,00;101,290;0,014;263,170;323,650;325,35;843,883;;;569,400;589,800;553,000;307,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,35980;0,02289;0,06102271;25,603951;-0,000141;23,462964;23,586205;0,0000;-0,0033;;;0,00;0,00;-0,02;;0,802;0,809;0,0000000;20,94400;0,05100;0,00200;-0,0002570;;;;;;
Time end of test  [s];0;103;20,94300;114,12499;-0,002000;0,051;99,97;20,7000;-0,030;0,00;101,284;0,014;263,170;323,650;325,35;843,950;;;569,600;589,800;553,000;307,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,80026999;0,00000;0,0000;;nan;-0,12527;0,02283;0,06182298;25,534128;-0,000160;23,398979;23,521885;0,0000;-0,0037;;;0,00;0,00;0,05;;0,794;0,793;0,0080027;20,94300;0,05100;-0,00500;0,0001043;;;;;;
Masses;;104;20,94300;121,60000;0,000000;0,051;99,96;20,7000;-0,030;0,00;101,290;0,014;263,170;323,750;325,35;844,017;;;569,600;589,900;553,100;307,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,62455;0,00000;0,0000;;nan;-0,07669;0,02356;0,06244753;26,353018;0,000026;24,156856;24,276241;0,0000;0,0006;;;0,00;0,00;0,05;;0,795;0,793;0,0062455;20,94200;0,05200;-0,01800;0,0000790;;;;;;
Mass sust.flaming [g];0,00;105;20,94400;121,25000;-0,001000;0,051;99,96;20,7000;-0,030;0,00;101,284;0,014;263,170;323,750;325,45;844,083;;;569,800;589,900;553,100;307,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,24756;0,00000;0,0000;;nan;-0,10284;0,02352;0,06269509;26,315065;-0,000041;24,122065;24,248730;0,0000;-0,0010;;;0,00;0,00;0,01;;0,788;0,784;0,0024756;20,94300;0,05100;-0,01500;0,0000313;;;;;;
Mass remaining    [g];0,00;106;20,94300;122,87500;-0,001000;0,051;99,96;20,7000;-0,030;0,00;101,284;0,014;263,177;323,750;325,45;843,983;;;569,500;589,900;553,100;307,450;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,72904;0,00000;0,0000;;nan;-0,10353;0,02368;0,06342413;26,490816;-0,000014;24,283170;24,410680;0,0000;-0,0003;;;0,00;0,00;0,05;;0,783;0,784;0,0072904;20,94400;0,05100;-0,01100;0,0000917;;;;;;
Mass loos test    [g];0,00;107;20,94400;119,40001;-0,008000;0,051;99,98;20,7000;-0,030;0,00;101,290;0,014;263,170;323,750;325,45;844,083;;;569,600;590,000;553,200;307,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,94409999;0,00000;0,0000;;nan;-0,28445;0,02334;0,06436823;26,113539;-0,000222;23,937334;24,063029;0,0000;-0,0053;;;0,00;0,00;0,01;;0,786;0,779;0,0094410;20,94200;0,05200;0,00000;0,0001199;;;;;;
Mass loos rate test [g/s];0,00;108;20,94400;122,10000;0,017000;0,052;99,98;20,7000;-0,030;0,00;101,292;0,014;263,177;323,750;325,45;844,150;;;569,800;590,000;553,200;307,450;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,37108;0,06929;0,06436823;26,407142;-0,000195;24,206469;24,333577;0,0000;-0,0047;;;0,00;0,00;0,01;;0,781;0,779;0,0000000;20,94000;0,05300;0,02200;-0,0002093;;;;;;
Mass loss rate 10/90 [g/s];0,00;109;20,94300;125,15001;0,015000;0,052;99,98;20,7000;-0,030;0,00;101,284;0,014;263,177;323,750;325,45;844,250;;;570,000;590,100;553,200;307,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,32234;0,07015;0,06436823;26,734927;-0,000265;24,506938;24,635623;-0,0001;-0,0065;;;0,00;0,00;0,05;;0,765;0,769;0,0000000;20,93900;0,05400;0,02100;-0,0001235;;;;;;
Values;;110;20,94400;122,72500;0,018000;0,051;99,95;20,7000;-0,040;0,00;101,292;0,014;263,177;323,750;325,45;844,283;;;570,000;590,100;553,300;307,450;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,39845;0,02367;0,06436823;26,474642;0,000080;24,268344;24,395776;0,0000;0,0019;;;0,00;0,00;0,01;;0,750;0,769;0,0000000;20,93800;0,05400;0,01300;-0,0002093;;;;;;
THR   [MJ/m²];0,0;111;20,94300;117,92500;0,007000;0,051;99,98;20,7000;-0,030;0,00;101,292;0,014;263,177;323,750;325,55;844,350;;;570,100;590,200;553,300;307,350;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,10574;0,02320;0,06436823;25,951742;-0,000208;23,789021;23,921284;0,0000;-0,0049;;;0,00;0,00;0,05;;0,735;0,739;0,0000000;20,94100;0,05400;0,01400;-0,0000096;;;;;;
TSP   [m²];0,0;112;20,94300;119,40001;0,011000;0,051;99,99;20,7000;-0,030;0,00;101,284;0,014;263,177;323,750;325,45;844,450;;;570,300;590,200;553,400;307,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,21062;0,02334;0,06436823;26,113539;-0,000291;23,937334;24,063029;-0,0001;-0,0070;;;0,00;0,00;0,05;;0,721;0,739;0,0000000;20,94100;0,05400;0,00200;-0,0000602;;;;;;
TSR   [m²/m²];0,0;113;20,94500;118,32500;0,002000;0,051;99,96;20,7000;-0,030;0,00;101,284;0,014;263,177;323,750;325,45;844,550;;;570,500;590,300;553,400;307,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;-0,02378;0,02324;0,06436823;25,995718;0,000002;23,829332;23,954459;0,0000;0,0000;;;0,00;0,00;-0,02;;0,707;0,711;0,0000000;20,94100;0,05400;0,00200;-0,0000671;;;;;;
TSR   [m²/m² (none flaming phase)];0,0;114;20,94400;117,87500;-0,005000;0,051;99,99;20,7000;-0,040;0,00;101,292;0,014;263,177;323,750;325,45;844,583;;;570,600;590,300;553,400;307,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,64064999;0,00000;0,0000;;nan;-0,20496;0,02319;0,06500888;25,946239;-0,000366;23,783976;23,908865;-0,0001;-0,0087;;;0,00;0,00;0,01;;0,701;0,711;0,0064065;20,94100;0,05300;0,00000;0,0000819;;;;;;
TSR   [m²/m² (flaming phase)];0,0;115;20,94400;122,45000;-0,018000;0,052;99,97;20,7000;-0,040;0,00;101,284;0,014;263,177;323,750;325,55;844,650;;;570,600;590,400;553,500;307,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,86593;0,00000;0,0000;;nan;-0,55193;0,06939;0,06687481;26,444963;-0,000150;24,241138;24,375915;0,0000;-0,0036;;;0,00;0,00;0,01;;0,714;0,724;0,0186593;20,94100;0,05200;-0,00200;0,0002338;;;;;;
MARHE [kW / m²];431,8;116;20,94300;123,02500;-0,015000;0,051;99,93;20,7000;-0,040;0,00;101,284;0,014;263,177;323,850;325,55;844,750;;;570,800;590,400;553,600;307,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,14680000;0,00000;0,0000;;nan;-0,47380;0,02369;0,06902161;26,502888;0,000273;24,301740;24,429308;0,0001;0,0066;;;0,00;0,00;0,05;;0,742;0,724;0,0214680;20,94100;0,05200;-0,00900;0,0002688;;;;;;
Results HRR;;117;20,94200;121,35000;-0,011000;0,051;99,98;20,7000;-0,050;0,00;101,284;0,014;263,177;323,750;325,55;844,983;;;571,400;590,500;553,600;307,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,20698;0,00000;0,0000;;nan;-0,36557;0,02353;0,07122859;26,325913;-0,000174;24,132010;24,266180;0,0000;-0,0042;;;0,00;0,00;0,08;;0,772;0,779;0,0220698;20,94300;0,05300;0,00000;0,0002786;;;;;;
HRR max [kW/m²];0,2;118;20,94300;116,50000;0,000000;0,052;99,94;20,7000;-0,050;0,00;101,288;0,014;263,177;323,750;325,45;845,083;;;571,600;590,600;553,600;307,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,51342;0,00000;0,0000;;nan;-0,07507;0,06769;0,07174201;25,794465;0,000231;23,644851;23,769009;0,0000;0,0055;;;0,00;0,00;0,05;;0,785;0,779;0,0051342;20,94100;0,05100;-0,00200;0,0000664;;;;;;
Max at [s];376;119;20,94400;123,17501;0,022000;0,053;99,96;20,7000;-0,050;0,00;101,284;0,014;263,177;323,750;325,45;845,083;;;571,500;590,600;553,700;307,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,50504;0,11549;0,07174201;26,523135;-0,000025;24,312796;24,440462;0,0000;-0,0006;;;0,00;0,00;0,01;;0,777;0,795;0,0000000;20,94200;0,05200;0,00400;-0,0002852;;;;;;
HRR 060s [kW/m²];0,0;120;20,94200;117,22500;0,021000;0,054;99,96;20,7000;-0,050;0,00;101,288;0,014;263,177;323,750;325,45;845,050;;;571,400;590,600;553,700;307,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,46687;0,15743;0,07174201;25,874602;-0,000063;23,718309;23,842853;0,0000;-0,0015;;;0,00;0,00;0,08;;0,764;0,795;0,0000000;20,94200;0,05100;0,01700;-0,0001644;;;;;;
HRR 120s [kW/m²];0,0;121;20,94000;117,05000;0,013000;0,054;99,97;20,7000;-0,050;0,00;101,284;0,014;263,177;323,750;325,45;845,117;;;571,500;590,700;553,700;307,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,43896999;0,00000;0,0000;;nan;0,26014;0,15731;0,07218098;25,855282;-0,000084;23,700599;23,825050;0,0000;-0,0020;;;0,00;0,00;0,14;;0,755;0,777;0,0043897;20,94100;0,05200;0,02100;0,0000577;;;;;;
HRR 180s [kW/m²];0,0;122;20,93900;117,15000;0,014000;0,054;99,96;20,7000;-0,050;0,00;101,288;0,014;263,177;323,850;325,55;845,183;;;571,600;590,700;553,800;307,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,80877;0,00000;0,0000;;nan;0,28601;0,15736;0,07298975;25,862330;0,000004;23,714383;23,838868;0,0000;0,0001;;;0,00;0,00;0,18;;0,755;0,777;0,0080877;20,94400;0,05100;0,02100;0,0001055;;;;;;
HRR 240s [kW/m²];0,0;123;20,93800;118,35000;0,002000;0,054;99,96;20,7000;-0,060;0,00;101,292;0,014;263,177;323,750;325,45;845,283;;;571,800;590,800;553,800;307,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,47594;0,00000;0,0000;;nan;-0,02378;0,15818;0,07546569;25,998464;-0,000017;23,831849;23,956989;0,0000;-0,0004;;;0,00;0,00;0,21;;0,772;0,805;0,0247594;20,94400;0,05200;0,00100;0,0003178;;;;;;
HRR 300s [kW/m²];0,0;124;20,94100;122,25000;0,002000;0,054;99,96;20,7000;-0,060;0,00;101,288;0,014;263,177;323,850;325,55;845,317;;;571,900;590,800;553,800;307,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,08049;0,00000;0,0000;;nan;-0,02416;0,16074;0,07654618;26,419278;-0,000007;24,225074;24,352240;0,0000;-0,0002;;;0,00;0,00;0,11;;0,792;0,805;0,0108049;20,94300;0,05100;0,00600;0,0001366;;;;;;
HRR 360s [kW/m²];0,0;125;20,94100;122,50000;0,000000;0,053;99,97;20,7000;-0,060;0,00;101,284;0,014;263,177;323,850;325,45;845,317;;;571,900;590,800;553,800;307,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,38405;0,00000;0,0000;;nan;-0,07697;0,11515;0,07793023;26,446277;-0,000123;24,249831;24,369638;0,0000;-0,0030;;;0,00;0,00;0,11;;0,801;0,847;0,0138405;20,94400;0,05100;-0,00700;0,0001745;;;;;;
HRR Test [kW/m²];0,0;126;20,94100;117,30000;-0,002000;0,052;99,96;20,7000;-0,060;0,00;101,288;0,014;263,177;323,850;325,55;845,417;;;572,000;590,900;553,900;307,450;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,65029;0,00000;0,0000;;nan;-0,12696;0,06791;0,07958052;25,878882;-0,000065;23,729560;23,854125;0,0000;-0,0015;;;0,00;0,00;0,11;;0,815;0,847;0,0165029;20,94400;0,05100;-0,01400;0,0002125;;;;;;
Results EHC;;127;20,94100;116,32500;-0,009000;0,052;99,97;20,7000;-0,060;0,00;101,284;0,014;263,177;323,750;325,45;845,217;;;571,400;590,900;553,900;307,450;;;;;0,00;0,00;0,00;3,00;1,38;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,33288;0,00000;0,0000;;nan;-0,30648;0,06764;0,08191340;25,775085;-0,000070;23,627085;23,751150;0,0000;-0,0017;;;0,00;0,00;0,11;;0,836;0,885;0,0233288;20,94500;0,05100;-0,00400;0,0003011;;;;;;
EHC max [MJ/kg];0,0;128;20,94100;120,80000;0,000000;0,053;99,96;20,7000;-0,060;0,00;101,288;0,014;263,177;323,850;325,55;845,183;;;571,200;590,900;554,000;307,450;;;;;0,00;0,00;0,00;3,00;1,38;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,37441;0,00000;0,0000;;nan;-0,07643;0,11435;0,08328781;26,262131;-0,000063;24,080979;24,207389;0,0000;-0,0015;;;0,00;0,00;0,11;;0,855;0,885;0,0137441;20,94200;0,05200;-0,00300;0,0001745;;;;;;
Max at [s];334;129;20,94100;121,77500;-0,002000;0,051;99,98;20,7000;-0,060;0,00;101,288;0,014;263,177;323,850;325,55;845,083;;;570,900;590,900;554,000;307,450;;;;;0,00;0,00;0,00;3,00;1,38;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,78152999;0,00000;0,0000;;nan;-0,12936;0,02357;0,08506934;26,367902;-0,000256;24,177965;24,304884;-0,0001;-0,0062;;;0,00;0,00;0,11;;0,868;0,926;0,0178153;20,94300;0,05200;0,01400;0,0002251;;;;;;
EHC 060s [MJ/kg];0,0;130;20,94300;119,20000;0,004000;0,052;99,98;20,7000;-0,070;0,00;101,288;0,014;263,177;323,850;325,55;845,250;;;571,300;591,000;554,000;307,450;;;;;0,00;0,00;0,00;3,00;1,38;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,12049;0,00000;0,0000;;nan;0,02820;0,06846;0,08518983;26,087630;-0,000231;23,920971;24,046540;0,0000;-0,0055;;;0,00;0,00;0,05;;0,871;0,926;0,0012049;20,94300;0,05100;0,01800;0,0000157;;;;;;
EHC 120s [MJ/kg];0,0;131;20,94100;124,97499;0,017000;0,051;99,96;20,7000;-0,070;0,00;101,288;0,014;263,177;323,850;325,55;845,317;;;571,500;591,000;554,000;307,450;;;;;0,00;0,00;0,00;3,00;1,38;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,37537;0,02388;0,08518983;26,712102;-0,000063;24,493579;24,622154;0,0000;-0,0015;;;0,00;0,00;0,11;;0,860;0,929;0,0000000;20,94300;0,05100;0,02200;-0,0000153;;;;;;
EHC 180s [MJ/kg];0,0;132;20,94200;122,37500;0,021000;0,052;99,96;20,7000;-0,070;0,00;101,296;0,014;263,177;323,850;325,55;845,483;;;571,900;591,000;554,100;307,450;;;;;0,00;0,00;0,00;3,00;1,38;0,000;0,000;0,60;0,64;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,47694;0,06936;0,08518983;26,432781;-0,000054;24,237456;24,364687;0,0000;-0,0013;;;0,00;0,00;0,08;;0,848;0,929;0,0000000;20,94300;0,05100;0,02100;-0,0001391;;;;;;
EHC 240s [MJ/kg];0,0;133;20,94200;118,15000;0,021000;0,051;99,97;20,7000;-0,080;0,00;101,288;0,014;263,177;323,750;325,55;845,583;;;572,100;591,100;554,100;307,450;;;;;0,00;0,00;0,00;3,00;1,38;0,000;0,000;0,60;0,64;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,46871;0,02322;0,08518983;25,976488;-0,000108;23,811704;23,944094;0,0000;-0,0026;;;0,00;0,00;0,08;;0,836;0,903;0,0000000;20,94500;0,05000;0,00500;-0,0001264;;;;;;
