General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Test;;0;20,94900;118,52500;0,001000;0,049;99,88;20,3000;0,000;0,00;101,214;0,009;263,145;329,950;330,85;844,850;;;572,700;589,200;553,200;306,850;;;;;0,00;0,00;0,00;3,00;2,16;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,00000;0,00000;0,0;25,772074;0,000000;24,076745;24,142419;0,0000;0,0000;;;0,00;0,00;0,00;;;;0,0000000;20,95000;0,04900;0,00300;-0,0000127;;;;;;
Standard used;ISO 5660-1;1;20,94800;115,90000;0,001000;0,049;99,92;20,3000;0,000;0,00;101,214;0,009;263,145;329,950;330,85;844,850;;;572,700;589,200;553,200;306,850;;;;;0,00;0,00;0,00;3,00;2,16;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,13341;;;;nan;0,00000;0,00000;0,00013341;25,485086;-0,000184;23,808635;23,873578;0,0000;-0,0044;;;0,00;0,00;0,02;;;;0,0013341;20,95000;0,04900;0,00000;0,0000175;;;;;;
Date of test;11,04,2025;2;20,94900;117,42501;-0,001000;0,048;99,93;20,3000;0,000;0,00;101,218;0,005;263,145;329,950;330,85;844,917;;;572,900;589,300;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,16;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,00808;;;;nan;-0,03413;-0,02959;0,00014149;25,652204;-0,000189;23,964760;24,030129;0,0000;-0,0045;;;0,00;0,00;-0,01;;;;0,0000808;20,94900;0,04900;-0,01000;0,0000010;;;;;;
Time of test;13:48;3;20,95000;119,04999;-0,006000;0,049;99,93;20,3000;0,000;0,00;101,210;0,005;263,145;329,950;330,85;844,950;;;573,000;589,300;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,16;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,09996;;;;nan;-0,12244;0,01117;0,00024145;25,829089;-0,000204;24,130009;24,195828;0,0000;-0,0049;;;0,00;0,00;-0,03;;;;0,0009996;20,94900;0,04900;-0,01000;0,0000124;;;;;;
Heat flux (kW/m²);25;4;20,95000;116,52500;0,000000;0,049;99,90;20,3000;0,000;0,00;101,218;0,005;263,145;329,850;330,85;844,950;;;573,000;589,300;553,100;306,950;;;;;0,00;0,00;0,00;3,00;2,16;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,02551;0,00885;0,00024145;25,557582;0,000099;23,869126;23,941490;0,0000;0,0024;;;0,00;0,00;-0,03;;;;0,0000000;20,95000;0,04800;-0,00200;-0,0000508;;;;;;
Nominal duct flow rate (l/s);24,0;5;20,94900;115,65000;0,000000;0,049;99,94;20,3000;0,000;0,00;101,218;0,009;263,145;329,850;330,75;844,917;;;572,900;589,300;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,06075;;;;nan;0,02117;0,00734;0,00030220;25,461444;-0,000237;23,779340;23,844222;0,0000;-0,0056;;;0,00;0,00;0,01;;;;0,0006075;20,95000;0,04900;0,01800;0,0000080;;;;;;
Sampling interval (s);1;6;20,95000;116,92501;0,012000;0,049;99,96;20,3000;0,000;0,00;101,218;0,009;263,145;329,850;330,75;844,950;;;572,900;589,400;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,28104;0,00633;0,00030220;25,601412;-0,000368;23,910060;23,975299;-0,0001;-0,0088;;;0,00;0,00;-0,02;;;;0,0000000;20,95100;0,04900;0,00900;-0,0001969;;;;;;
Separation (mm);25;7;20,94700;120,95000;0,015000;0,049;99,93;20,3000;0,000;0,00;101,214;0,009;263,145;329,850;330,75;844,983;;;573,000;589,400;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,31832;0,00563;0,00030220;26,038331;-0,000063;24,318115;24,384467;0,0000;-0,0015;;;0,00;0,00;0,07;;;;0,0000000;20,95000;0,04900;0,02500;-0,0000707;;;;;;
Orientation;Hor;8;20,94800;116,47500;0,009000;0,049;99,94;20,3000;0,000;0,00;101,218;0,009;263,145;329,850;330,75;844,983;;;573,000;589,400;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,14167;0,00491;0,00030220;25,552099;-0,000143;23,864005;23,929118;0,0000;-0,0034;;;0,00;0,00;0,03;;;;0,0000000;20,94900;0,04900;0,02400;-0,0000617;;;;;;
Edge frame?;N;9;20,94800;120,67500;0,011000;0,049;99,95;20,3000;0,000;0,00;101,218;0,009;263,145;329,850;330,75;845,117;;;573,400;589,400;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,17650;0,00450;0,00030220;26,008713;-0,000203;24,290453;24,356730;0,0000;-0,0049;;;0,00;0,00;0,03;;;;0,0000000;20,94900;0,04900;0,00900;-0,0000922;;;;;;
