General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Grid?;N;10;20,94900;115,07500;0,004000;0,048;99,89;20,3000;0,000;0,00;101,218;0,009;263,145;329,850;330,75;845,183;;;573,500;589,500;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,00461;-0,03596;0,00030220;25,398069;0,000360;23,720151;23,784872;0,0001;0,0085;;;0,00;0,00;-0,01;;;;0,0000000;20,95100;0,04900;-0,00100;-0,0000513;;;;;;
Non-scrubbed?;;11;20,95000;114,87500;0,003000;0,049;99,94;20,3000;0,000;0,00;101,214;0,009;263,145;329,850;330,75;845,017;;;573,000;589,500;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,02743;0,00732;0,00030220;25,375989;-0,000121;23,699530;23,764194;0,0000;-0,0028;;;0,00;0,00;-0,03;;;;0,0000000;20,95100;0,04900;-0,01100;-0,0001055;;;;;;
Substrate used? {Y/N};;12;20,95000;113,25000;0,000000;0,049;99,94;20,3000;0,000;0,00;101,214;0,009;263,145;329,750;330,75;844,983;;;572,900;589,500;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,09479;0,00671;0,00030220;25,199688;-0,000115;23,527741;23,599091;0,0000;-0,0027;;;0,00;0,00;-0,03;;;;0,0000000;20,94900;0,04900;-0,01300;-0,0000623;;;;;;
Substrate;;13;20,95000;117,00000;-0,010000;0,049;99,89;20,3000;0,000;0,00;101,216;0,009;263,145;329,750;330,75;844,750;;;572,200;589,500;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,53421;;;;nan;-0,32682;0,00633;0,00083641;25,613503;0,000321;23,914101;23,986623;0,0001;0,0076;;;0,00;0,00;-0,03;;;;0,0053421;20,94800;0,04900;0,00200;0,0000687;;;;;;
Additional preparation details;;14;20,95000;119,20000;-0,010000;0,049;99,91;20,3000;0,000;0,00;101,218;0,009;263,145;329,750;330,75;844,883;;;572,600;589,500;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,56913;;;;nan;-0,30789;0,00596;0,00140554;25,853192;0,000133;24,137887;24,211087;0,0000;0,0032;;;0,00;0,00;-0,03;;;;0,0056913;20,95000;0,04900;-0,00300;0,0000725;;;;;;
;;15;20,94900;120,65000;-0,002000;0,048;99,93;20,3000;0,000;0,00;101,216;0,009;263,145;329,750;330,65;844,850;;;572,400;589,600;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,33793;;;;nan;-0,09572;-0,03657;0,00174347;26,009962;-0,000113;24,284255;24,350535;0,0000;-0,0027;;;0,00;0,00;0,00;;;;0,0033793;20,94900;0,04900;0,00100;0,0000431;;;;;;
Specimen;;16;20,94900;118,72499;0,018000;0,049;99,95;20,3000;0,000;0,00;101,216;0,009;263,145;329,650;330,65;844,883;;;572,500;589,600;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,39538;0,00788;0,00174347;25,805543;-0,000301;24,086092;24,159158;-0,0001;-0,0072;;;0,00;0,00;0,00;;;;0,0000000;20,95000;0,05000;0,00500;-0,0002230;;;;;;
Sample description;;17;20,95000;122,07500;0,009000;0,049;99,94;20,3000;0,000;0,00;101,216;0,009;263,145;329,750;330,65;844,750;;;572,100;589,600;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,15666;0,00755;0,00174347;26,163113;-0,000165;24,427246;24,493916;0,0000;-0,0040;;;0,00;0,00;-0,03;;;;0,0000000;20,94900;0,04900;0,01000;-0,0001664;;;;;;
Material name/ID;PMMA_DE_6m;18;20,95000;118,25001;0,025000;0,049;99,96;20,2000;0,000;0,00;101,220;0,009;263,145;329,650;330,65;844,750;;;572,100;589,600;553,100;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,53567;0,00704;0,00174347;25,753870;-0,000302;24,037863;24,110782;-0,0001;-0,0072;;;0,00;0,00;-0,03;;;;0,0000000;20,95100;0,04900;0,01100;-0,0003662;;;;;;
Specimen number;R3;19;20,95100;117,75001;0,024000;0,049;99,91;20,2000;0,000;0,00;101,216;0,009;263,151;329,650;330,65;844,750;;;571,900;589,700;553,200;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,48344;0,00667;0,00174347;25,699364;0,000185;23,986989;24,059754;0,0000;0,0044;;;0,00;0,00;-0,05;;;;0,0000000;20,95100;0,04800;0,00300;-0,0004085;;;;;;
E (MJ/kg);13,10;20;20,95000;119,54999;0,009000;0,049;99,95;20,2000;0,000;0,00;101,216;0,009;263,151;329,650;330,65;844,717;;;571,800;589,700;553,200;306,850;;;;;0,00;0,00;0,00;3,00;2,17;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,09475;0,00640;0,00174347;25,895047;-0,000185;24,169632;24,242952;0,0000;-0,0045;;;0,00;0,00;-0,02;;;;0,0000000;20,95200;0,04900;0,00100;-0,0001560;;;;;;
Initial mass (g);67,46;21;20,94900;120,10000;-0,001000;0,049;99,93;20,3000;0,000;0,00;101,208;0,009;263,151;329,750;330,65;844,783;;;572,000;589,700;553,200;306,950;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,23531;;;;nan;-0,15656;0,00612;0,00197878;25,950609;-0,000067;24,228841;24,294970;0,0000;-0,0016;;;0,00;0,00;0,01;;;;0,0023531;20,95000;0,04800;0,00200;0,0000301;;;;;;
Thickness (mm);5,71;22;20,94900;119,20000;-0,011000;0,049;99,99;20,3000;0,000;0,00;101,216;0,005;263,151;329,650;330,65;845,017;;;572,600;589,800;553,200;306,950;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,21667000;;;;nan;-0,39604;0,00584;0,00319545;25,857113;-0,000598;24,134227;24,207438;-0,0001;-0,0144;;;0,00;0,00;0,01;;;;0,0121667;20,94900;0,04900;-0,00600;0,0001559;;;;;;
Surface area (cm²);100;23;20,95100;117,97500;-0,013000;0,049;99,91;20,3000;0,000;0,00;101,216;0,005;263,151;329,650;330,65;845,017;;;572,600;589,800;553,200;306,950;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,50872;;;;nan;-0,42679;0,00556;0,00370417;25,723906;0,000208;24,009895;24,082730;0,0000;0,0050;;;0,00;0,00;-0,05;;;;0,0050872;20,95100;0,04900;0,00200;0,0000648;;;;;;
Sponsor;;24;20,95100;118,35000;0,002000;0,049;99,96;20,3000;0,000;0,00;101,216;0,009;263,151;329,650;330,65;845,283;;;573,200;589,900;553,300;307,050;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,59;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,04011;0,00535;0,00370417;25,764757;-0,000275;24,048024;24,120974;-0,0001;-0,0066;;;0,00;0,00;-0,05;;;;0,0000000;20,95100;0,04900;0,01100;-0,0001211;;;;;;
Manufacturer;;25;20,94900;114,25000;-0,003000;0,049;99,94;20,3000;0,000;0,00;101,216;0,009;263,151;329,550;330,55;845,050;;;572,500;589,900;553,300;307,050;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,59;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,47322;;;;nan;-0,15937;0,00506;0,00417739;25,318379;-0,000079;23,624220;23,695907;0,0000;-0,0019;;;0,00;0,00;0,01;;;;0,0047322;20,94900;0,04900;0,01700;0,0000621;;;;;;
Test start time (s);60;26;20,94800;119,57500;0,001000;0,049;99,98;20,2000;0,000;0,00;101,216;0,009;263,151;329,550;330,55;845,217;;;572,900;590,000;553,300;307,050;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,59;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,53299;;;;nan;-0,05744;0,00498;0,00471038;25,901684;-0,000490;24,168494;24,241832;-0,0001;-0,0118;;;0,00;0,00;0,04;;;;0,0053299;20,94800;0,04900;0,01200;0,0000687;;;;;;
Time to ignition (s);91;27;20,95000;116,09999;0,005000;0,050;99,98;20,3000;0,000;0,00;101,216;0,009;263,151;329,650;330,65;845,183;;;572,800;590,000;553,300;306,950;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,59;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,04366;0,04731;0,00471038;25,518669;-0,000503;23,818333;23,890587;-0,0001;-0,0119;;;0,00;0,00;-0,02;;;;0,0000000;20,94900;0,04900;0,02000;-0,0001135;;;;;;
Time to flameout (s);400;28;20,94900;112,79999;0,010000;0,049;99,92;20,3000;0,000;0,00;101,216;0,009;263,151;329,750;330,65;845,217;;;572,900;590,000;553,300;307,050;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,59;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,16271;0,00300;0,00471038;25,149572;0,000114;23,480950;23,545038;0,0000;0,0027;;;0,00;0,00;0,01;;;;0,0000000;20,94800;0,04900;0,00900;-0,0001046;;;;;;
End of test criteria;Mass less ;29;20,95000;115,47500;0,011000;0,049;99,93;20,3000;0,000;0,00;101,216;0,009;263,151;329,650;330,65;845,283;;;573,000;590,100;553,300;307,050;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,59;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,18371;0,00294;0,00471038;25,449890;0,000069;23,754137;23,826196;0,0000;0,0016;;;0,00;0,00;-0,02;;;;0,0000000;20,94800;0,05000;0,01200;-0,0001763;;;;;;
User EOT time (s);448;30;20,94900;118,90001;0,003000;0,048;99,95;20,3000;0,000;0,00;101,216;0,009;263,151;329,650;330,65;845,350;;;573,200;590,100;553,300;306,950;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,59;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,01912;-0,04036;0,00471038;25,824555;-0,000133;24,103838;24,176958;0,0000;-0,0032;;;0,00;0,00;0,01;;;;0,0000000;20,94800;0,05000;0,00500;-0,0000032;;;;;;
MLR EOT mass (g/m²);;31;20,95100;119,77500;0,001000;0,049;99,93;20,3000;0,000;0,00;101,216;0,009;263,151;329,650;330,65;845,483;;;573,600;590,100;553,300;306,950;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,59;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,06871;0,00420;0,00471038;25,919404;-0,000003;24,192367;24,265755;0,0000;-0,0001;;;0,00;0,00;-0,05;;;;0,0000000;20,94800;0,05000;0,01300;-0,0001082;;;;;;
MLR time period (s);;32;20,95100;117,77500;0,002000;0,048;99,96;20,3000;0,000;0,00;101,208;0,009;263,151;329,650;330,65;845,450;;;573,500;590,100;553,300;306,950;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,59;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,04119;-0,03908;0,00471038;25,702092;-0,000220;23,989535;24,062308;0,0000;-0,0053;;;0,00;0,00;-0,05;;;;0,0000000;20,95000;0,05000;-0,00100;-0,0001057;;;;;;
Truncate graphs at EOT;;33;20,95200;115,15000;-0,006000;0,049;99,95;20,3000;0,000;0,00;101,216;0,009;263,151;329,550;330,55;845,417;;;573,300;590,200;553,300;306,950;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,59;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,23650;0,00517;0,00471038;25,417906;-0,000104;23,717088;23,789056;0,0000;-0,0025;;;0,00;0,00;-0,08;;;;0,0000000;20,95000;0,04900;-0,00100;-0,0000730;;;;;;
Smooth data?;;34;20,95000;117,24999;0,002000;0,049;99,90;20,3000;0,000;0,00;101,210;0,009;263,151;329,550;330,55;845,450;;;573,400;590,200;553,300;306,950;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,59;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,03291;0,00507;0,00471038;25,648632;0,000305;23,932375;24,004996;0,0001;0,0073;;;0,00;0,00;-0,01;;;;0,0000000;20,94900;0,04900;-0,01000;-0,0000526;;;;;;
Correct O2 for pressure?;;35;20,94900;116,15000;0,011000;0,049;99,96;20,3000;0,000;0,00;101,218;0,009;263,151;329,550;330,55;845,417;;;573,300;590,200;553,300;306,950;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,59;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,19107;0,00491;0,00471038;25,528036;-0,000230;23,819849;23,892129;0,0000;-0,0055;;;0,00;0,00;0,02;;;;0,0000000;20,95000;0,04900;0,01000;-0,0001071;;;;;;
;;36;20,95100;118,75000;0,017000;0,049;99,95;20,2000;0,000;0,00;101,218;0,009;263,151;329,450;330,45;845,383;;;573,200;590,200;553,300;306,950;;;;;0,00;0,00;0,00;3,00;2,18;0,000;0,000;0,59;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,33841;0,00483;0,00471038;25,816093;-0,000145;24,081321;24,154416;0,0000;-0,0035;;;0,00;0,00;-0,05;;;;0,0000000;20,95000;0,04900;0,00700;-0,0003015;;;;;;
