General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Test;;0;20,95400;122,77500;0,004000;0,049;99,96;21,2000;0,000;0,00;101,240;0,009;263,170;318,650;320,55;845,183;;;570,600;593,500;552,000;304,550;;;;;0,00;0,00;0,00;3,00;1,70;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,00000;0,00000;0,0;26,691099;0,000000;24,081340;24,224929;0,0000;0,0000;;;0,00;0,00;0,00;;;;0,0000000;20,95400;0,05000;0,00700;-0,0000506;;;;;;
Standard used;ISO 5660-1;1;20,95300;124,90000;0,003000;0,048;99,98;21,2000;0,000;0,00;101,240;0,009;263,170;318,750;320,55;845,150;;;570,500;593,500;552,000;304,550;;;;;0,00;0,00;0,00;3,00;1,70;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,01343;-0,02329;0,0;26,916871;-0,000093;24,292658;24,429841;0,0000;-0,0022;;;0,00;0,00;0,02;;;;0,0000000;20,95300;0,05000;0,01000;-0,0000015;;;;;;
Date of test;11,04,2025;2;20,95400;119,60000;0,020000;0,049;99,97;21,2000;0,000;0,00;101,242;0,009;263,170;318,650;320,55;845,050;;;570,100;593,600;552,000;304,550;;;;;0,00;0,00;0,00;3,00;1,70;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,28917;0,01519;0,0;26,343719;0,000005;23,767926;23,909646;0,0000;0,0001;;;0,00;0,00;-0,01;;;;0,0000000;20,95300;0,05100;0,00500;-0,0002776;;;;;;
Time of test;13:33;3;20,95300;122,37500;0,020000;0,050;99,97;21,2000;0,000;0,00;101,236;0,009;263,170;318,750;320,55;844,950;;;569,800;593,600;552,000;304,650;;;;;0,00;0,00;0,00;3,00;1,70;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,21935;0,04610;0,0;26,643405;0,000028;24,045853;24,181641;0,0000;0,0007;;;0,00;0,00;0,02;;;;0,0000000;20,95400;0,05000;0,00900;-0,0002357;;;;;;
Heat flux (kW/m²);25;4;20,95400;125,79999;0,007000;0,049;99,95;21,2000;0,000;0,00;101,240;0,009;263,170;318,650;320,55;845,017;;;570,100;593,500;552,000;304,550;;;;;0,00;0,00;0,00;3,00;1,70;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,10245;0,00000;0,0;27,017913;0,000178;24,376200;24,521547;0,0000;0,0043;;;0,00;0,00;-0,01;;;;0,0000000;20,95300;0,05000;0,01500;-0,0001128;;;;;;
Nominal duct flow rate (l/s);24,0;5;20,95500;119,67500;0,018000;0,050;99,98;21,2000;0,000;0,00;101,240;0,009;263,170;318,650;320,55;845,050;;;570,200;593,500;552,000;304,550;;;;;0,00;0,00;0,00;3,00;1,70;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,15778;0,03800;0,0;26,351977;-0,000089;23,775376;23,917141;0,0000;-0,0021;;;0,00;0,00;-0,04;;;;0,0000000;20,95300;0,05100;-0,00300;-0,0003089;;;;;;
Sampling interval (s);1;6;20,95600;121,60000;0,018000;0,049;99,96;21,2000;0,000;0,00;101,242;0,009;263,170;318,650;320,55;845,183;;;570,500;593,500;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,70;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,13632;-0,00657;0,0;26,563071;0,000064;23,965830;24,108730;0,0000;0,0015;;;0,00;0,00;-0,06;;;;0,0000000;20,95400;0,05100;0,00500;-0,0003383;;;;;;
Separation (mm);25;7;20,95500;118,35000;0,000000;0,049;99,97;21,2000;0,000;0,00;101,240;0,009;263,170;318,750;320,55;845,317;;;570,900;593,500;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,70;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,29415;-0,00567;0,0;26,201580;-0,000061;23,647103;23,780640;0,0000;-0,0014;;;0,00;0,00;-0,02;;;;0,0000000;20,95400;0,05100;-0,00800;-0,0000437;;;;;;
Orientation;Hor;8;20,95400;123,40000;-0,012000;0,049;99,98;21,2000;0,000;0,00;101,242;0,009;263,170;318,750;320,55;845,217;;;570,500;593,600;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,70;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,34585999;;;;nan;-0,55177;-0,00514;0,00134586;26,754753;-0,000100;24,146345;24,282701;0,0000;-0,0024;;;0,00;0,00;0,01;;;;0,0134586;20,95200;0,05000;0,00200;0,0001667;;;;;;
Edge frame?;N;9;20,95400;123,05000;-0,010000;0,050;99,96;21,2000;0,000;0,00;101,242;0,009;263,170;318,750;320,55;845,350;;;570,900;593,600;552,100;304,550;;;;;0,00;0,00;0,00;3,00;1,70;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,03665;;;;nan;-0,44790;0,03698;0,00238251;26,716784;0,000056;24,112078;24,248240;0,0000;0,0014;;;0,00;0,00;0,01;;;;0,0103665;20,95300;0,05000;0,00400;0,0001285;;;;;;
