General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Test;;0;20,95500;119,12500;0,013000;0,047;100,00;21,8000;0,000;0,00;101,888;0,000;263,183;334,550;337,95;1018,550;;;736,900;771,700;727,600;310,550;;;;;0,00;0,00;0,00;3,00;1,77;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,00000;0,00000;0,0;25,658981;0,000000;24,305284;24,552297;0,0000;0,0000;;;0,00;0,00;0,00;;;;0,0000000;20,95700;0,04800;0,01700;-0,0001646;;;;;;
Standard used;ISO 5660-1;1;20,95700;119,52500;0,019000;0,047;100,04;21,8000;0,000;0,00;101,884;0,000;263,183;334,550;337,95;1018,583;;;737,000;771,700;727,600;310,550;;;;;0,00;0,00;0,00;3,00;1,77;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,07685;0,00000;0,0;25,702023;-0,000165;24,346056;24,593483;0,0000;-0,0040;;;0,00;0,00;-0,03;;;;0,0000000;20,95700;0,04700;0,01000;-0,0003010;;;;;;
Date of test;10,04,2025;2;20,95700;113,17500;0,013000;0,047;100,05;21,8000;0,000;0,00;101,888;0,000;263,177;334,550;337,95;1018,383;;;736,300;771,700;727,700;310,550;;;;;0,00;0,00;0,00;3,00;1,77;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,04986;0,00000;0,0;25,009971;-0,000193;23,690515;23,931280;0,0000;-0,0046;;;0,00;0,00;-0,02;;;;0,0000000;20,95700;0,04700;0,01000;-0,0002049;;;;;;
Time of test;12:54;3;20,95700;116,27501;0,013000;0,047;100,06;21,8000;0,000;0,00;101,888;0,000;263,177;334,550;337,95;1018,417;;;736,300;771,800;727,700;310,550;;;;;0,00;0,00;0,00;3,00;1,77;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,03790;0,00000;0,0;25,350184;-0,000191;24,012779;24,256819;0,0000;-0,0046;;;0,00;0,00;-0,02;;;;0,0000000;20,95600;0,04700;0,01200;-0,0001948;;;;;;
Heat flux (kW/m²);50;4;20,95700;116,17500;0,003000;0,047;100,02;21,8000;0,000;0,00;101,888;0,000;263,177;334,650;338,05;1018,517;;;736,600;771,800;727,700;310,550;;;;;0,00;0,00;0,00;3,00;1,77;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,23232;0,00000;0,0;25,335494;0,000115;24,006038;24,249936;0,0000;0,0028;;;0,00;0,00;-0,01;;;;0,0000000;20,95600;0,04800;0,00500;-0,0000621;;;;;;
Nominal duct flow rate (l/s);24,0;5;20,95600;118,05000;0,000000;0,047;100,03;21,8000;0,000;0,00;101,888;0,000;263,183;334,750;338,15;1018,717;;;737,100;771,800;727,800;310,550;;;;;0,00;0,00;0,00;3,00;1,77;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,23124999;;;;nan;-0,25875;0,00000;0,00023124;25,535311;0,000044;24,202599;24,448421;0,0000;0,0011;;;0,00;0,00;0,02;;;;0,0023125;20,95600;0,04800;-0,00900;0,0000302;;;;;;
Sampling interval (s);1;6;20,95700;114,65000;-0,015000;0,048;100,03;21,8000;0,000;0,00;101,888;0,000;263,183;334,650;338,15;1018,550;;;736,500;771,900;727,800;310,550;;;;;0,00;0,00;0,00;3,00;1,77;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,16585;;;;nan;-0,54113;0,03728;0,0013971;25,168659;0,000054;23,847957;24,097375;0,0000;0,0013;;;0,00;0,00;-0,01;;;;0,0116585;20,95700;0,04800;-0,00600;0,0001531;;;;;;
Separation (mm);25;7;20,95700;117,45000;-0,010000;0,047;99,99;21,8000;0,000;0,00;101,888;0,000;263,177;334,750;338,15;1018,517;;;736,300;771,900;727,900;310,550;;;;;0,00;0,00;0,00;3,00;1,77;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,81276;;;;nan;-0,36810;-0,00550;0,00220986;25,470336;0,000367;24,141016;24,386212;0,0001;0,0089;;;0,00;0,00;-0,01;;;;0,0081276;20,95800;0,04700;-0,01200;0,0001055;;;;;;
Orientation;Hor;8;20,95700;115,02500;-0,022000;0,046;100,04;21,8000;0,000;0,00;101,888;0,000;263,183;334,750;338,15;1018,683;;;736,800;771,900;727,900;310,550;;;;;0,00;0,00;0,00;3,00;1,77;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,06297;;;;nan;-0,59179;-0,04356;0,00427283;25,206021;-0,000164;23,890495;24,133146;0,0000;-0,0039;;;-0,01;0,00;-0,01;;;;0,0206297;20,95700;0,04700;-0,00800;0,0002709;;;;;;
Edge frame?;N;9;20,95700;118,32500;-0,004000;0,047;100,02;21,8000;0,000;0,00;101,888;0,000;263,183;334,750;338,15;1018,683;;;736,800;771,900;727,900;310,650;;;;;0,00;0,00;0,00;3,00;1,78;0,000;0,000;0,60;0,63;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,25203;;;;nan;-0,12740;0,00000;0,00452486;25,565037;0,000051;24,230773;24,476881;0,0000;0,0012;;;0,00;0,00;-0,01;;;;0,0025203;20,95600;0,04800;-0,00500;0,0000325;;;;;;
