General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Test;;0;20,95200;107,87499;0,000000;0,050;99,99;20,9000;0,000;0,00;101,086;0,009;263,151;362,350;365,65;1135,350;;;844,500;888,800;853,300;317,150;;;;;0,00;0,00;0,00;3,00;1,91;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,00000;0,00000;0,0;23,407420;0,000000;24,014972;24,233682;0,0000;0,0000;;;0,00;0,00;0,00;;;;0,0000000;20,95200;0,05000;0,01000;0,0000000;;;;;;
Standard used;ISO 5660-1;1;20,95300;104,42501;0,009000;0,050;99,96;20,9000;0,000;0,00;101,086;0,009;263,151;362,450;365,85;1135,317;;;844,400;888,800;853,300;317,150;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,10427;0,00000;0,0;23,026901;0,000141;23,631096;23,852770;0,0000;0,0033;;;0,00;0,00;-0,01;;;;0,0000000;20,95300;0,05000;0,00900;-0,0001441;;;;;;
Date of test;27,03,2025;2;20,95200;105,89999;0,012000;0,050;99,95;20,9000;0,000;0,00;101,094;0,009;263,151;362,550;365,85;1135,617;;;845,300;888,800;853,300;317,150;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,11666;0,00000;0,0;23,185758;0,000137;23,800687;24,017325;0,0000;0,0033;;;0,00;0,00;0,01;;;;0,0000000;20,95300;0,05000;0,00400;-0,0001318;;;;;;
Time of test;13:39;3;20,95200;105,37500;0,000000;0,050;99,97;20,9000;0,000;0,00;101,086;0,009;263,151;362,450;365,85;1135,517;;;845,100;888,800;853,200;317,150;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,10441;;;;nan;-0,12221;0,00000;0,00010441;23,131406;-0,000064;23,738343;23,961023;0,0000;-0,0015;;;0,00;0,00;0,01;;;;0,0010441;20,95200;0,05000;-0,00400;0,0000151;;;;;;
Heat flux (kW/m²);75;4;20,95200;105,89999;-0,006000;0,050;99,99;20,9000;0,000;0,00;101,094;0,009;263,151;362,450;365,75;1135,283;;;844,400;888,800;853,200;317,150;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,61387;;;;nan;-0,21001;0,00000;0,00071828;23,188957;-0,000144;23,797404;24,014072;0,0000;-0,0034;;;0,00;0,00;0,01;;;;0,0061387;20,95200;0,05000;0,00000;0,0000880;;;;;;
Nominal duct flow rate (l/s);24,0;5;20,95200;109,75000;0,012000;0,050;99,99;20,9000;0,000;0,00;101,094;0,009;263,151;362,350;365,65;1135,250;;;844,400;888,700;853,200;317,150;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,17819;0,00000;0,00071828;23,609970;-0,000128;24,222779;24,443381;0,0000;-0,0031;;;0,00;0,00;0,00;;;;0,0000000;20,95100;0,04900;0,00500;-0,0001419;;;;;;
Sampling interval (s);1;6;20,95300;109,22500;0,009000;0,050;99,98;20,9000;0,000;0,00;101,088;0,009;263,158;362,250;365,55;1135,150;;;844,100;888,700;853,200;317,150;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,09143;0,00000;0,00071828;23,556683;-0,000087;24,161439;24,381543;0,0000;-0,0021;;;0,00;0,00;-0,02;;;;0,0000000;20,95500;0,05000;0,00900;-0,0001571;;;;;;
Separation (mm);25;7;20,95400;107,80000;0,019000;0,049;100,00;20,9000;0,000;0,00;101,086;0,009;263,158;362,250;365,55;1134,950;;;843,600;888,700;853,100;317,250;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,28554;-0,03573;0,00071828;23,402512;-0,000196;24,003310;24,221974;0,0000;-0,0047;;;0,00;0,00;-0,04;;;;0,0000000;20,95400;0,04900;0,01600;-0,0003201;;;;;;
Orientation;Hor;8;20,95400;105,00000;0,018000;0,049;99,99;20,9000;0,000;0,00;101,086;0,009;263,158;362,150;365,45;1135,050;;;843,900;888,700;853,100;317,250;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,22986;-0,03135;0,00071828;23,099772;-0,000137;23,686258;23,902093;0,0000;-0,0033;;;0,00;0,00;-0,04;;;;0,0000000;20,95200;0,04800;0,01700;-0,0002986;;;;;;
Edge frame?;N;9;20,95300;105,55000;0,018000;0,049;100,00;20,9000;0,000;0,00;101,086;0,009;263,158;362,250;365,55;1134,917;;;843,500;888,700;853,100;317,150;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,20739;-0,02828;0,00071828;23,156995;-0,000167;23,751491;23,967860;0,0000;-0,0040;;;0,00;0,00;-0,01;;;;0,0000000;20,95200;0,04800;0,01700;-0,0002372;;;;;;
Grid?;N;10;20,95400;109,20001;0,018000;0,050;99,96;20,9000;0,000;0,00;101,088;0,009;263,158;362,250;365,65;1134,917;;;843,500;888,700;853,100;317,250;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,55;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,19177;0,01121;0,00071828;23,553987;0,000212;24,158674;24,385422;0,0000;0,0051;;;0,00;0,00;-0,04;;;;0,0000000;20,95300;0,04900;0,01900;-0,0003027;;;;;;
Non-scrubbed?;;11;20,95300;109,37500;0,010000;0,050;99,99;20,9000;0,000;0,00;101,088;0,009;263,158;362,250;365,65;1134,950;;;843,600;888,700;853,100;317,250;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,55;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,00198;0,01028;0,00071828;23,572852;-0,000067;24,178024;24,404954;0,0000;-0,0016;;;0,00;0,00;0,00;;;;0,0000000;20,95400;0,04900;0,01900;-0,0001398;;;;;;
Substrate used? {Y/N};;12;20,95300;108,67500;0,009000;0,050;100,00;20,9000;0,000;0,00;101,086;0,009;263,158;362,250;365,75;1134,883;;;843,400;888,700;853,100;317,250;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,55;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,02001;0,00946;0,00071828;23,497297;-0,000176;24,100529;24,333384;0,0000;-0,0043;;;0,00;0,00;0,00;;;;0,0000000;20,95300;0,04900;0,00800;-0,0001262;;;;;;
Substrate;;13;20,95200;106,27500;0,004000;0,050;99,97;20,9000;0,000;0,00;101,086;0,009;263,151;362,250;365,65;1134,683;;;842,800;888,700;853,100;317,250;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,55;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,12693;0,00869;0,00071828;23,236390;0,000140;23,832924;24,056614;0,0000;0,0034;;;0,00;0,00;0,02;;;;0,0000000;20,95300;0,04900;0,00400;-0,0000059;;;;;;
Additional preparation details;;14;20,95300;108,05001;-0,004000;0,050;99,97;20,9000;0,000;0,00;101,084;0,009;263,158;362,150;365,55;1134,517;;;842,500;888,600;853,000;317,250;;;;;0,00;0,00;0,00;3,00;1,92;0,000;0,000;0,57;0,55;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,25481000;;;;nan;-0,29554;0,00818;0,00097309;23,432868;0,000081;24,027811;24,253393;0,0000;0,0019;;;0,00;0,00;-0,01;;;;0,0025481;20,95300;0,04900;-0,00200;0,0000360;;;;;;
