General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Specimen;;16;20,95300;111,37500;-0,010000;0,047;100,05;19,7000;0,000;0,00;101,864;0,000;263,164;344,950;347,65;1018,283;;;738,100;768,400;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,84125999;;;;nan;-0,21486;-0,00497;0,00794586;24,433419;0,000240;23,863859;24,050646;0,0001;0,0057;;;0,00;0,00;-0,01;;;;0,0084126;20,95100;0,04700;-0,00700;0,0001138;;;;;;
Sample description;;17;20,95300;110,15000;-0,016000;0,047;100,05;19,7000;0,000;0,00;101,864;0,000;263,164;344,950;347,65;1018,317;;;738,200;768,400;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,39927;;;;nan;-0,33904;-0,00467;0,00934513;24,298677;0,000213;23,732257;23,918015;0,0000;0,0050;;;0,00;0,00;-0,01;;;;0,0139927;20,95200;0,04700;-0,00200;0,0001905;;;;;;
Material name/ID;PMMA_DE_6m;18;20,95300;112,40000;-0,001000;0,047;100,07;19,7000;0,000;0,00;101,864;0,000;263,164;344,950;347,65;1018,350;;;738,300;768,400;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,01005;;;;nan;0,02318;-0,00446;0,00935519;24,545593;-0,000015;23,973418;24,161063;0,0000;-0,0004;;;0,00;0,00;-0,01;;;;0,0001005;20,95100;0,04700;0,00200;0,0000013;;;;;;
Specimen number;R3;19;20,95300;113,97501;-0,005000;0,047;100,02;19,7000;0,000;0,00;101,860;0,000;263,164;344,950;347,75;1018,283;;;738,100;768,400;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,39250999;;;;nan;-0,07144;-0,00427;0,00974769;24,716968;0,000446;24,140797;24,336751;0,0001;0,0108;;;0,00;0,00;-0,01;;;;0,0039251;20,95200;0,04700;0,01100;0,0000525;;;;;;
E (MJ/kg);13,10;20;20,95300;112,40000;0,010000;0,046;100,01;19,7000;0,000;0,00;101,860;0,000;263,164;344,950;347,65;1018,150;;;737,800;768,300;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,28191;-0,04444;0,00974769;24,545593;0,000591;23,973418;24,161063;0,0001;0,0142;;;0,00;0,00;-0,01;;;;0,0000000;20,95400;0,04700;0,02300;-0,0001248;;;;;;
Initial mass (g);67,94;21;20,95300;115,15000;0,014000;0,047;100,00;19,7000;0,000;0,00;101,864;0,000;263,164;344,950;347,65;1018,050;;;737,400;768,400;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,36690;-0,00195;0,00974769;24,844048;0,000572;24,264915;24,454842;0,0001;0,0139;;;0,00;0,00;-0,01;;;;0,0000000;20,95300;0,04700;0,01900;-0,0001877;;;;;;
Thickness (mm);5,72;22;20,95300;110,52500;0,013000;0,047;100,04;19,7000;0,000;0,00;101,860;0,000;263,164;344,950;347,65;1017,983;;;737,200;768,400;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,32063;-0,00183;0,00974769;24,340004;0,000241;23,772621;23,958695;0,0001;0,0057;;;0,00;0,00;-0,01;;;;0,0000000;20,95200;0,04800;0,00300;-0,0001745;;;;;;
Surface area (cm²);100;23;20,95200;111,75000;0,013000;0,048;100,05;19,7000;0,000;0,00;101,864;0,000;263,164;344,950;347,65;1018,017;;;737,400;768,300;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,30897;0,03877;0,00974769;24,474518;0,000133;23,903999;24,091101;0,0000;0,0032;;;0,00;0,00;0,02;;;;0,0000000;20,95200;0,04700;0,00100;-0,0001284;;;;;;
Sponsor;;24;20,95100;113,82500;-0,001000;0,047;100,02;19,7000;0,000;0,00;101,872;0,000;263,164;344,850;347,55;1018,217;;;738,000;768,300;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,87215;;;;nan;-0,03151;-0,00342;0,01061984;24,704279;0,000414;24,121409;24,310268;0,0001;0,0100;;;0,00;0,00;0,05;;;;0,0087215;20,95300;0,04700;-0,01200;0,0001175;;;;;;
Manufacturer;;25;20,95200;114,52500;-0,009000;0,047;99,99;19,7000;0,000;0,00;101,864;0,000;263,164;344,850;347,45;1018,250;;;738,100;768,300;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,17116;;;;nan;-0,22037;-0,00329;0,01179100;24,780125;0,000703;24,195466;24,377888;0,0002;0,0170;;;0,00;0,00;0,02;;;;0,0117116;20,95200;0,04700;-0,01900;0,0001567;;;;;;
Test start time (s);60;26;20,95100;112,57500;-0,003000;0,048;100,02;19,7000;0,000;0,00;101,864;0,000;263,170;344,750;347,45;1018,150;;;737,800;768,300;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,57;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,92475000;;;;nan;-0,06893;0,03774;0,01271575;24,571818;0,000298;23,985117;24,172963;0,0001;0,0071;;;0,00;0,00;0,05;;;;0,0092475;20,95000;0,04700;-0,01100;0,0001251;;;;;;
Time to ignition (s);25;27;20,95200;115,62500;-0,007000;0,047;99,98;19,7000;0,000;0,00;101,864;0,000;263,170;344,850;347,45;1018,183;;;737,900;768,300;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,57;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,95075999;;;;nan;-0,16307;-0,00461;0,01366651;24,898846;0,000724;24,311386;24,494682;0,0002;0,0176;;;0,00;0,00;0,02;;;;0,0095076;20,95200;0,04600;-0,00200;0,0001266;;;;;;
Time to flameout (s);242;28;20,95300;110,10000;-0,002000;0,047;99,96;19,7000;0,000;0,00;101,860;0,000;263,170;344,750;347,45;1018,117;;;737,800;768,300;728,800;317,750;;;;;0,00;0,00;0,00;3,00;2,57;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,02839000;;;;nan;-0,03675;-0,00434;0,01369490;24,300207;0,000868;23,719991;23,905761;0,0002;0,0206;;;0,00;0,00;-0,01;;;;0,0002839;20,95200;0,04700;-0,00800;0,0000037;;;;;;
End of test criteria;Mass less ;29;20,95100;113,47501;0,002000;0,047;100,02;19,7000;0,000;0,00;101,860;0,000;263,170;344,850;347,55;1018,117;;;737,800;768,300;728,800;317,750;;;;;0,00;0,00;0,00;3,00;2,57;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,52111;;;;nan;0,05900;-0,00426;0,01421602;24,666268;0,000305;24,084295;24,272864;0,0001;0,0073;;;0,00;0,00;0,05;;;;0,0052111;20,95300;0,04600;0,00600;0,0000706;;;;;;
User EOT time (s);288;30;20,95200;107,77500;0,011000;0,047;99,99;19,7000;0,000;0,00;101,860;0,000;263,170;344,850;347,55;1018,017;;;737,500;768,300;728,800;317,750;;;;;0,00;0,00;0,00;3,00;2,57;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,26431;-0,00402;0,01421602;24,038777;0,000548;23,471609;23,655380;0,0001;0,0129;;;0,00;0,00;0,02;;;;0,0000000;20,95300;0,04600;0,01000;-0,0001049;;;;;;
MLR EOT mass (g/m²);;31;20,95100;114,47500;0,023000;0,047;100,00;19,7000;0,000;0,00;101,856;0,000;263,177;344,850;347,55;1018,083;;;737,700;768,300;728,800;317,750;;;;;0,00;0,00;0,00;3,00;2,57;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,55092;-0,00401;0,01421602;24,774716;0,000448;24,190184;24,379581;0,0001;0,0108;;;0,00;0,00;0,05;;;;0,0000000;20,95400;0,04700;0,00400;-0,0001994;;;;;;
MLR time period (s);;32;20,95200;111,64999;0,019000;0,047;100,04;19,6000;0,000;0,00;101,860;0,000;263,170;344,850;347,55;1018,083;;;737,700;768,300;728,800;317,750;;;;;0,00;0,00;0,00;3,00;2,57;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,43301;-0,00384;0,01421602;24,467111;0,000083;23,889837;24,076883;0,0000;0,0020;;;0,00;0,00;0,01;;;;0,0000000;20,95400;0,04700;0,00200;-0,0002101;;;;;;
Truncate graphs at EOT;;33;20,95400;109,72500;0,003000;0,048;100,02;19,7000;0,000;0,00;101,864;0,000;263,170;344,850;347,55;1017,850;;;737,100;768,200;728,800;317,750;;;;;0,00;0,00;0,00;3,00;2,57;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,04124;0,03698;0,01421602;24,255272;0,000240;23,682996;23,868422;0,0001;0,0057;;;0,00;0,00;-0,04;;;;0,0000000;20,95400;0,04700;-0,00300;-0,0001380;;;;;;
Smooth data?;;34;20,95300;114,30001;0,001000;0,047;100,03;19,6000;0,000;0,00;101,864;0,000;263,170;344,850;347,55;1017,617;;;736,400;768,200;728,800;317,750;;;;;0,00;0,00;0,00;3,00;2,57;0,000;0,000;0,57;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,00705;-0,00489;0,01421602;24,755772;0,000110;24,171687;24,360939;0,0000;0,0027;;;0,00;0,00;-0,01;;;;0,0000000;20,95400;0,04800;-0,01700;-0,0000388;;;;;;
Correct O2 for pressure?;;35;20,95200;109,22500;-0,012000;0,047;100,02;19,6000;0,000;0,00;101,860;0,000;263,170;344,850;347,55;1017,250;;;735,300;768,200;728,800;317,750;;;;;0,00;0,00;0,00;3,00;2,57;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,35233999;;;;nan;-0,31153;-0,00465;0,01556835;24,199945;0,000258;23,628974;23,813978;0,0001;0,0061;;;0,00;0,00;0,02;;;;0,0135234;20,95200;0,04900;-0,01200;0,0001851;;;;;;
;;36;20,95200;114,65000;-0,019000;0,047;100,01;19,6000;0,000;0,00;101,860;0,000;263,170;344,750;347,45;1017,217;;;735,200;768,200;728,800;317,750;;;;;0,00;0,00;0,00;3,00;2,57;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,04271;;;;nan;-0,47891;-0,00463;0,01761107;24,797241;0,000307;24,205157;24,394726;0,0001;0,0074;;;0,00;0,00;0,02;;;;0,0204271;20,95100;0,04900;-0,02000;0,0002728;;;;;;
