General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Test;;0;20,95300;115,32500;0,015000;0,047;100,05;19,6000;0,000;0,00;101,864;0,000;263,164;344,950;347,55;1018,050;;;737,400;768,300;729,000;317,750;;;;;0,00;0,00;0,00;3,00;2,55;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,00000;0,00000;0,0;24,862919;0,000000;24,283347;24,466378;0,0000;0,0000;;;0,00;0,00;0,00;;;;0,0000000;20,95100;0,04800;0,01200;-0,0001899;;;;;;
Standard used;ISO 5660-1;1;20,95300;115,17500;0,017000;0,047;100,08;19,6000;0,000;0,00;101,864;0,000;263,164;344,950;347,55;1018,017;;;737,400;768,200;729,000;317,750;;;;;0,00;0,00;0,00;3,00;2,55;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,02476;0,00000;0,0;24,846744;-0,000162;24,267549;24,450461;0,0000;-0,0039;;;0,00;0,00;0,00;;;;0,0000000;20,95200;0,04700;0,00400;-0,0002152;;;;;;
Date of test;10,04,2025;2;20,95200;113,62499;0,000000;0,047;100,07;19,6000;0,000;0,00;101,866;0,000;263,164;344,850;347,55;1018,150;;;737,700;768,300;729,000;317,650;;;;;0,00;0,00;0,00;3,00;2,55;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,29824999;;;;nan;-0,26239;0,00000;0,00029824;24,682564;-0,000040;24,100207;24,288900;0,0000;-0,0010;;;0,00;0,00;0,02;;;;0,0029825;20,95200;0,04700;0,00600;0,0000403;;;;;;
Time of test;13:32;3;20,95200;110,60000;-0,005000;0,047;100,08;19,6000;0,000;0,00;101,860;0,000;263,164;344,850;347,55;1018,183;;;737,800;768,300;729,000;317,750;;;;;0,00;0,00;0,00;3,00;2,55;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,68641;;;;nan;-0,28517;0,00000;0,00098465;24,351791;-0,000140;23,777238;23,963402;0,0000;-0,0033;;;0,00;0,00;0,02;;;;0,0068641;20,95300;0,04700;-0,00800;0,0000935;;;;;;
Heat flux (kW/m²);50;4;20,95300;110,60000;-0,009000;0,047;100,08;19,6000;0,000;0,00;101,860;0,000;263,164;344,850;347,55;1018,183;;;737,800;768,300;729,000;317,750;;;;;0,00;0,00;0,00;3,00;2,55;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,66174;;;;nan;-0,30580;0,00000;0,0016464;24,351791;-0,000112;23,777238;23,963402;0,0000;-0,0027;;;0,00;0,00;-0,01;;;;0,0066174;20,95300;0,04700;-0,01300;0,0000898;;;;;;
Nominal duct flow rate (l/s);24,0;5;20,95200;112,32501;-0,015000;0,047;100,06;19,6000;0,000;0,00;101,864;0,000;263,164;344,950;347,55;1018,150;;;737,700;768,300;729,000;317,750;;;;;0,00;0,00;0,00;3,00;2,55;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,62996;;;;nan;-0,37905;0,00000;0,00327636;24,537403;0,000098;23,965419;24,146054;0,0000;0,0023;;;0,00;0,00;0,02;;;;0,0162996;20,95300;0,04700;-0,01000;0,0002200;;;;;;
Sampling interval (s);1;6;20,95300;109,10000;-0,003000;0,047;100,08;19,6000;0,000;0,00;101,864;0,000;263,164;344,950;347,55;1018,217;;;737,900;768,300;729,000;317,750;;;;;0,00;0,00;0,00;3,00;2,55;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,08966;;;;nan;-0,07230;0,00000;0,00336602;24,182587;-0,000101;23,618873;23,796896;0,0000;-0,0024;;;0,00;0,00;-0,01;;;;0,0008966;20,95300;0,04700;-0,01600;0,0000121;;;;;;
Separation (mm);25;7;20,95400;113,75000;-0,008000;0,048;100,07;19,6000;0,000;0,00;101,864;0,000;263,164;344,950;347,55;1018,250;;;738,000;768,300;729,000;317,750;;;;;0,00;0,00;0,00;3,00;2,55;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,11409;;;;nan;-0,17227;0,03734;0,00348011;24,692558;0,000024;24,116957;24,298734;0,0000;0,0006;;;0,00;0,00;-0,04;;;;0,0011409;20,95300;0,04700;-0,00100;0,0000147;;;;;;
Orientation;Hor;8;20,95500;111,60000;-0,004000;0,047;100,07;19,6000;0,000;0,00;101,864;0,000;263,164;344,950;347,65;1018,217;;;737,900;768,300;729,000;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,06500;-0,00470;0,00348011;24,458086;-0,000039;23,887951;24,074927;0,0000;-0,0009;;;0,00;0,00;-0,06;;;;0,0000000;20,95300;0,04700;-0,00500;-0,0000687;;;;;;
Edge frame?;N;9;20,95300;111,97500;-0,006000;0,047;100,12;19,6000;0,000;0,00;101,864;0,000;263,164;344,950;347,55;1018,250;;;738,100;768,300;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,57156000;;;;nan;-0,10255;-0,00423;0,00405166;24,499144;-0,000437;23,928051;24,108405;-0,0001;-0,0105;;;0,00;0,00;0,00;;;;0,0057156;20,95300;0,04600;0,01000;0,0000772;;;;;;
Grid?;N;10;20,95400;110,00000;0,007000;0,047;100,07;19,6000;0,000;0,00;101,860;0,000;263,164;344,950;347,55;1018,117;;;737,600;768,300;729,000;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,19360;-0,00381;0,00405166;24,282126;0,000064;23,716093;23,894848;0,0000;0,0015;;;0,00;0,00;-0,03;;;;0,0000000;20,95200;0,04700;0,01400;-0,0001424;;;;;;
Non-scrubbed?;;11;20,95300;110,67501;0,012000;0,048;100,11;19,7000;0,000;0,00;101,864;0,000;263,164;344,950;347,55;1018,083;;;737,600;768,300;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,28927;0,03508;0,00405166;24,356515;-0,000353;23,788748;23,968051;-0,0001;-0,0084;;;0,00;0,00;0,00;;;;0,0000000;20,95100;0,04700;0,01300;-0,0001574;;;;;;
Substrate used? {Y/N};;12;20,95200;114,62501;0,004000;0,047;100,04;19,7000;0,000;0,00;101,860;0,000;263,164;344,850;347,55;1018,183;;;737,900;768,300;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,08451;;;;nan;0,08933;-0,00659;0,00413618;24,790942;0,000358;24,206028;24,395549;0,0001;0,0087;;;0,00;0,00;0,03;;;;0,0008451;20,95200;0,04800;0,01300;0,0000117;;;;;;
Substrate;;13;20,95100;113,87500;0,006000;0,047;100,09;19,7000;0,000;0,00;101,864;0,000;263,164;344,850;347,55;1018,317;;;738,300;768,300;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,57;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,27806;;;;nan;0,12841;-0,00610;0,00441424;24,709704;-0,000177;24,126706;24,315606;0,0000;-0,0043;;;0,00;0,00;0,06;;;;0,0027806;20,95100;0,04700;-0,00100;0,0000380;;;;;;
Additional preparation details;;14;20,95200;111,10000;-0,008000;0,047;100,04;19,7000;0,000;0,00;101,860;0,000;263,164;344,850;347,55;1018,217;;;738,000;768,300;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,57;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,11304;;;;nan;-0,19946;-0,00562;0,00552727;24,406773;0,000358;23,830923;24,017507;0,0001;0,0085;;;0,00;0,00;0,02;;;;0,0111304;20,95200;0,04700;-0,00900;0,0001512;;;;;;
;;15;20,95200;114,05000;-0,013000;0,047;100,04;19,7000;0,000;0,00;101,864;0,000;263,164;344,850;347,55;1018,317;;;738,300;768,300;728,900;317,750;;;;;0,00;0,00;0,00;3,00;2,56;0,000;0,000;0,57;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,57733000;;;;nan;-0,30499;-0,00534;0,00710460;24,728683;0,000304;24,145238;24,334283;0,0001;0,0073;;;0,00;0,00;0,02;;;;0,0157733;20,95300;0,04800;-0,00300;0,0002114;;;;;;
