General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Grid?;N;10;20,95200;110,70000;0,012000;0,052;99,98;22,1000;0,000;0,00;101,102;0,009;263,170;351,950;356,15;1134,517;;;841,200;890,800;852,100;312,750;;;;;0,00;0,00;0,00;3,00;1,66;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,12317;-0,00381;0,00165773;24,059723;-0,000500;23,975732;24,261846;-0,0001;-0,0120;;;0,00;0,00;0,02;;;;0,0000000;20,95500;0,05000;0,00200;-0,0001123;;;;;;
Non-scrubbed?;;11;20,95400;108,72500;0,021000;0,052;99,91;22,1000;0,000;0,00;101,102;0,009;263,170;351,950;356,15;1134,617;;;841,500;890,800;852,100;312,750;;;;;0,00;0,00;0,00;3,00;1,66;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,30972;-0,00346;0,00165773;23,844132;0,000162;23,760893;24,044444;0,0000;0,0039;;;0,00;0,00;-0,04;;;;0,0000000;20,95400;0,05000;0,02700;-0,0003404;;;;;;
Substrate used? {Y/N};;12;20,95200;109,17500;0,021000;0,052;99,97;22,1000;0,000;0,00;101,106;0,009;263,170;352,050;356,15;1134,483;;;841,100;890,800;852,100;312,750;;;;;0,00;0,00;0,00;3,00;1,66;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,28644;-0,00320;0,00165773;23,890031;-0,000337;23,813396;24,090728;-0,0001;-0,0081;;;0,00;0,00;0,02;;;;0,0000000;20,95300;0,05000;0,03100;-0,0002231;;;;;;
Substrate;;13;20,95200;109,17500;0,023000;0,051;99,97;22,1000;0,000;0,00;101,106;0,009;263,170;352,050;356,15;1134,517;;;841,100;890,800;852,200;312,750;;;;;0,00;0,00;0,00;3,00;1,66;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,31060;-0,04166;0,00165773;23,890031;-0,000313;23,813396;24,090728;-0,0001;-0,0075;;;0,00;0,00;0,02;;;;0,0000000;20,95600;0,05000;0,02100;-0,0002397;;;;;;
Additional preparation details;;14;20,95300;111,22500;0,021000;0,051;99,94;22,1000;0,000;0,00;101,106;0,009;263,177;351,950;356,15;1134,650;;;841,500;890,800;852,200;312,750;;;;;0,00;0,00;0,00;3,00;1,66;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,24737;-0,03925;0,00165773;24,116708;-0,000003;24,032517;24,319309;0,0000;-0,0001;;;0,00;0,00;-0,01;;;;0,0000000;20,95800;0,05000;0,00000;-0,0002742;;;;;;
;;15;20,95400;113,20000;0,009000;0,051;99,97;22,1000;0,000;0,00;101,102;0,009;263,177;351,950;356,05;1134,483;;;840,900;890,900;852,200;312,750;;;;;0,00;0,00;0,00;3,00;1,66;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,04129;-0,03712;0,00165773;24,329883;-0,000277;24,244948;24,527387;-0,0001;-0,0068;;;0,00;0,00;-0,04;;;;0,0000000;20,95500;0,05000;0,01100;-0,0001784;;;;;;
Specimen;;16;20,95500;113,82500;0,000000;0,051;99,95;22,1000;0,000;0,00;101,106;0,009;263,177;351,950;356,05;1134,317;;;840,400;890,900;852,200;312,750;;;;;0,00;0,00;0,00;3,00;1,66;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,24678;-0,03503;0,00165773;24,396956;-0,000079;24,311787;24,595004;0,0000;-0,0019;;;0,00;0,00;-0,07;;;;0,0000000;20,95700;0,05000;-0,00600;-0,0001175;;;;;;
Sample description;;17;20,95400;111,64999;-0,015000;0,050;99,94;22,1000;0,000;0,00;101,106;0,009;263,177;351,950;356,15;1134,617;;;841,200;890,900;852,300;312,750;;;;;0,00;0,00;0,00;3,00;1,66;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,07804;;;;nan;-0,57506;-0,07256;0,00273577;24,162739;0,000029;24,078388;24,365727;0,0000;0,0007;;;-0,01;0,00;-0,03;;;;0,0107804;20,95600;0,05000;0,00500;0,0001479;;;;;;
Material name/ID;PMMA_DE_6m;18;20,95300;110,87500;-0,006000;0,050;99,92;22,1000;0,000;0,00;101,102;0,009;263,177;351,950;356,15;1134,917;;;842,100;890,900;852,300;312,750;;;;;0,00;0,00;0,00;3,00;1,66;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,67636;;;;nan;-0,33645;-0,06850;0,00341213;24,078733;0,000194;23,994675;24,281016;0,0000;0,0047;;;0,00;0,00;0,00;;;;0,0067636;20,95600;0,05000;-0,00800;0,0000934;;;;;;
Specimen number;R2;19;20,95500;113,62499;-0,004000;0,050;99,94;22,1000;0,000;0,00;101,102;0,009;263,177;352,050;356,15;1134,850;;;841,800;891,000;852,300;312,750;;;;;0,00;0,00;0,00;3,00;1,66;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,27695;-0,06587;0,00341213;24,372050;-0,000029;24,293868;24,576797;0,0000;-0,0007;;;0,00;0,00;-0,06;;;;0,0000000;20,95400;0,05000;0,00800;-0,0000475;;;;;;
E (MJ/kg);13,10;20;20,95300;107,62500;0,013000;0,050;99,95;22,1000;0,000;0,00;101,106;0,009;263,177;352,050;356,15;1134,950;;;842,000;891,000;852,400;312,850;;;;;0,00;0,00;0,00;3,00;1,66;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,12949;-0,06106;0,00341213;23,719837;-0,000083;23,643748;23,919105;0,0000;-0,0020;;;0,00;0,00;0,00;;;;0,0000000;20,95600;0,05000;0,00900;-0,0001430;;;;;;
Initial mass (g);70,01;21;20,95500;110,27500;0,002000;0,050;99,95;22,1000;0,000;0,00;101,110;0,009;263,177;352,050;356,15;1135,217;;;842,800;891,000;852,400;312,850;;;;;0,00;0,00;0,00;3,00;1,66;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,12841;-0,05899;0,00341213;24,010082;-0,000118;23,933062;24,211788;0,0000;-0,0028;;;0,00;0,00;-0,06;;;;0,0000000;20,95500;0,05000;0,01700;-0,0001200;;;;;;
Thickness (mm);5,93;22;20,95300;110,07500;0,027000;0,050;99,91;22,1000;0,000;0,00;101,106;0,009;263,177;352,050;356,15;1134,883;;;841,700;891,000;852,500;312,850;;;;;0,00;0,00;0,00;3,00;1,66;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,45414;-0,05638;0,00341213;23,988300;0,000264;23,911350;24,189823;0,0001;0,0063;;;0,00;0,00;0,00;;;;0,0000000;20,95600;0,05000;0,01300;-0,0003170;;;;;;
Surface area (cm²);100;23;20,95500;114,70000;0,031000;0,050;99,90;22,1000;0,000;0,00;101,106;0,009;263,177;351,950;356,15;1134,983;;;841,900;891,100;852,500;312,850;;;;;0,00;0,00;0,00;3,00;1,66;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,53874;-0,05516;0,00341213;24,490549;0,000310;24,405053;24,696291;0,0001;0,0076;;;0,00;0,00;-0,06;;;;0,0000000;20,95400;0,05100;0,01300;-0,0004845;;;;;;
Sponsor;;24;20,95400;108,72500;0,021000;0,050;99,88;22,1000;0,000;0,00;101,102;0,009;263,177;352,050;356,15;1135,017;;;842,000;891,100;852,500;312,850;;;;;0,00;0,00;0,00;3,00;1,66;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,27331;-0,05155;0,00341213;23,840746;0,000547;23,764269;24,041029;0,0001;0,0131;;;0,00;0,00;-0,02;;;;0,0000000;20,95400;0,05000;0,01500;-0,0002961;;;;;;
Manufacturer;;25;20,95300;109,52501;0,000000;0,050;99,90;22,1000;0,000;0,00;101,106;0,009;263,177;352,050;356,35;1135,050;;;842,000;891,100;852,600;312,850;;;;;0,00;0,00;0,00;3,00;1,67;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,20769999;;;;nan;-0,22212;-0,04975;0,00361983;23,928295;0,000275;23,851538;24,142864;0,0001;0,0066;;;0,00;0,00;0,01;;;;0,0020770;20,95500;0,05100;0,01000;0,0000290;;;;;;
Test start time (s);60;26;20,95600;112,60000;0,011000;0,050;99,92;22,1000;0,000;0,00;101,106;0,009;263,177;352,150;356,35;1135,050;;;842,000;891,100;852,600;312,850;;;;;0,00;0,00;0,00;3,00;1,67;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,04156;-0,04857;0,00361983;24,258427;0,000079;24,187479;24,475956;0,0000;0,0019;;;0,00;0,00;-0,08;;;;0,0000000;20,95500;0,05100;-0,00500;-0,0002858;;;;;;
Time to ignition (s);14;27;20,95800;107,72501;-0,006000;0,050;99,90;22,1000;0,000;0,00;101,102;0,009;263,177;352,150;356,35;1135,083;;;842,000;891,200;852,600;312,850;;;;;0,00;0,00;0,00;3,00;1,67;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,35195;-0,04581;0,00361983;23,727485;0,000344;23,658090;23,940253;0,0001;0,0082;;;0,00;0,00;-0,13;;;;0,0000000;20,95200;0,05100;-0,00100;-0,0001818;;;;;;
Time to flameout (s);182;28;20,95500;111,55000;0,005000;0,050;99,91;22,1000;0,000;0,00;101,102;0,009;263,177;352,150;356,25;1135,217;;;842,400;891,200;852,600;312,850;;;;;0,00;0,00;0,00;3,00;1,67;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,08791;-0,04501;0,00361983;24,145057;0,000226;24,074440;24,354733;0,0000;0,0055;;;0,00;0,00;-0,04;;;;0,0000000;20,95400;0,05100;-0,00700;-0,0001372;;;;;;
End of test criteria;Mass less ;29;20,95700;112,79999;-0,008000;0,050;99,95;22,1000;0,000;0,00;101,102;0,009;263,177;352,050;356,25;1135,317;;;842,600;891,200;852,700;312,850;;;;;0,00;0,00;0,00;3,00;1,67;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,39235;-0,04375;0,00361983;24,283409;-0,000196;24,205512;24,494287;0,0000;-0,0048;;;0,00;0,00;-0,10;;;;0,0000000;20,95500;0,05000;0,00100;-0,0000869;;;;;;
User EOT time (s);233;30;20,95600;113,29999;0,008000;0,050;99,93;22,1000;0,000;0,00;101,106;0,009;263,177;352,050;356,25;1135,350;;;842,700;891,200;852,700;312,850;;;;;0,00;0,00;0,00;3,00;1,67;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,00158;-0,04244;0,00361983;24,337169;-0,000021;24,259100;24,548514;0,0000;-0,0005;;;0,00;0,00;-0,07;;;;0,0000000;20,95600;0,05000;-0,00600;-0,0002250;;;;;;
MLR EOT mass (g/m²);;31;20,95600;112,47499;0,009000;0,050;99,93;22,1000;0,000;0,00;101,106;0,009;263,177;351,950;356,15;1135,117;;;842,000;891,200;852,700;312,850;;;;;0,00;0,00;0,00;3,00;1,67;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,02210;-0,04097;0,00361983;24,251846;0,000052;24,167184;24,455583;0,0000;0,0013;;;0,00;0,00;-0,07;;;;0,0000000;20,95500;0,05000;0,01300;-0,0002338;;;;;;
MLR time period (s);;32;20,95400;105,20000;0,017000;0,050;99,90;22,1000;0,000;0,00;101,106;0,009;263,177;351,950;356,15;1135,083;;;841,900;891,200;852,700;312,850;;;;;0,00;0,00;0,00;3,00;1,67;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,20370;-0,03842;0,00361983;23,454419;0,000318;23,372540;23,651456;0,0001;0,0075;;;0,00;0,00;-0,01;;;;0,0000000;20,95400;0,05100;0,02300;-0,0002143;;;;;;
Truncate graphs at EOT;;33;20,95600;112,79999;0,013000;0,050;99,87;22,1000;0,000;0,00;101,106;0,009;263,177;351,950;356,15;1135,317;;;842,600;891,200;852,700;312,850;;;;;0,00;0,00;0,00;3,00;1,67;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,10990;-0,03861;0,00361983;24,286859;0,000544;24,202074;24,490890;0,0001;0,0132;;;0,00;0,00;-0,06;;;;0,0000000;20,95500;0,05000;0,01500;-0,0002809;;;;;;
Smooth data?;;34;20,95500;108,47500;0,013000;0,051;99,94;22,1000;0,000;0,00;101,102;0,009;263,177;351,950;356,05;1135,483;;;842,800;891,400;852,800;312,850;;;;;0,00;0,00;0,00;3,00;1,67;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,10470;0,00356;0,00361983;23,816703;-0,000154;23,733559;24,010041;0,0000;-0,0037;;;0,00;0,00;-0,03;;;;0,0000000;20,95500;0,05000;0,01600;-0,0002313;;;;;;
Correct O2 for pressure?;;35;20,95600;109,42500;0,015000;0,050;99,85;22,1000;0,000;0,00;101,106;0,009;263,177;351,850;355,95;1135,483;;;842,800;891,400;852,800;312,950;;;;;0,00;0,00;0,00;3,00;1,67;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,14903;-0,03708;0,00361983;23,924165;0,000740;23,833873;24,111602;0,0002;0,0177;;;0,00;0,00;-0,06;;;;0,0000000;20,95700;0,04900;0,00200;-0,0003011;;;;;;
;;36;20,95400;107,87499;0,010000;0,051;99,89;22,1000;0,000;0,00;101,106;0,009;263,177;351,850;355,95;1135,483;;;842,800;891,400;852,800;312,950;;;;;0,00;0,00;0,00;3,00;1,67;0,000;0,000;0,61;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,02776;0,00448;0,00361983;23,754118;0,000348;23,664467;23,940222;0,0001;0,0083;;;0,00;0,00;0,00;;;;0,0000000;20,95700;0,04900;-0,00200;-0,0001296;;;;;;
