General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Test;;0;20,95400;110,02501;0,010000;0,051;99,92;22,1000;0,000;0,00;101,104;0,009;263,170;352,050;356,15;1134,683;;;841,900;890,700;852,000;312,650;;;;;0,00;0,00;0,00;3,00;1,65;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,00000;0,00000;0,0;23,982851;0,000000;23,905919;24,184329;0,0000;0,0000;;;0,00;0,00;0,00;;;;0,0000000;20,95200;0,05200;0,02100;-0,0001266;;;;;;
Standard used;ISO 5660-1;1;20,95500;108,42500;0,005000;0,051;99,87;22,1000;0,000;0,00;101,106;0,009;263,170;352,050;356,25;1134,717;;;842,000;890,700;852,000;312,650;;;;;0,00;0,00;0,00;3,00;1,65;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,05985;0,00000;0,0;23,807831;0,000245;23,731460;24,014579;0,0001;0,0058;;;0,00;0,00;-0,02;;;;0,0000000;20,95300;0,05200;0,02100;-0,0000935;;;;;;
Date of test;27,03,2025;2;20,95200;107,70000;0,020000;0,052;99,95;22,1000;0,000;0,00;101,104;0,009;263,170;352,050;356,25;1134,750;;;842,100;890,700;852,000;312,650;;;;;0,00;0,00;0,00;3,00;1,65;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,19885;0,02758;0,0;23,728100;-0,000377;23,651984;23,934155;-0,0001;-0,0090;;;0,00;0,00;0,05;;;;0,0000000;20,95400;0,05100;0,02300;-0,0001610;;;;;;
Time of test;13:28;3;20,95200;114,30001;0,014000;0,052;99,92;22,1000;0,000;0,00;101,102;0,009;263,170;352,150;356,25;1134,817;;;842,300;890,700;852,000;312,650;;;;;0,00;0,00;0,00;3,00;1,65;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,04301;0,02131;0,0;24,440865;-0,000028;24,369383;24,653110;0,0000;-0,0007;;;0,00;0,00;0,04;;;;0,0000000;20,95500;0,05100;0,02100;-0,0001081;;;;;;
Heat flux (kW/m²);75;4;20,95300;112,70000;0,013000;0,051;99,96;22,1000;0,000;0,00;101,102;0,009;263,170;352,150;356,25;1135,050;;;843,000;890,700;852,000;312,650;;;;;0,00;0,00;0,00;3,00;1,65;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,01464;-0,01693;0,0;24,269197;-0,000390;24,198217;24,479951;-0,0001;-0,0095;;;0,00;0,00;0,01;;;;0,0000000;20,95400;0,05100;0,00900;-0,0001474;;;;;;
Nominal duct flow rate (l/s);24,0;5;20,95300;111,64999;0,004000;0,053;99,94;22,1000;0,000;0,00;101,106;0,009;263,170;352,150;356,35;1134,850;;;842,300;890,700;852,100;312,650;;;;;0,00;0,00;0,00;3,00;1,65;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,17004;0,05616;0,0;24,155876;-0,000180;24,085228;24,372486;0,0000;-0,0044;;;0,00;0,00;0,01;;;;0,0000000;20,95300;0,05100;0,00000;-0,0000575;;;;;;
Sampling interval (s);1;6;20,95200;113,87500;0,004000;0,053;99,95;22,1000;0,000;0,00;101,106;0,009;263,170;352,150;356,35;1134,883;;;842,400;890,700;852,100;312,650;;;;;0,00;0,00;0,00;3,00;1,65;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,14720;0,04862;0,0;24,395383;-0,000176;24,324034;24,614140;0,0000;-0,0043;;;0,00;0,00;0,03;;;;0,0000000;20,95500;0,05000;-0,01500;-0,0000047;;;;;;
Separation (mm);25;7;20,95100;112,14999;-0,010000;0,053;99,93;22,1000;0,000;0,00;101,106;0,009;263,170;352,050;356,25;1134,817;;;842,100;890,800;852,100;312,750;;;;;0,00;0,00;0,00;3,00;1,65;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,59603;;;;nan;-0,42612;0,04222;0,00159603;24,213342;0,000013;24,135670;24,423612;0,0000;0,0003;;;0,00;0,00;0,05;;;;0,0159603;20,95300;0,05000;-0,00600;0,0002196;;;;;;
Orientation;Hor;8;20,95200;109,22500;0,006000;0,053;99,92;22,1000;0,000;0,00;101,106;0,009;263,170;352,050;356,15;1135,017;;;842,700;890,800;852,100;312,750;;;;;0,00;0,00;0,00;3,00;1,65;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,03204;0,03704;0,00159603;23,895502;0,000108;23,818849;24,096245;0,0000;0,0026;;;0,00;0,00;0,02;;;;0,0000000;20,95500;0,05000;-0,00400;-0,0000470;;;;;;
Edge frame?;N;9;20,95300;109,07500;-0,002000;0,052;99,92;22,1000;0,000;0,00;101,106;0,009;263,170;351,950;356,15;1134,683;;;841,700;890,800;852,100;312,750;;;;;0,00;0,00;0,00;3,00;1,65;0,000;0,000;0,61;0,60;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,06170000;;;;nan;-0,20174;-0,00416;0,00165773;23,882480;0,000060;23,799107;24,083114;0,0000;0,0014;;;0,00;0,00;-0,01;;;;0,0006170;20,95300;0,05000;0,01300;0,0000085;;;;;;
