General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Grid?;N;10;20,95400;111,64999;0,019000;0,048;99,99;24,0000;0,000;0,00;101,130;0,009;263,196;334,750;338,95;1134,683;;;840,900;896,200;847,500;304,250;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,37776;-0,01961;0,00165598;24,775724;-0,000579;23,482656;23,777285;-0,0001;-0,0137;;;0,00;0,00;-0,01;;;;0,0000000;20,95400;0,04900;0,01400;-0,0002623;;;;;;
Non-scrubbed?;;11;20,95500;123,35001;0,034000;0,048;99,94;24,1000;0,000;0,00;101,132;0,009;263,196;334,750;338,95;1134,817;;;841,200;896,200;847,600;304,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,72359;-0,01890;0,00165598;26,041535;-0,000041;24,682403;24,992086;0,0000;-0,0010;;;0,01;0,00;-0,04;;;;0,0000000;20,95400;0,04800;0,01400;-0,0005059;;;;;;
Substrate used? {Y/N};;12;20,95400;120,20000;0,033000;0,049;99,94;24,1000;0,000;0,00;101,130;0,009;263,196;334,750;338,95;1134,950;;;841,500;896,200;847,700;304,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,63551;0,02410;0,00165598;25,706871;-0,000034;24,365206;24,670908;0,0000;-0,0008;;;0,01;0,00;-0,01;;;;0,0000000;20,95500;0,04900;-0,00900;-0,0004433;;;;;;
Substrate;;13;20,95500;110,85001;0,004000;0,050;99,95;24,1000;0,000;0,00;101,130;0,009;263,203;334,750;338,95;1135,217;;;842,200;896,300;847,700;304,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,10094;0,06141;0,00165598;24,686803;-0,000092;23,398376;23,691948;0,0000;-0,0022;;;0,00;0,00;-0,04;;;;0,0000000;20,95500;0,04900;0,01000;-0,0001421;;;;;;
Additional preparation details;;14;20,95600;120,37499;0,019000;0,049;99,93;24,1000;0,000;0,00;101,134;0,009;263,196;334,750;338,95;1135,350;;;842,500;896,300;847,800;304,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,26353;0,01792;0,00165598;25,725578;0,000093;24,382936;24,688861;0,0000;0,0023;;;0,00;0,00;-0,07;;;;0,0000000;20,95500;0,04900;0,00700;-0,0003705;;;;;;
;;15;20,95600;113,52500;-0,001000;0,049;99,97;24,1000;0,000;0,00;101,122;0,009;263,196;334,750;339,05;1135,383;;;842,600;896,300;847,800;304,350;;;;;0,00;0,00;0,00;3,00;1,36;0,000;0,000;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,23052;0,01631;0,00165598;24,982895;-0,000295;23,679014;23,983181;-0,0001;-0,0070;;;0,00;0,00;-0,06;;;;0,0000000;20,95400;0,04900;0,00300;-0,0001091;;;;;;
Specimen;;16;20,95600;118,17500;-0,004000;0,049;99,95;24,1000;0,000;0,00;101,132;0,009;263,203;334,750;339,05;1135,483;;;842,800;896,300;847,900;304,350;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,29364;0,01567;0,00165598;25,489411;-0,000082;24,159095;24,469428;0,0000;-0,0020;;;0,00;0,00;-0,06;;;;0,0000000;20,95400;0,04900;0,00300;-0,0000639;;;;;;
Sample description;;17;20,95500;116,27501;-0,011000;0,049;99,91;24,1000;0,000;0,00;101,130;0,009;263,203;334,850;339,05;1135,350;;;842,300;896,400;847,900;304,350;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,67268;;;;nan;-0,44290;0,01467;0,00232866;25,279898;0,000281;23,967675;24,268299;0,0001;0,0068;;;0,00;0,00;-0,02;;;;0,0067268;20,95300;0,05000;0,00300;0,0000881;;;;;;
Material name/ID;PMMA_DE_6m;18;20,95300;116,09999;0,012000;0,049;99,97;24,1000;0,000;0,00;101,130;0,009;263,203;334,850;339,15;1135,583;;;842,900;896,400;848,000;304,350;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,13353;0,01389;0,00232866;25,260866;-0,000363;23,949630;24,257181;-0,0001;-0,0087;;;0,00;0,00;0,04;;;;0,0000000;20,95300;0,05000;0,01100;-0,0000860;;;;;;
Specimen number;R1;19;20,95300;118,95000;0,012000;0,049;99,92;24,1000;0,000;0,00;101,130;0,009;263,203;334,950;339,25;1135,417;;;842,400;896,400;848,000;304,350;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,12838;0,01336;0,00232866;25,565220;0,000128;24,245424;24,556680;0,0000;0,0031;;;0,00;0,00;0,04;;;;0,0000000;20,95400;0,04900;0,02600;-0,0000893;;;;;;
E (MJ/kg);13,10;20;20,95400;117,75001;0,025000;0,049;99,95;24,1000;0,000;0,00;101,132;0,009;263,203;334,950;339,25;1135,350;;;842,200;896,300;848,100;304,350;;;;;0,00;0,00;0,00;3,00;1,37;0,000;0,000;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,43793;0,01266;0,00232866;25,435939;-0,000135;24,122817;24,432499;0,0000;-0,0033;;;0,00;0,00;0,00;;;;0,0000000;20,95400;0,05000;0,02000;-0,0003144;;;;;;
