General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
;;84;20,92900;95,90000;0,017000;0,381;84,79;24,1000;-2,330;0,00;101,122;0,009;263,190;368,950;384,85;1133,317;;;849,600;886,600;844,300;304,750;;;;;0,00;0,00;0,00;3,00;1,41;0,000;0,000;0,62;0,51;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,18878;12,62738;0,03846307;21,871715;0,164251;22,848128;23,832774;0,0343;3,8862;;;0,00;0,11;0,68;;0,765;1,065;0,0000000;18,72800;1,94100;0,02900;-0,0029321;;;;;;
;;85;20,85600;94,05000;0,018000;0,603;83,79;24,1000;-2,550;0,00;101,134;0,009;263,183;373,750;391,15;1134,017;;;851,700;886,600;844,300;304,750;;;;;0,00;0,00;0,00;3,00;1,41;0,000;0,000;0,62;0,51;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;0,00000;0,0000;;nan;0,20751;20,77887;0,03846307;21,520190;0,176121;22,773384;23,833603;0,0368;4,1671;;;0,00;0,18;2,65;;0,735;0,980;0,0000000;18,66600;2,02200;0,01100;-0,0013431;;;;;;
;;86;20,69200;98,62500;0,007000;0,897;84,50;24,1000;-2,790;0,00;101,134;0,009;263,183;378,350;397,25;1134,583;;;853,300;886,600;844,400;304,750;;;;;0,00;0,00;0,00;3,00;1,42;0,000;0,000;0,62;0,51;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;32,87535;0,00000;0,0000;;nan;-0,03165;32,41456;0,07133842;21,903016;0,167695;23,463777;24,635881;0,0362;4,1014;;;0,00;0,29;7,24;;1,422;0,980;0,3287535;18,55900;2,10800;0,00500;0,0050230;;;;;;
;;87;20,48400;101,00000;0,006000;1,107;85,34;24,1000;-3,250;0,00;101,134;0,009;263,183;382,450;402,35;1135,283;;;855,200;886,700;844,500;304,750;;;;;0,00;0,00;0,00;3,00;1,42;0,000;0,000;0,62;0,51;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;98,80001;0,00000;0,0000;;nan;-0,05411;40,73241;0,17013843;22,046043;0,157834;23,872923;25,115101;0,0348;3,9353;;;0,00;0,36;13,09;;4,129;5,049;0,9880001;18,44000;2,19900;0,00800;0,0150122;;;;;;
;;88;20,16000;99,35000;0,007000;1,317;81,70;24,1000;-3,510;0,00;101,134;0,009;263,183;385,950;406,75;1135,550;;;855,900;886,800;844,500;304,850;;;;;0,00;0,00;0,00;3,00;1,42;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;207,476169;0,00000;0,0000;;nan;-0,03147;48,22036;0,3776146;21,765854;0,201479;23,785212;25,067069;0,0443;5,0139;;;0,00;0,43;21,84;;10,171;5,049;2,0747617;18,37300;2,24500;0,01800;0,0319871;;;;;;
;;89;19,83600;97,95000;0,017000;1,458;80,92;24,1000;-4,080;0,00;101,126;0,009;263,183;390,250;412,35;1135,717;;;856,100;886,900;844,700;304,850;;;;;0,00;0,00;0,00;3,00;1,42;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;317,33486;0,00000;0,0000;;nan;0,18581;52,93227;0,69494946;21,492555;0,211009;23,748229;25,093100;0,0464;5,2565;;;0,00;0,47;30,38;;20,061;20,940;3,1733486;18,31400;2,29200;0,01300;0,0496385;;;;;;
;;90;19,57300;90,07500;0,011000;1,607;82,26;24,1000;-4,290;0,00;101,126;0,009;263,183;394,450;418,15;1135,950;;;856,600;887,000;844,800;304,950;;;;;0,00;0,00;0,00;3,00;1,42;0,000;0,000;0,62;0,50;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;387,66738;0,00000;0,0000;;nan;0,05312;55,85113;1,08261684;20,500453;0,194557;22,895793;24,271456;0,0414;4,6880;;;0,00;0,49;35,81;;32,690;20,940;3,8766738;18,26600;2,33200;0,03800;0,0636669;;;;;;
;;91;19,36700;96,35000;0,018000;1,707;81,04;24,1000;-4,550;0,00;101,134;0,009;263,183;398,850;423,85;1136,417;;;858,000;887,000;844,800;304,950;;;;;0,00;0,00;0,00;3,00;1,42;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;467,18208;0,00000;0,0000;;nan;0,20369;61,15307;1,54979892;21,085231;0,209494;23,811580;25,304095;0,0465;5,2626;;;0,00;0,54;42,34;;47,240;48,230;4,6718208;18,21400;2,38400;0,04300;0,0746840;;;;;;
;;92;19,19000;99,77500;0,038000;1,810;81,36;24,1000;-5,080;0,00;101,126;0,009;263,177;402,550;428,65;1136,383;;;857,800;887,000;844,900;304,850;;;;;0,00;0,00;0,00;3,00;1,42;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;530,26931;0,00001;0,0000;;nan;0,63780;65,81154;2,08006823;21,357885;0,205629;24,343238;25,921572;0,0468;5,2916;;;0,01;0,58;47,69;;63,402;48,230;5,3026931;18,15700;2,41700;0,03900;0,0837677;;;;;;
;;93;19,03900;91,82500;0,039000;1,869;81,56;24,1000;-5,330;0,00;101,126;0,009;263,177;406,250;433,45;1136,150;;;857,200;886,900;844,900;304,950;;;;;0,00;0,00;0,00;3,00;1,42;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;555,81498;0,00001;0,0000;;nan;0,62982;64,96994;2,63588321;20,395815;0,203188;23,460363;25,031124;0,0446;5,0491;;;0,01;0,57;49,45;;80,104;80,391;5,5581498;18,11900;2,43700;0,04000;0,0920236;;;;;;
;;94;18,91500;94,67500;0,032000;1,905;80,37;24,1000;-5,600;0,00;101,126;0,009;263,177;409,850;438,15;1136,217;;;857,400;886,900;844,900;304,950;;;;;0,00;0,00;0,00;3,00;1,42;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;604,17526;0,00001;0,0000;;nan;0,49101;66,99564;3,24005847;20,618757;0,217813;23,926969;25,579118;0,0489;5,5311;;;0,00;0,59;53,24;;97,054;80,391;6,0417526;18,10700;2,44200;0,04500;0,0990199;;;;;;
;;95;18,83200;92,55000;0,029000;1,941;81,70;24,1000;-6,100;0,00;101,128;0,009;263,177;413,550;443,05;1135,750;;;856,300;886,700;844,800;304,950;;;;;0,00;0,00;0,00;3,00;1,42;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;621,53317;0,00001;0,0000;;nan;0,42187;67,23826;3,86159164;20,294647;0,201418;23,763466;25,458599;0,0450;5,0906;;;0,00;0,59;54,55;;114,098;113,867;6,2153317;18,09700;2,46300;0,02000;0,1035398;;;;;;
;;96;18,76700;91,80000;0,011000;2,022;83,42;24,1000;-6,350;0,00;101,126;0,009;263,170;417,250;447,95;1135,650;;;856,100;886,600;844,800;304,950;;;;;0,00;0,00;0,00;3,00;1,42;0,000;0,000;0,62;0,50;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;634,61376;0,00001;0,0000;;nan;0,05221;69,53999;4,49620540;20,122431;0,180582;23,772621;25,521739;0,0404;4,5753;;;0,00;0,61;55,75;;130,673;113,867;6,3461376;18,06900;2,49000;0,01900;0,1066566;;;;;;
Auswertung Test;;97;18,72800;89,75000;0,005000;2,108;82,17;24,1000;-6,620;0,00;101,128;0,009;263,170;420,450;452,05;1136,150;;;857,700;886,500;844,800;304,850;;;;;0,00;0,00;0,00;3,00;1,42;0,000;0,000;0,62;0,50;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;633,18116;0,00001;0,0000;;nan;-0,06881;71,49833;5,12938656;19,820625;0,195648;23,595652;25,369043;0,0435;4,9274;;;0,00;0,63;55,91;;146,531;146,090;6,3318116;18,03000;2,52100;0,01500;0,1080513;;;;;;
Software;Logger2024;98;18,66600;96,15000;0,008000;2,199;80,77;24,1000;-7,120;0,00;101,128;0,009;263,170;423,150;455,35;1136,317;;;858,200;886,500;844,800;304,950;;;;;0,00;0,00;0,00;3,00;1,42;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;668,7716;0,00001;0,0000;;nan;-0,00896;77,04124;5,79815816;20,449597;0,212868;24,500750;26,365157;0,0492;5,5716;;;0,00;0,68;59,30;;162,063;146,090;6,6877160;18,00000;2,53500;0,02200;0,1106446;;;;;;
Auswertung Test;;99;18,55900;95,40000;0,018000;2,245;81,19;24,1000;-7,390;0,00;101,128;0,009;263,170;425,950;459,05;1136,017;;;857,300;886,500;844,800;304,950;;;;;0,00;0,00;0,00;3,00;1,42;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;697,56074;0,00001;0,0000;;nan;0,19645;78,13793;6,49571890;20,302624;0,207754;24,485617;26,388361;0,0481;5,4425;;;0,00;0,69;61,64;;177,732;177,215;6,9756074;17,98700;2,53400;0,02600;0,1163123;;;;;;
Test start time   [s];60;100;18,44000;94,92500;0,013000;2,292;80,95;24,1000;-7,990;0,00;101,128;0,009;263,170;428,850;462,75;1135,850;;;857,000;886,400;844,700;304,950;;;;;0,00;0,00;0,00;3,00;1,43;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;731,84178;0,00001;0,0000;;nan;0,09324;79,35561;7,22756068;20,183426;0,210684;24,507588;26,444879;0,0489;5,5311;;;0,00;0,70;64,33;;193,510;177,215;7,3184178;17,99500;2,52800;0,04400;0,1228315;;;;;;
Time to ignition  [s];0;101;18,37300;89,97500;0,038000;2,332;81,64;24,1000;-8,210;0,00;101,124;0,009;263,170;431,450;466,15;1136,117;;;857,900;886,300;844,700;305,050;;;;;0,00;0,00;0,00;3,00;1,43;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;728,659299;0,00001;0,0000;;nan;0,58605;78,41166;7,95621998;19,590836;0,202213;23,932261;25,857048;0,0459;5,1907;;;0,01;0,69;64,11;;208,947;207,939;7,2865930;17,99300;2,56200;0,03600;0,1260407;;;;;;
Time to flame out [s];0;102;18,31400;91,65000;0,043000;2,384;81,34;24,0000;-8,500;0,00;101,126;0,009;263,170;434,150;469,45;1136,450;;;859,000;886,200;844,700;305,050;;;;;0,00;0,00;0,00;3,00;1,43;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;749,35036;0,00001;0,0000;;nan;0,68944;80,70105;8,70557034;19,710772;0,205882;24,229458;26,199515;0,0473;5,3549;;;0,01;0,71;65,99;;223,886;207,939;7,4935036;17,94000;2,60700;0,03300;0,1288691;;;;;;
Time end of test  [s];0;103;18,26600;92,77500;0,039000;2,417;81,69;24,0000;-9,020;0,00;101,124;0,009;263,170;436,250;472,25;1136,517;;;859,400;886,100;844,600;305,050;;;;;0,00;0,00;0,00;3,00;1,43;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;766,46385;0,00001;0,0000;;nan;0,61199;82,15424;9,47203419;19,783587;0,201528;24,436599;26,453144;0,0468;5,2924;;;0,01;0,73;67,45;;238,627;237,618;7,6646385;17,87900;2,64700;0,03400;0,1313606;;;;;;
Masses;;104;18,21400;93,10000;0,040000;2,437;81,64;24,0000;-9,300;0,00;101,128;0,009;263,170;438,050;474,25;1136,117;;;858,300;886,000;844,600;305,050;;;;;0,00;0,00;0,00;3,00;1,43;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;782,3972;0,00001;0,0000;;nan;0,63186;82,82968;10,2544313;19,777450;0,202179;24,529813;26,556932;0,0471;5,3303;;;0,01;0,73;68,74;;253,123;237,618;7,8239720;17,84900;2,65900;0,03000;0,1341720;;;;;;
Mass sust.flaming [g];0,00;105;18,15700;89,90000;0,045000;2,442;80,44;24,0000;-9,890;0,00;101,124;0,009;263,170;440,250;477,25;1135,983;;;858,000;885,900;844,600;305,050;;;;;0,00;0,00;0,00;3,00;1,43;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;785,05584;0,00001;0,0000;;nan;0,71755;81,37016;11,0394872;19,385966;0,216947;24,165016;26,195920;0,0499;5,6419;;;0,01;0,72;68,79;;267,208;266,077;7,8505584;17,83600;2,68500;0,01700;0,1373928;;;;;;
Mass remaining    [g];0,00;106;18,11900;90,42500;0,020000;2,463;79,50;24,0000;-10,110;0,00;101,124;0,009;263,170;442,750;480,45;1135,750;;;857,500;885,700;844,600;305,050;;;;;0,00;0,00;0,00;3,00;1,43;0,000;0,000;0,62;0,48;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;797,86298;0,00001;0,0001;;nan;0,22702;82,10184;11,8373502;19,387520;0,228783;24,304188;26,373680;0,0529;5,9901;;;0,00;0,73;69,74;;280,871;266,077;7,9786298;17,80400;2,71800;0,01100;0,1396534;;;;;;
Mass loos test    [g];0,00;107;18,10700;84,97500;0,019000;2,490;80,68;24,0000;-10,360;0,00;101,124;0,009;263,177;444,650;482,95;1135,883;;;858,000;885,600;844,600;305,050;;;;;0,00;0,00;0,00;3,00;1,43;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;774,06911;0,00001;0,0000;;nan;0,20064;80,31582;12,6114193;18,753992;0,214030;23,610886;25,644614;0,0481;5,4489;;;0,00;0,71;67,75;;293,821;292,298;7,7406911;17,75300;2,76800;0,00900;0,1400716;;;;;;
Mass loos rate test [g/s];0,00;108;18,09700;92,80000;0,015000;2,521;80,51;24,0000;-10,900;0,00;101,130;0,009;263,177;446,250;484,95;1136,017;;;858,600;885,500;844,500;305,050;;;;;0,00;0,00;0,00;3,00;1,43;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;809,127480;0,00001;0,0001;;nan;0,13008;84,85313;13,4205468;19,563302;0,216132;24,718418;26,862066;0,0509;5,7636;;;0,00;0,75;70,93;;306,364;292,298;8,0912748;17,69800;2,80800;0,01800;0,1403624;;;;;;
Mass loss rate 10/90 [g/s];0,00;109;18,06900;89,62500;0,022000;2,535;80,73;24,0000;-11,150;0,00;101,124;0,009;263,177;448,050;487,25;1137,850;;;864,200;885,400;844,500;305,050;;;;;0,00;0,00;0,00;3,00;1,43;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;801,394439;0,00001;0,0000;;nan;0,26359;83,70039;14,2219412;19,187069;0,213350;24,340830;26,470416;0,0495;5,6065;;;0,00;0,74;70,25;;318,710;316,755;8,0139444;17,64400;2,85000;0,02500;0,1417681;;;;;;
Values;;110;18,03000;84,45000;0,026000;2,534;80,79;24,0000;-11,710;0,00;101,130;0,009;263,177;450,150;490,15;1137,650;;;863,700;885,200;844,600;305,050;;;;;0,00;0,00;0,00;3,00;1,43;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;788,17906;0,00001;0,0000;;nan;0,33057;81,03473;15,0101203;18,581402;0,212653;23,682962;25,787413;0,0481;5,4440;;;0,00;0,72;68,96;;330,326;316,755;7,8817906;17,60100;2,87300;0,03700;0,1440088;;;;;;
THR   [MJ/m²];0,0;111;18,00000;84,15000;0,044000;2,528;80,08;24,0000;-11,980;0,00;101,128;0,009;263,177;452,050;492,65;1137,317;;;862,800;885,100;844,600;305,050;;;;;0,00;0,00;0,00;3,00;1,43;0,000;0,000;0,62;0,48;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;793,80246;0,00001;0,0001;;nan;0,66677;80,53317;15,8039227;18,509348;0,221487;23,690698;25,818432;0,0502;5,6770;;;0,01;0,71;69,41;;341,402;339,732;7,9380246;17,58500;2,86900;0,04000;0,1456267;;;;;;
TSP   [m²];0,0;112;17,98700;81,42500;0,036000;2,562;80,36;24,0000;-12,280;0,00;101,130;0,009;263,177;454,250;495,45;1137,150;;;862,500;885,000;844,500;305,050;;;;;0,00;0,00;0,00;3,00;1,43;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;781,46894;0,00001;0,0000;;nan;0,50718;80,11945;16,5853917;18,163047;0,218016;23,360596;25,479377;0,0487;5,5146;;;0,00;0,71;68,41;;351,978;339,732;7,8146894;17,60500;2,85100;0,03600;0,1461040;;;;;;
TSR   [m²/m²];0,0;113;17,99500;84,55000;0,033000;2,607;80,29;24,0000;-12,810;0,00;101,126;0,009;263,177;456,450;498,35;1137,283;;;863,100;884,800;844,500;305,050;;;;;0,00;0,00;0,00;3,00;1,43;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;789,487279;0,00001;0,0001;;nan;0,45951;82,91375;17,3748789;18,463647;0,218856;23,862227;26,052669;0,0500;5,6604;;;0,00;0,73;69,37;;362,110;360,721;7,8948728;17,62000;2,84700;0,03200;0,1451860;;;;;;
TSR   [m²/m² (none flaming phase)];0,0;114;17,99300;85,85000;0,034000;2,647;80,05;24,0000;-13,100;0,00;101,126;0,009;263,177;458,250;500,95;1136,950;;;862,300;884,600;844,500;305,050;;;;;0,00;0,00;0,00;3,00;1,44;0,000;0,000;0,62;0,48;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;792,21724;0,00001;0,0001;;nan;0,48098;84,69731;18,1670962;18,568473;0,221840;24,092338;26,337276;0,0513;5,8003;;;0,00;0,75;69,81;;371,979;360,721;7,9221724;17,61700;2,86000;0,03000;0,1448608;;;;;;
TSR   [m²/m² (flaming phase)];0,0;115;17,94000;87,52500;0,030000;2,659;80,51;24,0000;-13,680;0,00;101,130;0,009;263,177;459,650;502,75;1136,517;;;861,100;884,500;844,500;305,050;;;;;0,00;0,00;0,00;3,00;1,44;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;814,991460;0,00001;0,0001;;nan;0,40907;85,78954;18,9820876;18,720167;0,216044;24,363364;26,647844;0,0505;5,7154;;;0,00;0,76;71,65;;381,752;380,619;8,1499146;17,59000;2,89000;0,02300;0,1478631;;;;;;
MARHE [kW / m²];996,8;116;17,87900;88,42500;0,017000;2,685;79,56;24,0000;-13,940;0,00;101,126;0,009;263,177;460,650;504,05;1135,850;;;859,500;884,300;844,300;305,150;;;;;0,00;0,00;0,00;3,00;1,44;0,000;0,000;0,62;0,48;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;836,867729;0,00001;0,0001;;nan;0,16315;86,99852;19,8189554;18,795734;0,227940;24,514928;26,824595;0,0536;6,0701;;;0,00;0,77;73,40;;391,626;380,619;8,3686773;17,55900;2,91400;0,02300;0,1512738;;;;;;
Results HRR;;117;17,84900;89,60000;0,011000;2,718;81,40;24,0000;-14,220;0,00;101,126;0,009;263,177;462,050;505,95;1135,650;;;859,200;884,100;844,200;305,150;;;;;0,00;0,00;0,00;3,00;1,44;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;849,10403;0,00001;0,0000;;nan;0,04913;88,54328;20,6680594;18,891516;0,205151;24,714741;27,062922;0,0487;5,5117;;;0,00;0,78;74,50;;401,493;400,304;8,4910403;17,53100;2,92000;0,01600;0,1527300;;;;;;
HRR max [kW/m²];2,7;118;17,83600;86,52500;0,009000;2,768;81,05;24,0000;-14,730;0,00;101,126;0,009;263,177;463,550;507,65;1135,550;;;859,100;883,900;844,200;305,150;;;;;0,00;0,00;0,00;3,00;1,44;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;834,36524;0,00001;0,0000;;nan;0,01064;88,50348;21,5024246;18,534454;0,209387;24,326333;26,640628;0,0489;5,5378;;;0,00;0,78;73,40;;410,995;400,304;8,3436524;17,54200;2,90700;0,03000;0,1529738;;;;;;
Max at [s];279;119;17,80400;86,25000;0,018000;2,808;81,22;24,0000;-15,010;0,00;101,126;0,009;263,177;465,550;509,95;1135,250;;;858,400;883,700;844,200;305,150;;;;;0,00;0,00;0,00;3,00;1,44;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;838,40058;0,00001;0,0000;;nan;0,17903;89,47793;22,3408252;18,465186;0,207320;24,339983;26,661314;0,0485;5,4874;;;0,00;0,79;73,88;;420,073;419,104;8,3840058;17,55900;2,88900;0,02300;0,1543124;;;;;;
HRR 060s [kW/m²];0,0;120;17,75300;80,87500;0,025000;2,850;81,02;24,0000;-15,600;0,00;101,126;0,009;263,177;466,950;511,85;1134,883;;;857,600;883,500;844,100;305,150;;;;;0,00;0,00;0,00;3,00;1,44;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;823,265;0,00001;0,0000;;nan;0,29978;87,83866;23,1640902;17,853742;0,209785;23,604777;25,874516;0,0476;5,3887;;;0,00;0,78;72,60;;428,743;419,104;8,2326500;17,57800;2,88000;0,03500;0,1567561;;;;;;
HRR 120s [kW/m²];0,0;121;17,69800;85,02500;0,037000;2,873;81,76;24,0000;-15,880;0,00;101,126;0,009;263,177;468,250;513,55;1135,283;;;858,900;883,400;844,100;305,150;;;;;0,00;0,00;0,00;3,00;1,44;0,000;0,000;0,62;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;857,882019;0,00001;0,0000;;nan;0,52933;90,68336;24,0219722;18,280653;0,200670;24,236493;26,581208;0,0468;5,2954;;;0,00;0,80;75,61;;437,309;436,834;8,5788202;17,58400;2,88900;0,04500;0,1595803;;;;;;
