General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Test;;0;20,95500;118,82500;-0,013000;0,047;100,07;20,5000;0,000;0,00;101,888;0,000;263,177;341,950;345,05;1018,817;;;736,400;770,500;730,100;315,050;;;;;0,00;0,00;0,00;3,00;2,19;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,26014999;;;;nan;0,00000;0,00000;0,00126014;25,347846;0,000000;24,541660;24,764146;0,0000;0,0000;;;0,00;0,00;0,00;;;;0,0126015;20,95400;0,04600;0,00300;0,0001645;;;;;;
Standard used;ISO 5660-1;1;20,95500;108,67500;-0,007000;0,047;100,05;20,5000;0,000;0,00;101,884;0,000;263,177;342,050;345,05;1019,183;;;737,300;770,600;730,200;315,050;;;;;0,00;0,00;0,00;3,00;2,19;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,64887;;;;nan;0,07246;0,00000;0,00190902;24,237536;0,000083;23,473527;23,679405;0,0000;0,0019;;;0,00;0,00;0,00;;;;0,0064887;20,95400;0,04700;0,00000;0,0000886;;;;;;
Date of test;10,04,2025;2;20,95400;110,17499;-0,012000;0,047;100,07;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,05;1019,317;;;737,700;770,600;730,200;315,050;;;;;0,00;0,00;0,00;3,00;2,19;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,41469;;;;nan;-0,03243;0,00000;0,00332371;24,404234;-0,000095;23,634969;23,842263;0,0000;-0,0022;;;0,00;0,00;0,02;;;;0,0141469;20,95500;0,04700;-0,00800;0,0001921;;;;;;
Time of test;13:15;3;20,95400;113,90000;-0,001000;0,047;100,06;20,5000;0,000;0,00;101,888;0,000;263,177;342,050;345,05;1019,017;;;736,600;770,700;730,300;315,050;;;;;0,00;0,00;0,00;3,00;2,19;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,31973;;;;nan;0,17928;0,00000;0,00364344;24,813357;0,000066;24,031196;24,241965;0,0000;0,0016;;;0,00;0,00;0,02;;;;0,0031973;20,95700;0,04600;-0,00200;0,0000428;;;;;;
Heat flux (kW/m²);50;4;20,95400;117,05000;-0,002000;0,047;100,06;20,5000;0,000;0,00;101,888;0,000;263,177;342,050;345,15;1018,817;;;736,000;770,700;730,300;315,050;;;;;0,00;0,00;0,00;3,00;2,19;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,37474;;;;nan;0,12534;0,00000;0,00401818;25,154133;0,000016;24,361231;24,582017;0,0000;0,0004;;;0,00;0,00;0,01;;;;0,0037474;20,95700;0,04600;0,01800;0,0000495;;;;;;
Nominal duct flow rate (l/s);24,0;5;20,95400;116,22500;0,019000;0,047;100,10;20,5000;0,000;0,00;101,890;0,000;263,177;342,150;345,15;1019,017;;;736,600;770,700;730,300;315,050;;;;;0,00;0,00;0,00;3,00;2,19;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,54115;0,00000;0,00401818;25,061667;-0,000282;24,278775;24,491653;-0,0001;-0,0069;;;0,00;0,00;0,01;;;;0,0000000;20,95500;0,04600;0,01700;-0,0002204;;;;;;
Sampling interval (s);1;6;20,95300;114,15000;0,011000;0,047;100,07;20,5000;0,000;0,00;101,890;0,000;263,177;342,150;345,15;1019,283;;;737,300;770,700;730,400;315,050;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,28996;0,00000;0,00401818;24,836944;0,000028;24,061072;24,272041;0,0000;0,0007;;;0,00;0,00;0,04;;;;0,0000000;20,95500;0,04600;0,01400;-0,0000702;;;;;;
Separation (mm);25;7;20,95500;114,62501;0,017000;0,047;100,05;20,5000;0,000;0,00;101,890;0,000;263,177;341,950;345,05;1019,417;;;737,600;770,800;730,400;315,050;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,38457;0,00000;0,00401818;24,895843;0,000172;24,104033;24,322552;0,0000;0,0042;;;0,00;0,00;-0,02;;;;0,0000000;20,95500;0,04700;-0,01000;-0,0002605;;;;;;
Orientation;Hor;8;20,95600;113,55000;0,002000;0,047;100,08;20,5000;0,000;0,00;101,890;0,000;263,177;341,950;344,95;1019,617;;;738,200;770,800;730,400;315,050;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,01098;0,00000;0,00401818;24,778826;-0,000160;23,990738;24,201213;0,0000;-0,0038;;;0,00;0,00;-0,05;;;;0,0000000;20,95600;0,04600;0,00600;-0,0001192;;;;;;
Edge frame?;N;9;20,95500;111,85000;0,010000;0,047;100,06;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,05;1019,883;;;739,000;770,800;730,400;315,050;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,18624;0,00000;0,00401818;24,589045;0,000054;23,813955;24,022819;0,0000;0,0013;;;0,00;0,00;-0,02;;;;0,0000000;20,95600;0,04600;-0,00200;-0,0001568;;;;;;
