General information;;time (s);O2 (%);DPT (Pa);CO (%);CO2 (%);PD (%);AHU (%);Mass (g);Methane MFM (g/s);APT (kPa);HFM (kW/m²);Cold Trap TC (K);StackTC (K);Smoke TC (K);Cone heater TC (K);Soot MFM (g/s);Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;n.u;TX1;TX2;TX3;TX4;TX5;TX6;TX7;TX8;TX9;TX10;TX11;TX12;TX13;TX14;TX15;n.u;n.u.;n.u.;n.u.;L0;L1;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31
;;;;;;;;;;;;;;;;;;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;V;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;%;%;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;
Grid?;N;10;20,95500;115,65000;0,000000;0,047;100,08;20,5000;0,000;0,00;101,888;0,000;263,177;342,050;345,05;1019,850;;;739,000;770,700;730,400;315,050;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,05437;0,00000;0,00401818;25,003251;-0,000078;24,215105;24,427487;0,0000;-0,0019;;;0,00;0,00;-0,01;;;;0,0000000;20,95500;0,04700;-0,01000;-0,0000274;;;;;;
Non-scrubbed?;;11;20,95500;114,25000;0,003000;0,046;100,07;20,5000;0,000;0,00;101,888;0,000;263,177;342,050;345,15;1019,750;;;738,700;770,700;730,400;315,050;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,58;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,01858;-0,03937;0,00401818;24,851451;-0,000064;24,068090;24,286219;0,0000;-0,0015;;;0,00;0,00;-0,01;;;;0,0000000;20,95400;0,04700;-0,01100;-0,0000515;;;;;;
Substrate used? {Y/N};;12;20,95500;115,35000;0,000000;0,047;100,11;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,05;1019,583;;;738,200;770,700;730,400;315,050;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,05169;0,00332;0,00401818;24,970800;-0,000380;24,183677;24,395783;-0,0001;-0,0092;;;0,00;0,00;-0,01;;;;0,0000000;20,95400;0,04600;-0,00200;-0,0000242;;;;;;
Substrate;;13;20,95400;111,82499;-0,008000;0,047;100,09;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,15;1019,350;;;737,600;770,600;730,400;315,050;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,00012;;;;nan;-0,22927;0,00303;0,0050183;24,586296;-0,000179;23,811292;24,027094;0,0000;-0,0043;;;0,00;0,00;0,02;;;;0,0100012;20,95500;0,04600;0,00800;0,0001349;;;;;;
Additional preparation details;;14;20,95400;115,77501;-0,002000;0,046;100,12;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,15;1019,383;;;737,800;770,600;730,300;315,050;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,58;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,5155;;;;nan;-0,07812;-0,03747;0,0055338;25,016760;-0,000475;24,228188;24,447768;-0,0001;-0,0115;;;0,00;0,00;0,02;;;;0,0051550;20,95700;0,04700;0,01100;0,0000685;;;;;;
;;15;20,95500;117,10001;0,018000;0,046;100,07;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,05;1018,983;;;736,700;770,500;730,300;315,050;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,39648;-0,03532;0,0055338;25,159506;0,000040;24,366434;24,580144;0,0000;0,0010;;;0,00;0,00;-0,01;;;;0,0000000;20,95500;0,04700;0,01700;-0,0002440;;;;;;
Specimen;;16;20,95700;114,55000;0,017000;0,046;100,14;20,5000;0,000;0,00;101,890;0,000;263,177;341,950;345,05;1019,050;;;736,900;770,500;730,300;315,050;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,34578;-0,03289;0,0055338;24,887696;-0,000608;24,096146;24,314593;-0,0001;-0,0147;;;0,00;0,00;-0,07;;;;0,0000000;20,95500;0,04700;0,02300;-0,0003441;;;;;;
Sample description;;17;20,95700;111,55000;0,014000;0,046;100,07;20,5000;0,000;0,00;101,892;0,000;263,177;341,950;344,95;1019,250;;;737,600;770,400;730,300;315,050;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,25292;-0,03065;0,0055338;24,559637;0,000098;23,778520;23,987134;0,0000;0,0023;;;0,00;0,00;-0,07;;;;0,0000000;20,95600;0,04700;0,00700;-0,0002990;;;;;;
Material name/ID;PMMA_DE_6m;18;20,95500;113,87500;-0,010000;0,047;100,09;20,5000;0,000;0,00;101,890;0,000;263,177;341,950;345,05;1019,083;;;737,200;770,400;730,200;315,050;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,85318;;;;nan;-0,32019;0,01128;0,00638698;24,814261;-0,000061;24,025046;24,242849;0,0000;-0,0015;;;0,00;0,00;0,00;;;;0,0085318;20,95400;0,04700;0,01700;0,0001137;;;;;;
Specimen number;R2;19;20,95500;115,42500;0,006000;0,046;100,07;20,5000;0,000;0,00;101,888;0,000;263,177;342,050;345,05;1018,650;;;736,000;770,300;730,200;315,150;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,07219;-0,03022;0,00638698;24,978916;0,000050;24,191537;24,403712;0,0000;0,0012;;;0,00;0,00;0,00;;;;0,0000000;20,95400;0,04700;0,00300;-0,0000762;;;;;;
E (MJ/kg);13,10;20;20,95500;113,02500;-0,002000;0,046;100,09;20,5000;0,000;0,00;101,886;0,000;263,177;342,050;345,05;1018,583;;;735,800;770,300;730,200;315,050;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,18769;;;;nan;-0,11965;-0,02848;0,00657467;24,717863;-0,000109;23,938712;24,148670;0,0000;-0,0026;;;0,00;0,00;0,00;;;;0,0018769;20,95400;0,04600;-0,00100;0,0000251;;;;;;
Initial mass (g);67,95;21;20,95600;110,10000;-0,010000;0,047;100,08;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,05;1018,283;;;734,900;770,300;730,200;315,150;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,42128;;;;nan;-0,29838;0,01341;0,00699595;24,395927;0,000003;23,626924;23,834147;0,0000;0,0001;;;0,00;0,00;-0,03;;;;0,0042128;20,95500;0,04700;-0,00200;0,0000567;;;;;;
Thickness (mm);5,72;22;20,95600;113,77500;-0,011000;0,047;100,04;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,05;1017,917;;;733,900;770,200;730,200;315,150;;;;;0,00;0,00;0,00;3,00;2,20;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,54571;;;;nan;-0,31378;0,01304;0,00754166;24,799737;0,000359;24,018005;24,228659;0,0001;0,0086;;;0,00;0,00;-0,03;;;;0,0054571;20,95300;0,04700;-0,00300;0,0000724;;;;;;
Surface area (cm²);100;23;20,95500;113,02500;-0,002000;0,046;100,07;20,5000;0,000;0,00;101,890;0,000;263,177;341,950;345,05;1017,983;;;734,100;770,200;730,200;315,150;;;;;0,00;0,00;0,00;3,00;2,21;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,23305;;;;nan;-0,08726;-0,02848;0,00777471;24,721477;0,000069;23,935213;24,152201;0,0000;0,0016;;;0,00;0,00;0,00;;;;0,0023305;20,95400;0,04700;-0,01500;0,0000312;;;;;;
Sponsor;;24;20,95400;112,55000;0,008000;0,046;100,07;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,05;1018,350;;;735,200;770,200;730,200;315,150;;;;;0,00;0,00;0,00;3,00;2,21;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,15241;-0,02728;0,00777471;24,665868;0,000086;23,888357;24,097873;0,0000;0,0021;;;0,00;0,00;0,03;;;;0,0000000;20,95500;0,04600;0,00000;-0,0000376;;;;;;
Manufacturer;;25;20,95400;116,15000;0,011000;0,047;100,08;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,05;1018,617;;;736,100;770,200;730,100;315,150;;;;;0,00;0,00;0,00;3,00;2,21;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,22091;0,01499;0,00777471;25,057242;-0,000039;24,267394;24,480234;0,0000;-0,0009;;;0,00;0,00;0,03;;;;0,0000000;20,95400;0,04700;0,01100;-0,0000902;;;;;;
Test start time (s);60;26;20,95500;114,17500;0,017000;0,047;100,06;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,05;1018,750;;;736,600;770,100;730,100;315,150;;;;;0,00;0,00;0,00;3,00;2,21;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,35396;0,01431;0,00777471;24,843294;0,000167;24,060189;24,271213;0,0000;0,0040;;;0,00;0,00;0,00;;;;0,0000000;20,95600;0,04600;0,01800;-0,0002262;;;;;;
Time to ignition (s);25;27;20,95700;111,42500;0,023000;0,047;100,08;20,5000;0,000;0,00;101,886;0,000;263,177;342,050;345,15;1018,750;;;736,600;770,100;730,100;315,150;;;;;0,00;0,00;0,00;3,00;2,21;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,47869;0,01363;0,00777471;24,542284;0,000008;23,768668;23,984083;0,0000;0,0002;;;0,00;0,00;-0,06;;;;0,0000000;20,95600;0,04600;0,00100;-0,0004183;;;;;;
Time to flameout (s);244;28;20,95500;116,37500;0,007000;0,047;100,10;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,15;1018,650;;;736,300;770,100;730,100;315,150;;;;;0,00;0,00;0,00;3,00;2,21;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,08619;0,01345;0,00777471;25,081500;-0,000178;24,290887;24,511035;0,0000;-0,0043;;;0,00;0,00;0,00;;;;0,0000000;20,95400;0,04700;0,01400;-0,0000946;;;;;;
End of test criteria;Mass less ;29;20,95500;114,77499;0,017000;0,047;99,98;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,15;1018,817;;;736,900;770,000;730,100;315,150;;;;;0,00;0,00;0,00;3,00;2,21;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,32271;0,01291;0,00777471;24,908484;0,000949;24,123325;24,341954;0,0002;0,0229;;;0,00;0,00;0,00;;;;0,0000000;20,95500;0,04700;0,00200;-0,0002211;;;;;;
User EOT time (s);290;30;20,95600;113,75000;0,003000;0,047;100,04;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,15;1018,350;;;735,500;770,000;730,100;315,150;;;;;0,00;0,00;0,00;3,00;2,21;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;-0,02392;0,01244;0,00777471;24,797012;0,000328;24,015367;24,233018;0,0001;0,0079;;;0,00;0,00;-0,03;;;;0,0000000;20,95400;0,04700;-0,01000;-0,0001020;;;;;;
MLR EOT mass (g/m²);;31;20,95400;113,15001;-0,001000;0,046;100,01;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,15;1018,183;;;735,100;770,000;730,000;315,150;;;;;0,00;0,00;0,00;3,00;2,21;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,59334;;;;nan;-0,11861;-0,02938;0,00836805;24,731528;0,000570;23,951947;24,169023;0,0001;0,0137;;;0,00;0,00;0,03;;;;0,0059334;20,95500;0,04700;-0,01600;0,0000799;;;;;;
MLR time period (s);;32;20,95400;110,87500;-0,002000;0,047;100,07;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,15;1018,217;;;735,200;770,000;730,000;315,150;;;;;0,00;0,00;0,00;3,00;2,21;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,57583;;;;nan;-0,13752;0,01282;0,00894388;24,481638;-0,000020;23,709934;23,924817;0,0000;-0,0005;;;0,00;0,00;0,03;;;;0,0057583;20,95400;0,04800;-0,01500;0,0000782;;;;;;
Truncate graphs at EOT;;33;20,95400;112,25000;-0,003000;0,047;100,07;20,5000;0,000;0,00;101,890;0,000;263,177;342,150;345,15;1017,783;;;734,000;769,900;730,000;315,150;;;;;0,00;0,00;0,00;3,00;2,21;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,662;;;;nan;-0,15810;0,01252;0,00960588;24,629373;0,000014;23,859985;24,069192;0,0000;0,0003;;;0,00;0,00;0,03;;;;0,0066200;20,95400;0,04700;-0,00500;0,0000893;;;;;;
Smooth data?;;34;20,95500;115,05000;-0,015000;0,047;100,07;20,5000;0,000;0,00;101,890;0,000;263,177;342,050;345,15;1017,783;;;734,000;769,900;730,000;315,150;;;;;0,00;0,00;0,00;3,00;2,21;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,36469;;;;nan;-0,44523;0,01231;0,01097057;24,938307;-0,000033;24,152208;24,371099;0,0000;-0,0008;;;0,00;0,00;0,00;;;;0,0136469;20,95300;0,04800;0,02900;0,0001811;;;;;;
Correct O2 for pressure?;;35;20,95300;117,75001;0,000000;0,046;100,06;20,5000;0,000;0,00;101,894;0,000;263,177;341,950;344,95;1017,750;;;733,900;769,900;730,000;315,150;;;;;0,00;0,00;0,00;3,00;2,21;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,91755;;;;nan;-0,07125;-0,03028;0,01188812;25,232926;0,000094;24,430396;24,644729;0,0000;0,0023;;;0,00;0,00;0,06;;;;0,0091755;20,95300;0,04900;0,01700;0,0001212;;;;;;
;;36;20,95400;115,00000;0,011000;0,047;100,05;20,5000;0,000;0,00;101,890;0,000;263,177;341,750;344,75;1017,650;;;733,600;769,900;730,000;315,150;;;;;0,00;0,00;0,00;3,00;2,21;0,000;0,000;0,59;0,62;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0;;;;nan;0,19753;0,01281;0,01188812;24,943829;0,000158;24,136368;24,348245;0,0000;0,0038;;;0,00;0,00;0,03;;;;0,0000000;20,95100;0,05000;0,02500;-0,0000924;;;;;;
