File Name:	PMMA_CN_10mm_60Kmin_8mg_R4.txt	Version: 8.3.7.3
Date:	10 Sep 2024
Operator:	KH
Test ID:	PMMA_CN_10mm_8mg_60K_R4
Sample ID:	PMMA_CN_10mm_8mg
Sample Mass (mg):	182.2500
Sample Cup Mass (mg):	7.9500
End Total Mass (mg):	0.0400
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	100.160
Baseline O2:	20.287
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	75.098	80.057	19.979	100.160	20.271	-0.263	-0.025	899.195
0.500	75.088	80.056	19.979	100.161	20.250	-0.231	-0.050	899.173
0.999	75.097	80.055	19.979	100.158	20.227	-0.194	-0.000	899.223
1.499	75.097	80.053	19.979	100.166	20.201	-0.152	0.009	899.200
2.000	75.081	80.054	19.980	100.202	20.184	-0.123	-0.016	899.179
2.500	75.125	80.056	19.979	100.265	20.164	-0.087	0.028	899.191
3.000	75.136	80.058	19.978	100.371	20.150	-0.061	0.055	899.169
3.500	75.194	80.058	19.979	100.513	20.141	-0.044	0.068	899.200
3.999	75.216	80.058	19.979	100.660	20.132	-0.028	0.080	899.179
4.500	75.251	80.058	19.978	100.784	20.125	-0.017	0.057	899.187
5.000	75.280	80.058	19.979	100.889	20.125	-0.021	0.064	899.185
5.500	75.387	80.060	19.979	100.956	20.121	-0.030	0.136	899.180
6.000	75.469	80.060	19.979	100.995	20.119	-0.056	0.189	899.180
6.500	75.517	80.060	19.979	101.027	20.115	-0.092	0.129	899.184
7.000	75.575	80.058	19.978	101.057	20.113	-0.140	0.106	899.188
7.500	75.683	80.056	19.978	101.075	20.114	-0.188	0.166	899.139
8.000	75.796	80.057	19.978	101.089	20.113	-0.229	0.221	899.167
8.500	75.887	80.056	19.977	101.099	20.108	-0.249	0.204	899.142
9.000	75.998	80.055	19.978	101.096	20.114	-0.274	0.201	899.152
9.500	76.122	80.057	19.978	101.091	20.111	-0.268	0.235	899.167
10.000	76.235	80.058	19.977	101.084	20.108	-0.255	0.237	899.146
10.500	76.368	80.056	19.978	101.081	20.097	-0.228	0.247	899.171
10.999	76.511	80.057	19.979	101.077	20.076	-0.180	0.276	899.136
11.500	76.664	80.055	19.979	101.075	20.043	-0.111	0.295	899.156
11.999	76.800	80.056	19.979	101.077	20.013	-0.044	0.289	899.156
12.499	76.972	80.055	19.978	101.100	19.989	0.014	0.308	899.156
12.999	77.126	80.056	19.978	101.158	19.964	0.074	0.326	899.145
13.499	77.351	80.058	19.979	101.270	19.957	0.104	0.379	899.167
14.000	77.620	80.055	19.978	101.431	19.949	0.133	0.494	899.120
14.500	77.818	80.054	19.979	101.613	19.944	0.151	0.466	899.158
15.000	78.092	80.056	19.979	101.775	19.946	0.158	0.472	899.122
15.500	78.383	80.056	19.978	101.896	19.953	0.154	0.565	899.110
16.000	78.677	80.055	19.979	101.952	19.955	0.158	0.584	899.099
16.500	78.984	80.056	19.979	101.956	19.962	0.153	0.601	899.123
17.000	79.321	80.055	19.979	101.930	19.971	0.145	0.644	899.137
17.500	79.699	80.055	19.979	101.902	19.980	0.138	0.715	899.140
18.000	80.030	80.053	19.978	101.875	19.989	0.128	0.709	899.126
18.499	80.413	80.051	19.979	101.846	19.994	0.126	0.714	899.092
18.999	80.763	80.053	19.979	101.799	20.000	0.121	0.733	899.127
19.499	81.166	80.053	19.978	101.750	20.009	0.113	0.753	899.107
19.999	81.514	80.051	19.978	101.689	20.008	0.121	0.751	899.085
20.500	81.914	80.055	19.979	101.626	20.016	0.116	0.748	899.079
21.000	82.361	80.055	19.977	101.574	20.022	0.112	0.847	899.085
21.499	82.759	80.056	19.978	101.541	20.027	0.110	0.845	899.103
22.000	83.175	80.058	19.979	101.507	20.035	0.106	0.814	899.081
22.500	83.622	80.056	19.979	101.485	20.044	0.096	0.863	899.080
23.000	84.067	80.055	19.979	101.461	20.045	0.097	0.893	899.144
23.500	84.503	80.054	19.979	101.435	20.052	0.087	0.881	899.074
24.000	84.947	80.053	19.978	101.410	20.056	0.082	0.879	899.059
