File Name:	PS_13.txt	Version: 8.3.7.3						
Date:	06 Aug 2024
Operator:	KH
Test ID:	PS_13
Sample ID:	PS_13
Sample Mass (mg):	4.3600
Sample Cup Mass (mg):	182.3000
End Total Mass (mg):
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	99.881
Baseline O2:	20.294
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	75.197	80.052	19.999	99.881	20.298	-10.987	-0.010	899.432
0.500	75.219	80.051	20.000	99.874	20.279	-9.911	0.041	899.434
1.001	75.204	80.049	20.000	99.871	20.261	-8.872	0.007	899.417
1.500	75.225	80.051	19.999	99.884	20.235	-7.258	0.006	899.416
2.000	75.237	80.053	20.000	99.925	20.212	-5.774	0.034	899.420
2.500	75.259	80.053	20.000	100.001	20.196	-4.703	0.034	899.414
3.000	75.270	80.053	20.000	100.111	20.181	-3.651	0.033	899.473
3.500	75.313	80.056	19.999	100.237	20.169	-2.871	0.054	899.424
4.000	75.339	80.054	19.999	100.364	20.164	-2.455	0.069	899.438
4.501	75.396	80.055	19.998	100.465	20.155	-1.803	0.083	899.432
5.000	75.451	80.060	19.998	100.536	20.154	-2.074	0.112	899.442
5.500	75.525	80.059	19.997	100.581	20.152	-2.812	0.129	899.419
6.001	75.618	80.056	19.998	100.609	20.151	-3.955	0.167	899.415
6.500	75.715	80.054	20.000	100.632	20.149	-5.250	0.190	899.431
7.000	75.802	80.054	19.999	100.659	20.147	-6.747	0.184	899.430
7.500	75.890	80.056	20.000	100.685	20.146	-8.487	0.176	899.408
8.000	76.028	80.055	20.001	100.704	20.147	-9.948	0.226	899.435
8.500	76.105	80.054	20.000	100.723	20.146	-10.691	0.214	899.452
9.000	76.218	80.054	19.999	100.740	20.145	-11.057	0.190	899.446
9.500	76.349	80.053	19.999	100.745	20.144	-11.104	0.244	899.436
10.000	76.471	80.055	19.999	100.748	20.141	-10.825	0.253	899.443
10.500	76.620	80.056	19.999	100.752	20.127	-9.480	0.271	899.414
11.000	76.753	80.057	19.998	100.752	20.111	-7.942	0.282	899.400
11.500	76.911	80.057	19.999	100.746	20.078	-5.120	0.291	899.444
12.000	77.073	80.055	19.999	100.747	20.051	-2.745	0.320	899.415
12.500	77.270	80.057	19.999	100.779	20.022	-0.191	0.360	899.428
13.000	77.441	80.058	19.999	100.861	20.004	1.481	0.368	899.438
13.500	77.666	80.055	20.000	100.967	19.990	3.021	0.395	899.433
14.000	77.882	80.056	19.999	101.098	19.983	3.969	0.441	899.448
14.501	78.146	80.057	19.999	101.246	19.983	4.418	0.480	899.406
15.000	78.401	80.055	19.999	101.372	19.983	4.833	0.519	899.375
15.500	78.682	80.058	19.999	101.448	19.983	5.284	0.536	899.420
16.000	78.982	80.057	20.000	101.497	19.992	5.051	0.581	899.438
16.500	79.341	80.057	19.999	101.515	20.000	4.814	0.659	899.394
17.001	79.649	80.056	20.000	101.509	20.004	4.794	0.667	899.417
17.501	79.981	80.057	20.000	101.487	20.013	4.481	0.640	899.456
18.000	80.360	80.057	19.999	101.461	20.020	4.296	0.710	899.437
18.500	80.701	80.058	20.000	101.429	20.024	4.309	0.720	899.441
19.001	81.104	80.057	20.001	101.394	20.033	3.953	0.744	899.417
19.501	81.492	80.059	20.001	101.360	20.040	3.798	0.791	899.430
20.001	81.891	80.059	20.001	101.325	20.044	3.789	0.787	899.428
20.500	82.290	80.058	19.999	101.290	20.053	3.361	0.798	899.436
21.000	82.711	80.061	20.000	101.256	20.058	3.125	0.820	899.440
21.500	83.120	80.060	20.001	101.222	20.064	2.787	0.829	899.444
22.000	83.535	80.059	20.000	101.187	20.067	2.736	0.824	899.436
22.500	83.983	80.056	19.999	101.156	20.075	2.289	0.863	899.438
23.001	84.431	80.053	19.999	101.120	20.079	2.128	0.896	899.427
23.501	84.864	80.054	19.999	101.093	20.084	1.858	0.881	899.429
24.000	85.346	80.055	19.999	101.073	20.090	1.601	0.916	899.457
24.500	85.786	80.053	20.000	101.052	20.093	1.559	0.922	899.433
25.000	86.258	80.055	19.999	101.026	20.096	1.504	0.911	899.413
25.500	86.718	80.054	19.999	101.005	20.100	1.364	0.932	899.437
26.001	87.206	80.056	19.999	100.982	20.100	1.490	0.948	899.423
26.500	87.683	80.056	19.998	100.956	20.108	1.030	0.965	899.422
27.001	88.127	80.056	20.000	100.934	20.112	0.806	0.922	899.440
27.501	88.645	80.056	19.999	100.916	20.115	0.705	0.963	899.393
28.000	89.124	80.055	19.999	100.899	20.115	0.795	0.997	899.399
28.500	89.621	80.056	20.000	100.891	20.117	0.697	0.976	899.409
29.000	90.117	80.058	19.999	100.885	20.123	0.373	0.993	899.406
29.500	90.605	80.056	20.000	100.879	20.123	0.440	0.984	899.410
30.000	91.087	80.054	20.000	100.870	20.127	0.275	0.970	899.414
30.500	91.620	80.056	19.999	100.863	20.129	0.242	1.015	899.408
31.000	92.128	80.055	19.999	100.846	20.134	0.017	1.041	899.422
31.500	92.620	80.056	19.999	100.829	20.136	-0.149	1.000	899.453
32.001	93.146	80.057	20.000	100.822	20.137	-0.129	1.018	899.429
32.501	93.633	80.054	20.000	100.814	20.138	-0.183	1.013	899.410
33.000	94.164	80.056	20.000	100.802	20.142	-0.378	1.018	899.401
33.500	94.646	80.054	19.999	100.796	20.141	-0.216	1.013	899.416
34.000	95.188	80.054	20.001	100.786	20.143	-0.239	1.024	899.395
34.501	95.739	80.057	20.000	100.774	20.145	-0.326	1.092	899.444
35.001	96.214	80.055	20.000	100.768	20.151	-0.639	1.025	899.435
35.501	96.763	80.055	20.001	100.765	20.150	-0.533	1.024	899.413
36.001	97.245	80.055	20.001	100.759	20.151	-0.584	1.032	899.406
36.500	97.787	80.054	20.000	100.755	20.153	-0.706	1.025	899.420
37.001	98.311	80.056	20.000	100.745	20.154	-0.835	1.065	899.428
37.501	98.849	80.057	20.000	100.736	20.153	-0.762	1.061	899.445
38.001	99.340	80.055	20.000	100.731	20.156	-0.943	1.030	899.424
38.501	99.895	80.055	20.000	100.723	20.157	-0.935	1.046	899.417
39.001	100.422	80.054	19.999	100.721	20.156	-0.830	1.082	899.453
39.500	100.961	80.055	20.000	100.721	20.159	-0.941	1.066	899.426
40.000	101.462	80.056	20.000	100.715	20.162	-1.018	1.040	899.398
40.501	101.975	80.054	19.999	100.706	20.159	-0.726	1.014	899.436
41.000	102.531	80.055	20.000	100.704	20.164	-1.013	1.069	899.431
41.500	103.057	80.057	19.999	100.693	20.163	-0.887	1.082	899.395
42.000	103.571	80.055	19.999	100.687	20.167	-1.024	1.040	899.394
42.501	104.099	80.057	20.000	100.681	20.166	-0.864	1.041	899.439
43.001	104.637	80.058	19.999	100.680	20.164	-0.792	1.065	899.385
43.501	105.151	80.055	19.999	100.677	20.166	-0.880	1.053	899.415
44.000	105.695	80.055	20.000	100.680	20.169	-1.027	1.058	899.460
44.501	106.253	80.055	19.999	100.677	20.171	-1.170	1.100	899.449
45.002	106.761	80.057	20.000	100.681	20.174	-1.395	1.065	899.425
45.501	107.307	80.056	19.999	100.682	20.172	-1.289	1.056	899.426
46.000	107.820	80.054	20.000	100.674	20.177	-1.569	1.059	899.411
46.500	108.362	80.056	20.002	100.668	20.178	-1.531	1.054	899.423
47.000	108.922	80.056	20.002	100.660	20.179	-1.518	1.102	899.400
47.500	109.452	80.053	20.001	100.648	20.182	-1.720	1.090	899.383
48.001	109.970	80.056	20.001	100.638	20.176	-1.299	1.047	899.431
48.501	110.514	80.055	20.000	100.639	20.177	-1.324	1.063	899.445
49.001	111.009	80.054	20.002	100.633	20.179	-1.390	1.039	899.418
49.501	111.572	80.054	20.001	100.624	20.173	-0.864	1.058	899.425
50.000	112.119	80.054	19.999	100.621	20.174	-0.899	1.111	899.418
50.500	112.613	80.056	20.000	100.620	20.177	-1.050	1.041	899.422
51.001	113.162	80.055	20.000	100.614	20.176	-0.921	1.043	899.428
51.501	113.721	80.054	19.999	100.615	20.177	-0.984	1.108	899.437
52.001	114.252	80.056	19.999	100.618	20.180	-1.213	1.091	899.395
52.500	114.776	80.055	19.999	100.620	20.179	-1.126	1.055	899.414
53.001	115.315	80.055	19.998	100.614	20.184	-1.475	1.062	899.411
53.501	115.843	80.057	19.999	100.612	20.182	-1.319	1.067	899.419
54.001	116.381	80.056	19.999	100.605	20.184	-1.361	1.066	899.425
54.501	116.934	80.057	19.999	100.599	20.186	-1.493	1.091	899.427
55.000	117.472	80.056	20.000	100.597	20.188	-1.482	1.091	899.434
55.501	117.987	80.054	19.999	100.596	20.186	-1.369	1.053	899.415
56.001	118.517	80.056	20.000	100.592	20.186	-1.372	1.046	899.427
56.500	119.036	80.055	20.000	100.590	20.187	-1.427	1.049	899.402
57.001	119.588	80.054	19.999	100.584	20.186	-1.303	1.070	899.433
57.501	120.131	80.057	20.000	100.573	20.188	-1.339	1.095	899.461
58.002	120.670	80.057	20.000	100.571	20.187	-1.261	1.082	899.448
58.501	121.170	80.058	20.000	100.568	20.185	-1.052	1.040	899.419
59.001	121.724	80.061	20.000	100.566	20.190	-1.303	1.054	899.421
59.501	122.260	80.059	19.999	100.573	20.186	-0.958	1.090	899.433
60.000	122.753	80.057	19.999	100.577	20.182	-0.654	1.030	899.417
60.500	123.322	80.057	19.999	100.566	20.185	-0.890	1.062	899.422
61.001	123.860	80.058	19.998	100.566	20.185	-0.973	1.105	899.450
61.502	124.401	80.059	19.999	100.562	20.191	-1.393	1.078	899.445
62.001	124.918	80.058	19.999	100.556	20.189	-1.355	1.060	899.474
62.501	125.461	80.058	19.998	100.548	20.191	-1.471	1.060	899.470
63.001	125.981	80.060	20.000	100.552	20.191	-1.444	1.063	899.462
63.501	126.512	80.058	19.999	100.549	20.188	-1.214	1.051	899.441
64.001	127.077	80.058	19.999	100.550	20.188	-1.183	1.096	899.451
64.501	127.601	80.060	19.999	100.546	20.187	-0.988	1.089	899.472
65.001	128.117	80.058	19.998	100.543	20.191	-1.280	1.039	899.495
65.501	128.614	80.056	19.999	100.534	20.193	-1.380	1.014	899.480
66.001	129.169	80.056	19.999	100.529	20.190	-1.232	1.053	899.476
66.501	129.702	80.055	19.998	100.522	20.190	-1.239	1.088	899.454
67.001	130.228	80.055	19.998	100.515	20.192	-1.401	1.059	899.499
67.501	130.753	80.054	19.998	100.517	20.189	-1.274	1.052	899.462
68.000	131.296	80.056	19.997	100.520	20.192	-1.529	1.067	899.453
68.501	131.816	80.057	19.998	100.524	20.193	-1.619	1.062	899.476
69.002	132.315	80.056	19.999	100.530	20.192	-1.560	1.018	899.466
69.502	132.870	80.058	19.999	100.537	20.194	-1.649	1.054	899.495
70.001	133.380	80.058	19.999	100.534	20.194	-1.557	1.066	899.468
70.501	133.901	80.057	19.998	100.533	20.195	-1.467	1.031	899.469
71.001	134.420	80.056	19.998	100.525	20.193	-1.181	1.040	899.471
71.501	134.981	80.055	19.999	100.520	20.193	-1.180	1.080	899.466
72.001	135.496	80.056	19.999	100.515	20.196	-1.288	1.076	899.483
72.501	135.987	80.056	19.999	100.518	20.195	-1.240	1.005	899.453
73.001	136.511	80.055	20.000	100.516	20.189	-0.815	1.015	899.456
73.501	137.049	80.056	19.999	100.519	20.194	-1.114	1.061	899.460
74.001	137.565	80.056	20.000	100.518	20.194	-1.102	1.055	899.497
74.501	138.150	80.057	20.000	100.520	20.194	-1.167	1.103	899.474
75.000	138.619	80.056	20.000	100.527	20.197	-1.408	1.054	899.501
75.501	139.182	80.059	20.000	100.534	20.198	-1.468	1.031	899.506
76.002	139.709	80.057	20.000	100.533	20.197	-1.383	1.089	899.488
76.502	140.206	80.056	20.000	100.534	20.202	-1.773	1.023	899.499
77.002	140.726	80.055	20.000	100.528	20.203	-1.842	1.017	899.458
77.501	141.252	80.055	20.000	100.515	20.199	-1.503	1.046	899.470
78.001	141.780	80.055	20.000	100.502	20.199	-1.505	1.054	899.518
78.501	142.336	80.054	20.001	100.496	20.201	-1.636	1.084	899.538
79.001	142.847	80.056	20.000	100.493	20.204	-1.849	1.067	899.497
79.501	143.356	80.055	20.000	100.491	20.201	-1.651	1.020	899.521
80.001	143.878	80.053	20.001	100.493	20.198	-1.384	1.031	899.506
80.502	144.402	80.057	20.000	100.493	20.200	-1.440	1.045	899.528
81.002	144.946	80.057	19.999	100.488	20.201	-1.513	1.068	899.506
81.501	145.435	80.056	19.999	100.485	20.203	-1.585	1.034	899.526
82.001	145.961	80.055	19.998	100.495	20.204	-1.677	1.015	899.516
82.501	146.486	80.054	19.999	100.493	20.200	-1.390	1.051	899.511
83.001	146.962	80.056	19.999	100.495	20.202	-1.639	1.001	899.535
83.501	147.494	80.054	19.999	100.502	20.201	-1.653	1.007	899.508
84.001	148.010	80.052	19.999	100.500	20.199	-1.539	1.048	899.499
84.501	148.541	80.055	19.999	100.490	20.201	-1.745	1.048	899.545
85.001	149.043	80.055	19.999	100.490	20.198	-1.522	1.033	899.509
85.502	149.564	80.055	20.000	100.490	20.202	-1.756	1.022	899.514
86.002	150.123	80.056	20.000	100.490	20.208	-2.115	1.081	899.528
86.501	150.618	80.054	20.000	100.494	20.205	-1.878	1.055	899.539
87.001	151.104	80.051	20.000	100.491	20.206	-1.901	0.981	899.510
87.501	151.631	80.054	19.999	100.488	20.203	-1.621	1.012	899.511
88.001	152.168	80.052	20.000	100.479	20.202	-1.514	1.064	899.495
88.501	152.694	80.055	20.000	100.475	20.206	-1.698	1.063	899.548
89.001	153.201	80.055	19.999	100.471	20.201	-1.357	1.032	899.550
89.501	153.694	80.053	20.000	100.477	20.203	-1.592	1.000	899.510
90.001	154.199	80.055	19.999	100.483	20.203	-1.630	0.998	899.543
90.501	154.715	80.055	19.999	100.492	20.203	-1.653	1.021	899.509
91.001	155.227	80.056	20.000	100.497	20.205	-1.725	1.028	899.516
91.501	155.754	80.057	20.000	100.498	20.205	-1.780	1.039	899.510
92.001	156.303	80.057	20.000	100.497	20.203	-1.617	1.077	899.530
92.501	156.806	80.059	19.999	100.497	20.203	-1.661	1.052	899.515
93.001	157.301	80.057	19.998	100.496	20.200	-1.400	0.997	899.537
93.501	157.803	80.058	19.999	100.489	20.202	-1.481	0.997	899.500
94.002	158.349	80.059	19.999	100.486	20.204	-1.600	1.048	899.532
94.502	158.821	80.058	19.998	100.481	20.202	-1.366	1.017	899.546
95.002	159.367	80.059	19.999	100.474	20.203	-1.421	1.018	899.532
95.502	159.867	80.060	19.999	100.472	20.203	-1.306	1.047	899.529
96.002	160.378	80.058	19.999	100.472	20.203	-1.269	1.012	899.527
96.501	160.895	80.060	20.000	100.473	20.204	-1.347	1.028	899.542
97.001	161.393	80.060	19.999	100.476	20.201	-1.106	1.014	899.552
97.502	161.917	80.057	19.999	100.481	20.204	-1.330	1.021	899.532
