"Time","TC_00 Ave. (C)","TC_01 Ave. (C)","TC_02 Ave. (C)","TC_03 Ave. (C)"
"00:00:00.000","18.860","18.768","18.632","18.199"
"00:00:00.100","18.860","18.767","18.632","18.200"
"00:00:00.200","18.861","18.765","18.632","18.202"
"00:00:00.300","18.862","18.764","18.632","18.203"
"00:00:00.400","18.863","18.762","18.632","18.205"
"00:00:00.500","18.863","18.762","18.631","18.203"
"00:00:00.600","18.864","18.762","18.631","18.202"
"00:00:00.700","18.865","18.762","18.630","18.200"
"00:00:00.800","18.865","18.762","18.629","18.199"
"00:00:00.900","18.866","18.762","18.628","18.197"
"00:00:01.000","18.865","18.763","18.630","18.196"
"00:00:01.100","18.865","18.764","18.631","18.194"
"00:00:01.200","18.864","18.764","18.633","18.193"
"00:00:01.300","18.863","18.765","18.634","18.191"
"00:00:01.400","18.862","18.766","18.636","18.190"
"00:00:01.500","18.862","18.765","18.635","18.192"
"00:00:01.600","18.861","18.764","18.634","18.194"
"00:00:01.700","18.860","18.763","18.633","18.196"
"00:00:01.800","18.859","18.763","18.633","18.199"
"00:00:01.900","18.858","18.762","18.632","18.201"
"00:00:02.000","18.859","18.763","18.632","18.198"
"00:00:02.100","18.860","18.765","18.632","18.196"
"00:00:02.200","18.861","18.766","18.632","18.194"
"00:00:02.300","18.861","18.768","18.632","18.192"
"00:00:02.400","18.862","18.769","18.632","18.189"
"00:00:02.500","18.861","18.768","18.632","18.189"
"00:00:02.600","18.859","18.766","18.632","18.189"
"00:00:02.700","18.857","18.765","18.631","18.189"
"00:00:02.800","18.856","18.763","18.631","18.189"
"00:00:02.900","18.854","18.761","18.631","18.189"
"00:00:03.000","18.857","18.763","18.631","18.189"
"00:00:03.100","18.859","18.764","18.630","18.189"
"00:00:03.200","18.861","18.766","18.629","18.189"
"00:00:03.300","18.863","18.767","18.628","18.189"
"00:00:03.400","18.865","18.769","18.628","18.189"
"00:00:03.500","18.864","18.770","18.628","18.189"
"00:00:03.600","18.862","18.772","18.629","18.189"
"00:00:03.700","18.861","18.773","18.630","18.189"
"00:00:03.800","18.859","18.775","18.630","18.189"
"00:00:03.900","18.858","18.776","18.631","18.189"
"00:00:04.000","18.859","18.775","18.632","18.190"
"00:00:04.100","18.859","18.773","18.633","18.190"
"00:00:04.200","18.860","18.772","18.633","18.191"
"00:00:04.300","18.861","18.770","18.634","18.192"
"00:00:04.400","18.861","18.769","18.635","18.193"
"00:00:04.500","18.861","18.767","18.634","18.193"
"00:00:04.600","18.860","18.765","18.633","18.194"
"00:00:04.700","18.859","18.764","18.632","18.195"
"00:00:04.800","18.858","18.762","18.632","18.195"
"00:00:04.900","18.857","18.761","18.631","18.196"
"00:00:05.000","18.857","18.760","18.631","18.196"
"00:00:05.100","18.856","18.759","18.632","18.196"
"00:00:05.200","18.855","18.758","18.633","18.196"
"00:00:05.300","18.854","18.758","18.634","18.196"
"00:00:05.400","18.854","18.757","18.634","18.196"
"00:00:05.500","18.855","18.758","18.636","18.196"
"00:00:05.600","18.856","18.760","18.637","18.196"
"00:00:05.700","18.858","18.761","18.639","18.196"
"00:00:05.800","18.859","18.763","18.640","18.196"
"00:00:05.900","18.861","18.764","18.642","18.196"
"00:00:06.000","18.860","18.763","18.639","18.196"
"00:00:06.100","18.859","18.761","18.636","18.197"
"00:00:06.200","18.859","18.760","18.633","18.198"
"00:00:06.300","18.858","18.758","18.630","18.199"
"00:00:06.400","18.857","18.757","18.627","18.199"
"00:00:06.500","18.856","18.757","18.629","18.198"
"00:00:06.600","18.855","18.757","18.631","18.196"
"00:00:06.700","18.855","18.757","18.633","18.195"
"00:00:06.800","18.854","18.757","18.635","18.193"
"00:00:06.900","18.853","18.757","18.638","18.192"
"00:00:07.000","18.853","18.756","18.637","18.191"
"00:00:07.100","18.853","18.755","18.636","18.190"
"00:00:07.200","18.853","18.754","18.635","18.189"
"00:00:07.300","18.853","18.754","18.635","18.189"
"00:00:07.400","18.853","18.753","18.634","18.188"
"00:00:07.500","18.852","18.753","18.635","18.189"
"00:00:07.600","18.850","18.753","18.635","18.189"
"00:00:07.700","18.849","18.753","18.636","18.190"
"00:00:07.800","18.847","18.753","18.637","18.191"
"00:00:07.900","18.846","18.753","18.637","18.191"
"00:00:08.000","18.846","18.753","18.637","18.191"
"00:00:08.100","18.847","18.754","18.637","18.190"
"00:00:08.200","18.848","18.755","18.637","18.189"
"00:00:08.300","18.848","18.755","18.637","18.188"
"00:00:08.400","18.849","18.756","18.637","18.188"
"00:00:08.500","18.849","18.757","18.637","18.189"
"00:00:08.600","18.849","18.758","18.636","18.191"
"00:00:08.700","18.849","18.758","18.635","18.192"
"00:00:08.800","18.849","18.759","18.634","18.193"
"00:00:08.900","18.849","18.760","18.633","18.195"
"00:00:09.000","18.849","18.759","18.632","18.195"
"00:00:09.100","18.849","18.758","18.630","18.195"
"00:00:09.200","18.849","18.757","18.629","18.195"
"00:00:09.300","18.849","18.757","18.627","18.195"
"00:00:09.400","18.849","18.756","18.626","18.195"
"00:00:09.500","18.849","18.756","18.626","18.197"
"00:00:09.600","18.849","18.756","18.626","18.199"
"00:00:09.700","18.849","18.756","18.626","18.201"
"00:00:09.800","18.849","18.756","18.626","18.204"
"00:00:09.900","18.849","18.756","18.626","18.206"
"00:00:10.000","18.848","18.757","18.626","18.205"
"00:00:10.100","18.847","18.757","18.627","18.204"
"00:00:10.200","18.846","18.758","18.628","18.203"
"00:00:10.300","18.846","18.759","18.629","18.203"
"00:00:10.400","18.845","18.759","18.629","18.202"
"00:00:10.500","18.845","18.760","18.629","18.203"
"00:00:10.600","18.845","18.761","18.629","18.203"
"00:00:10.700","18.845","18.762","18.629","18.204"
"00:00:10.800","18.845","18.762","18.629","18.205"
"00:00:10.900","18.845","18.763","18.629","18.206"
"00:00:11.000","18.846","18.762","18.630","18.206"
"00:00:11.100","18.848","18.761","18.631","18.205"
"00:00:11.200","18.849","18.761","18.631","18.205"
"00:00:11.300","18.850","18.760","18.632","18.205"
"00:00:11.400","18.852","18.759","18.633","18.205"
"00:00:11.500","18.850","18.760","18.632","18.208"
"00:00:11.600","18.849","18.760","18.631","18.210"
"00:00:11.700","18.847","18.761","18.630","18.212"
"00:00:11.800","18.846","18.762","18.630","18.214"
"00:00:11.900","18.844","18.763","18.629","18.216"
"00:00:12.000","18.846","18.763","18.630","18.214"
"00:00:12.100","18.847","18.763","18.630","18.212"
"00:00:12.200","18.849","18.763","18.631","18.210"
"00:00:12.300","18.850","18.762","18.632","18.207"
"00:00:12.400","18.852","18.762","18.632","18.205"
"00:00:12.500","18.850","18.763","18.632","18.206"
"00:00:12.600","18.849","18.764","18.632","18.207"
"00:00:12.700","18.847","18.765","18.632","18.207"
"00:00:12.800","18.846","18.765","18.632","18.208"
"00:00:12.900","18.844","18.766","18.632","18.209"
"00:00:13.000","18.846","18.767","18.633","18.209"
"00:00:13.100","18.847","18.767","18.634","18.209"
"00:00:13.200","18.848","18.768","18.634","18.209"
"00:00:13.300","18.850","18.769","18.635","18.209"
"00:00:13.400","18.851","18.770","18.636","18.209"
"00:00:13.500","18.853","18.769","18.637","18.208"
"00:00:13.600","18.854","18.768","18.637","18.208"
"00:00:13.700","18.856","18.767","18.638","18.208"
"00:00:13.800","18.857","18.766","18.639","18.208"
"00:00:13.900","18.859","18.766","18.639","18.208"
"00:00:14.000","18.857","18.765","18.638","18.207"
"00:00:14.100","18.856","18.764","18.636","18.207"
"00:00:14.200","18.854","18.763","18.635","18.206"
"00:00:14.300","18.853","18.763","18.633","18.205"
"00:00:14.400","18.851","18.762","18.632","18.204"
"00:00:14.500","18.852","18.762","18.632","18.204"
"00:00:14.600","18.852","18.762","18.633","18.203"
"00:00:14.700","18.853","18.762","18.634","18.202"
"00:00:14.800","18.854","18.762","18.635","18.201"
"00:00:14.900","18.855","18.762","18.635","18.201"
"00:00:15.000","18.854","18.762","18.635","18.199"
"00:00:15.100","18.853","18.762","18.634","18.198"
"00:00:15.200","18.852","18.762","18.633","18.196"
"00:00:15.300","18.851","18.762","18.632","18.195"
"00:00:15.400","18.851","18.762","18.631","18.193"
"00:00:15.500","18.852","18.762","18.631","18.193"
"00:00:15.600","18.854","18.763","18.631","18.193"
"00:00:15.700","18.855","18.764","18.631","18.193"
"00:00:15.800","18.857","18.764","18.631","18.193"
"00:00:15.900","18.858","18.765","18.631","18.193"
"00:00:16.000","18.857","18.764","18.631","18.192"
"00:00:16.100","18.855","18.764","18.631","18.191"
"00:00:16.200","18.853","18.763","18.631","18.190"
"00:00:16.300","18.852","18.762","18.631","18.190"
"00:00:16.400","18.850","18.761","18.631","18.189"
"00:00:16.500","18.853","18.765","18.631","18.190"
"00:00:16.600","18.855","18.769","18.631","18.192"
"00:00:16.700","18.857","18.772","18.631","18.193"
"00:00:16.800","18.859","18.776","18.631","18.195"
"00:00:16.900","18.861","18.780","18.631","18.196"
"00:00:17.000","18.861","18.778","18.633","18.197"
"00:00:17.100","18.860","18.777","18.635","18.198"
"00:00:17.200","18.859","18.775","18.638","18.198"
"00:00:17.300","18.858","18.774","18.640","18.199"
"00:00:17.400","18.858","18.772","18.642","18.200"
"00:00:17.500","18.857","18.772","18.643","18.201"
"00:00:17.600","18.856","18.772","18.643","18.201"
"00:00:17.700","18.855","18.772","18.644","18.202"
"00:00:17.800","18.854","18.772","18.645","18.203"
"00:00:17.900","18.854","18.772","18.646","18.203"
"00:00:18.000","18.855","18.771","18.646","18.203"
"00:00:18.100","18.857","18.770","18.647","18.203"
"00:00:18.200","18.858","18.770","18.648","18.203"
"00:00:18.300","18.860","18.769","18.648","18.203"
"00:00:18.400","18.861","18.768","18.649","18.203"
"00:00:18.500","18.862","18.770","18.648","18.202"
"00:00:18.600","18.862","18.772","18.648","18.200"
"00:00:18.700","18.863","18.775","18.647","18.199"
"00:00:18.800","18.864","18.777","18.646","18.197"
"00:00:18.900","18.864","18.779","18.645","18.196"
"00:00:19.000","18.864","18.777","18.645","18.196"
"00:00:19.100","18.863","18.775","18.645","18.197"
"00:00:19.200","18.862","18.772","18.645","18.198"
"00:00:19.300","18.861","18.770","18.645","18.199"
"00:00:19.400","18.861","18.768","18.645","18.199"
"00:00:19.500","18.861","18.768","18.645","18.197"
"00:00:19.600","18.862","18.768","18.645","18.195"
"00:00:19.700","18.863","18.768","18.645","18.192"
"00:00:19.800","18.864","18.768","18.645","18.190"
"00:00:19.900","18.864","18.768","18.645","18.188"
"00:00:20.000","18.865","18.768","18.645","18.189"
"00:00:20.100","18.866","18.768","18.645","18.191"
"00:00:20.200","18.866","18.768","18.645","18.192"
"00:00:20.300","18.867","18.767","18.645","18.194"
"00:00:20.400","18.868","18.767","18.645","18.195"
"00:00:20.500","18.867","18.767","18.643","18.194"
"00:00:20.600","18.866","18.767","18.640","18.192"
"00:00:20.700","18.865","18.767","18.638","18.191"
"00:00:20.800","18.865","18.767","18.636","18.189"
"00:00:20.900","18.864","18.767","18.634","18.188"
"00:00:21.000","18.865","18.766","18.633","18.189"
"00:00:21.100","18.865","18.764","18.632","18.190"
"00:00:21.200","18.866","18.763","18.631","18.192"
"00:00:21.300","18.867","18.761","18.630","18.193"
"00:00:21.400","18.867","18.760","18.630","18.195"
"00:00:21.500","18.867","18.761","18.630","18.195"
"00:00:21.600","18.866","18.763","18.630","18.195"
"00:00:21.700","18.865","18.764","18.629","18.195"
"00:00:21.800","18.864","18.765","18.629","18.195"
"00:00:21.900","18.864","18.767","18.629","18.195"
"00:00:22.000","18.864","18.767","18.630","18.193"
"00:00:22.100","18.864","18.767","18.631","18.192"
"00:00:22.200","18.863","18.767","18.632","18.190"
"00:00:22.300","18.863","18.767","18.632","18.189"
"00:00:22.400","18.863","18.767","18.633","18.187"
"00:00:22.500","18.863","18.767","18.631","18.189"
"00:00:22.600","18.862","18.767","18.630","18.190"
"00:00:22.700","18.861","18.767","18.628","18.191"
"00:00:22.800","18.860","18.767","18.627","18.193"
"00:00:22.900","18.859","18.767","18.625","18.194"
"00:00:23.000","18.859","18.767","18.623","18.194"
"00:00:23.100","18.858","18.766","18.621","18.194"
"00:00:23.200","18.857","18.766","18.619","18.194"
"00:00:23.300","18.856","18.766","18.616","18.194"
"00:00:23.400","18.856","18.766","18.614","18.194"
"00:00:23.500","18.855","18.766","18.616","18.195"
"00:00:23.600","18.854","18.765","18.617","18.196"
"00:00:23.700","18.853","18.764","18.618","18.196"
"00:00:23.800","18.853","18.763","18.620","18.197"
"00:00:23.900","18.852","18.763","18.621","18.198"
"00:00:24.000","18.852","18.762","18.623","18.197"
"00:00:24.100","18.853","18.761","18.624","18.196"
"00:00:24.200","18.854","18.760","18.626","18.195"
"00:00:24.300","18.855","18.760","18.627","18.195"
"00:00:24.400","18.855","18.759","18.629","18.194"
"00:00:24.500","18.855","18.759","18.629","18.196"
"00:00:24.600","18.855","18.760","18.629","18.198"
"00:00:24.700","18.855","18.761","18.629","18.201"
"00:00:24.800","18.855","18.762","18.629","18.203"
