DPT_zero_span_1,DPT_zero_span_2,DPT_calib_V_1,DPT_calib_V_2,O2Inlet_zero_span_1,O2Inlet_zero_span_2,O2Inlet_calib_V_1,O2Inlet_calib_V_2,CO_zero_span_1,CO_zero_span_2,CO_calib_V_1,CO_calib_V_2,CO2_zero_span_1,CO2_zero_span_2,CO2_calib_V_1,CO2_calib_V_2,O2_zero_span_1,O2_zero_span_2,O2_calib_V_1,O2_calib_V_2,desired_heat_flux,heatflux_calib,,,,,,,,,,,,,,,,,
0,500,0.0235492211,5.02635,0,20.95,2.25158433,4.13856064,0,412,2.00341937,8.5155951,0,2556,2.0530689,5.94240805,0,NaN,2.25310682,2.57879588,15,0.1017,,,used for flow rate calc,,,,,,,,,,,,,,
timestamp,test_time,v_data_1,v_data_2,v_data_3,v_data_4,v_data_5,v_data_6,v_data_7,v_data_8,v_data_9,v_data_10,v_data_11,v_data_12,v_data_13,temperatures_1,temperatures_2,temperatures_3,mass,MLR,smooth_MLR,conc_O2,conc_CO,conc_CO2,DPT_Pa,RH_ambient,T_cold_trap,T_duct,T_ambient,Q_OC__O2_CO2_CO,IR_Controller,O2_inlet,conc_CO2_hood,conc_CO_hood,conc_O2_hood,Extra TCs_1,Extra TCs_2,Extra TCs_3,Extra TCs_4
20260513151730.3,20.3320059925318,9.7944442,0.071098025,2.0027057,2.7346019,-0.0003648,-0.000711849,0.002380021,1.2004339,0.1110992,0.000638563,-0.024511946,4.1314291,0.74002528,289.551,287.784,288.872,0.05,NaN,NaN,NaN,-0.0451511218661693,447.890574932248,4.75221840739142,14.8005056,289.551,287.784,288.872,-0.0152740916814459+0i,0.000638563,20.8708226609904,424.224449317458,21.701751275989,20.8687419686079,-9.9E+037,202.282,536.323,-9.9E+037
20260513151732.4,22.3470021039248,9.7945972,0.036618205,2.0031538,2.7345473,-0.000365235,-0.000708147,0.0024067,1.2004449,0.17730194,0.000618853,-0.10854988,4.1312105,0.62882678,289.545,287.768,288.918,-0.06,NaN,NaN,NaN,-0.0168015797692647,447.854692846727,1.30616673315492,12.5765356,289.545,287.768,288.918,-0.0022825344029764+0i,0.000618853,20.8683956723866,424.362088651997,22.4945801822546,20.8674727363233,1091.286,-9.9E+037,262.754,525.635
20260513151734.5,24.4680024683475,9.7952967,0.11441108,2.0028587,2.7343506,-0.000360553,-0.000711632,0.002427172,1.2004995,0.41841798,0.000642265,-0.021661281,4.1310247,0.57270047,289.521,287.768,288.961,-0.14,NaN,NaN,NaN,-0.0354714076487426,447.725425333505,9.081099059873,11.4540094,289.521,287.768,288.961,-0.0234299090782078+0i,0.000642265,20.8663328430975,424.773755388936,22.5766656888104,20.8688896288165,9.9E+037,-9.9E+037,-9.9E+037,505.238
20260513151736.6,26.6209982335567,9.795242,0.06654428,2.0027822,2.7347768,-0.000365562,-0.000709127,0.002379476,1.2005214,0.39683564,0.000632029,-0.006092597,4.1316696,0.55351665,289.507,287.744,288.98,0,NaN,NaN,NaN,-0.0403112647574631,448.005515898505,4.29709884524475,11.070333,289.507,287.744,288.98,-0.0163146845878831+0i,0.000632029,20.8734927925513,424.499727986536,22.5629640109328,20.8689192146506,9.9E+037,382.164,-9.9E+037,607.596
20260513151738.8,28.7770014256239,9.7944551,0.06877911,2.0029461,2.734744,-0.000363493,-0.000708474,0.002385139,1.2004886,0.32478934,0.000640632,-0.10120589,4.1310356,0.54764039,289.524,287.744,288.888,-0.02,NaN,NaN,NaN,-0.0299419499846891,447.98396035995,4.52045673003458,10.9528078,289.524,287.744,288.888,-0.0166224461101169+0i,0.000640632,20.8664538594552,423.812782580515,22.603944483857,20.8689192146506,9.9E+037,345.654,-9.9E+037,749.845
20260513151740.8,30.8000039309263,9.7951218,0.12097591,2.0027494,2.7353561,-0.000363602,-0.000713265,0.002403106,1.2006307,0.42761489,0.000637474,-0.046514705,4.1316149,0.59646965,289.505,287.73,288.88,-0.01,NaN,NaN,NaN,-0.0423863930341355,448.386220882795,9.73721453299839,11.929393,289.505,287.73,288.88,-0.0244190826907217+0i,0.000637474,20.8728854902794,424.088061249597,22.4945801822546,20.8689192146506,9.9E+037,455.538,-9.9E+037,271.99
20260513151743,32.9450033605099,9.7943349,0.10180736,2.003121,2.735214,-0.000366106,-0.000704662,0.002419005,1.2006088,0.4338851,0.000637583,0.047460611,4.1312105,0.64511339,289.534,287.741,288.815,0.08,NaN,NaN,NaN,-0.0188767080459371,448.292835455093,7.82143266928257,12.9022678,289.534,287.741,288.815,-0.0182065249503416+0i,0.000637583,20.8683956723866,425.460700794957,23.3694945950756,20.8685354056932,9.9E+037,850.433,-9.9E+037,174.361
20260513151745.1,35.0930001586676,9.7943895,0.13613856,2.0028805,2.7355309,-0.000362513,-0.000711087,0.002424994,1.2006088,0.23937221,0.000638781,-0.11683852,4.1316477,0.5743024,289.54,287.746,288.7,0,NaN,NaN,NaN,-0.0340922065380482,448.501096130946,11.2526306638936,11.486048,289.54,287.746,288.7,-0.0460691026900182+0i,0.000638781,20.8732496495942,428.618897889299,24.4358588160558,20.8702180327694,964.677,264.54,241.033,600.167
20260513151747.1,37.1169984340668,9.7945097,0.10626833,2.0030336,2.7350391,-0.000360444,-0.000709236,0.002446882,1.200576,0.44300778,0.00062604,0.075776611,4.1310466,0.62729797,289.518,287.746,288.687,-0.02,NaN,NaN,NaN,-0.0244061657100048,448.177894488837,8.26727992536507,12.5459594,289.518,287.746,288.687,-0.0253466443923951+0i,0.00062604,20.8665759860546,431.640706915779,23.3148124442741,20.8689781173568,1612.028,609.129,-9.9E+037,73.462
20260513151749.1,39.1169976443052,9.7952857,0.14127063,2.0031319,2.7355419,-0.000364146,-0.000706514,0.002404631,1.2004011,0.30828995,0.000637147,-0.1172325,4.1311668,0.61558472,289.515,287.765,288.649,-0.03,NaN,NaN,NaN,-0.0181871074905899,448.508325122534,11.7655503489673,12.3116944,289.515,287.765,288.649,-0.0300323914997024+0i,0.000637147,20.8679104967142,432.327652321796,23.3285141221518,20.8689485315226,723.363,230.271,-9.9E+037,267.517
