DPT_zero_span_1,DPT_zero_span_2,DPT_calib_V_1,DPT_calib_V_2,O2Inlet_zero_span_1,O2Inlet_zero_span_2,O2Inlet_calib_V_1,O2Inlet_calib_V_2,CO_zero_span_1,CO_zero_span_2,CO_calib_V_1,CO_calib_V_2,CO2_zero_span_1,CO2_zero_span_2,CO2_calib_V_1,CO2_calib_V_2,O2_zero_span_1,O2_zero_span_2,O2_calib_V_1,O2_calib_V_2,desired_heat_flux,heatflux_calib
0,500,0.0235492211,5.02635,0,20.95,2.25158433,4.13856064,0,412,2.00341937,8.5155951,0,2556,2.0530689,5.94240805,0,NaN,2.25310682,2.57879588,15,0.1017
timestamp,test_time,v_data_1,v_data_2,v_data_3,v_data_4,v_data_5,v_data_6,v_data_7,v_data_8,v_data_9,v_data_10,v_data_11,v_data_12,v_data_13,temperatures_1,temperatures_2,temperatures_3,mass,MLR,smooth_MLR,conc_O2,conc_CO,conc_CO2,DPT_Pa,RH_ambient,T_cold_trap,T_duct,T_ambient,Q_OC__O2_CO2_CO,IR_Controller,O2_inlet,conc_CO2_hood,conc_CO_hood,conc_O2_hood,Extra TCs_1,Extra TCs_2,Extra TCs_3,Extra TCs_4
20260514184724.1,21.9329930841923,9.7871979,0.6001722,2.0027603,2.7279896,-0.00038647,-0.000717185,0.002394068,1.2111995,0.28630712,0.000632138,0.17396933,4.1302378,0.71098548,288.413,287.184,289.454,-0.28,NaN,NaN,NaN,-0.0416967924787883,443.545096652217,57.6300161033783,14.2197096,288.413,287.184,289.454,-0.0174646909888813+0i,0.000632138,20.857596350269,423.812782580515,22.5082818601313,20.9468179090571,-9.9e+37,536.443,608.187,-9.9e+37
20260514184726.2,24.0509960800409,9.78734,0.70805226,2.0030008,2.7281317,-0.000387232,-0.000717294,0.002357479,1.2111995,0.43638292,0.000618199,-0.001518222,4.1313089,0.77049896,288.416,287.184,289.47,-0.29,NaN,NaN,NaN,-0.0264812939866772,443.638482079919,68.4119825225689,15.4099792,288.416,287.184,289.47,-0.0388377356402035+0i,0.000618199,20.8694881503308,425.049034058018,21.7838367825448,20.9474082809293,-9.9e+37,163.57,781.629,-9.9e+37
20260514184728.2,26.0699953883886,9.787799,0.56591848,2.0026182,2.7282737,-0.000386688,-0.00071675,0.002386772,1.2111449,0.4479445,0.000634643,-0.059691694,4.131298,0.65525747,288.401,287.171,289.492,-0.29,NaN,NaN,NaN,-0.0506869061408253,443.731801789515,54.2065617711101,13.1051494,288.401,287.171,289.492,-0.0485643856461642+0i,0.000634643,20.8693671339732,425.049034058018,22.5356852158861,20.9478509925929,-9.9e+37,-9.9e+37,235.619,-9.9e+37
20260514184730.2,28.0819941312075,9.7877006,0.61101247,2.0026292,2.7288093,-0.000388321,-0.000714245,0.002354321,1.2111995,0.19734675,0.000635623,-0.11628414,4.1304017,0.62884642,288.409,287.171,289.495,-0.32,NaN,NaN,NaN,-0.0499909789748756,444.083787961767,58.7134362193382,12.5769284,288.409,287.171,289.495,-0.00285750967673728+0i,0.000635623,20.8594160366009,424.637367321075,21.9067782013171,20.9463456115594,950.567,-9.9e+37,384.151,373.928
20260514184732.2,30.0970003008842,9.7877225,0.41609367,2.0026292,2.728853,-0.000383856,-0.000712285,0.002405611,1.2112104,0.30819938,0.000634316,0.11820989,4.1311231,0.75090922,288.409,287.179,289.53,-0.38,NaN,NaN,NaN,-0.0499909789748756,444.112506773805,39.2324685959525,15.0181844,288.409,287.179,289.53,-0.04747833441773+0i,0.000634316,20.8674253210418,424.088061249597,22.4673013872075,20.9481167271759,9.9e+37,782.617,448.477,123.914
20260514184734.2,32.1169953793287,9.7873072,0.65458855,2.0026401,2.7296181,-0.000386143,-0.000716641,0.002419767,1.2111011,0.22739598,0.000632791,-0.11937065,4.1307515,0.60268202,288.404,287.166,289.514,-0.42,NaN,NaN,NaN,-0.0493013784195284,444.615315997835,63.0686046465708,12.0536404,288.404,287.166,289.514,-0.00989214364358161+0i,0.000632791,20.8632996624637,424.224449317458,23.2601302934731,20.9465228576021,-9.9e+37,-9.9e+37,311.425,355.742
20260514184736.3,34.1209977865219,9.7880067,0.42062121,2.0028259,2.7293448,-0.000386252,-0.00071479,0.002374794,1.211123,0.21615191,0.000614061,-0.11015967,4.1307515,0.61083897,288.412,287.168,289.5,-0.4,NaN,NaN,NaN,-0.0375465359254292,444.435708415915,39.6849691251656,12.2167794,288.412,287.168,289.5,-0.00794451069214919+0i,0.000614061,20.8632996624637,424.362088651997,23.287533649228,20.9465228576021,9.9e+37,-9.9e+37,-9.9e+37,576.491
20260514184738.3,36.1329965293407,9.7877881,0.73706369,2.002662,2.7293558,-0.000384619,-0.000716096,0.002404849,1.2110684,0.42770764,0.000635405,0.11047527,4.1310029,0.72695235,288.404,287.174,289.514,-0.39,NaN,NaN,NaN,-0.0479158506982031,444.442937407503,71.3115013403439,14.539047,288.404,287.174,289.514,-0.0172822662328834+0i,0.000635405,20.8660908103822,424.773755388936,22.6723283125361,20.9467294205168,9.9e+37,644.048,-9.9e+37,-9.9e+37
20260514184740.3,38.1639953702688,9.7878099,0.48741757,2.0027057,2.7293448,-0.000385272,-0.000716314,0.00240082,1.2110137,0.27001286,0.000633009,-0.11950219,4.130981,0.62194877,288.406,287.179,289.503,-0.39,NaN,NaN,NaN,-0.0451511218661693,444.435708415915,46.3608655831779,12.4389754,288.406,287.179,289.503,-0.0416440873324719+0i,0.000633009,20.8658476674251,425.049034058018,22.521983538009,20.9477329182184,387.698,-9.9e+37,201.147,326.967
20260514184742.3,40.1720009744167,9.7881378,0.51756935,2.0030117,2.7296399,-0.000387123,-0.000716314,0.002417916,1.2109591,0.24038378,0.00063584,-0.10881656,4.1305329,0.62242018,288.414,287.171,289.505,-0.46,NaN,NaN,NaN,-0.02579169343133,444.629642544801,49.3743555593498,12.4484036,288.414,287.171,289.505,-0.0460935306725484+0i,0.00063584,20.8608726738599,424.637367321075,22.521983538009,20.9478509925929,9.9e+37,-9.9e+37,-9.9e+37,534.03
