File Name:	PMMA_CN_15mm_60Kmin_4mg_R2.txt	Version: 8.3.7.3
Date:	07 Aug 2024
Operator:	KH
Test ID:	PMMA_CN_15mm_4mg_60K_R2
Sample ID:	PMMA_CN_15mm_4mg
Sample Mass (mg):	4.1000
Sample Cup Mass (mg):	182.1400
End Total Mass (mg):	0.0100
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	99.813
Baseline O2:	20.442
Instrument ID:	2700
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	75.214	80.020	19.977	99.813	20.444	-12.046	0.014	898.785
0.500	75.215	80.023	19.976	99.811	20.428	-10.946	0.003	898.805
1.000	75.208	80.021	19.977	99.806	20.406	-9.391	-0.006	898.781
1.500	75.226	80.020	19.976	99.814	20.382	-7.625	0.010	898.775
2.000	75.238	80.019	19.976	99.860	20.357	-5.900	0.030	898.804
2.499	75.293	80.017	19.977	99.958	20.345	-5.093	0.067	898.826
2.999	75.294	80.018	19.976	100.091	20.332	-4.172	0.055	898.792
3.499	75.350	80.017	19.975	100.249	20.323	-3.481	0.058	898.803
4.000	75.366	80.017	19.978	100.404	20.316	-3.100	0.073	898.787
4.500	75.428	80.019	19.977	100.521	20.306	-2.436	0.078	898.763
5.000	75.480	80.017	19.976	100.585	20.304	-2.662	0.114	898.797
5.500	75.581	80.017	19.975	100.619	20.301	-3.341	0.153	898.796
6.000	75.665	80.021	19.977	100.628	20.300	-4.800	0.186	898.776
6.499	75.701	80.019	19.977	100.622	20.300	-6.778	0.121	898.777
7.000	75.849	80.019	19.978	100.621	20.293	-8.363	0.183	898.771
7.500	75.915	80.019	19.977	100.628	20.295	-10.828	0.214	898.779
8.000	76.035	80.017	19.977	100.638	20.294	-12.659	0.186	898.796
8.500	76.151	80.019	19.977	100.645	20.292	-13.804	0.236	898.764
9.000	76.249	80.018	19.977	100.657	20.298	-14.816	0.214	898.763
9.500	76.384	80.016	19.978	100.664	20.293	-14.388	0.232	898.736
10.000	76.536	80.018	19.979	100.670	20.294	-14.068	0.287	898.753
10.500	76.693	80.016	19.977	100.672	20.282	-12.522	0.309	898.764
11.000	76.818	80.016	19.978	100.674	20.260	-10.123	0.283	898.739
11.500	76.961	80.016	19.977	100.682	20.230	-7.203	0.268	898.759
12.000	77.111	80.016	19.978	100.691	20.200	-4.206	0.293	898.765
12.500	77.311	80.014	19.978	100.722	20.170	-1.334	0.350	898.749
13.000	77.493	80.015	19.977	100.800	20.152	0.521	0.383	898.755
13.500	77.702	80.015	19.977	100.927	20.134	2.346	0.391	898.755
14.000	77.948	80.016	19.977	101.084	20.130	3.185	0.454	898.754
14.501	78.151	80.015	19.977	101.267	20.128	3.767	0.449	898.765
15.001	78.435	80.015	19.978	101.432	20.127	4.175	0.487	898.764
15.500	78.738	80.016	19.977	101.545	20.131	4.314	0.588	898.778
16.000	79.069	80.016	19.977	101.603	20.140	4.024	0.634	898.758
16.500	79.357	80.017	19.977	101.615	20.150	3.642	0.619	898.734
17.000	79.710	80.017	19.976	101.589	20.157	3.526	0.640	898.734
17.500	80.043	80.016	19.976	101.544	20.163	3.394	0.685	898.757
18.000	80.387	80.015	19.978	101.495	20.169	3.428	0.678	898.747
18.500	80.746	80.014	19.977	101.447	20.177	3.176	0.703	898.736
