"Time","TC_00 Ave. (C)","TC_01 Ave. (C)","TC_02 Ave. (C)","TC_03 Ave. (C)","Cold_water Ave. (C)","Hot_water Ave. (C)"
"00:00:00.000","12.977","12.986","12.894","12.590","9.531","9.852"
"00:00:00.100","12.977","12.986","12.892","12.590","9.531","9.852"
"00:00:00.200","12.977","12.987","12.891","12.590","9.531","9.851"
"00:00:00.300","12.977","12.987","12.889","12.590","9.531","9.851"
"00:00:00.400","12.977","12.988","12.887","12.590","9.531","9.850"
"00:00:00.500","12.979","12.987","12.887","12.588","9.530","9.851"
"00:00:00.600","12.981","12.987","12.887","12.586","9.530","9.852"
"00:00:00.700","12.983","12.986","12.887","12.584","9.529","9.853"
"00:00:00.800","12.985","12.986","12.887","12.582","9.529","9.854"
"00:00:00.900","12.987","12.985","12.887","12.580","9.528","9.855"
"00:00:01.000","12.989","12.985","12.887","12.577","9.528","9.856"
"00:00:01.100","12.991","12.984","12.887","12.575","9.527","9.857"
"00:00:01.200","12.991","12.984","12.887","12.576","9.528","9.857"
"00:00:01.300","12.990","12.984","12.887","12.577","9.529","9.857"
"00:00:01.400","12.990","12.984","12.887","12.578","9.530","9.857"
"00:00:01.500","12.989","12.984","12.887","12.579","9.531","9.857"
"00:00:01.600","12.989","12.984","12.887","12.580","9.532","9.857"
"00:00:01.700","12.988","12.984","12.887","12.582","9.533","9.857"
"00:00:01.800","12.988","12.984","12.887","12.583","9.535","9.857"
"00:00:01.900","12.987","12.983","12.888","12.583","9.535","9.858"
"00:00:02.000","12.987","12.983","12.888","12.583","9.535","9.858"
"00:00:02.100","12.986","12.982","12.889","12.583","9.535","9.859"
"00:00:02.200","12.985","12.982","12.889","12.583","9.535","9.859"
"00:00:02.300","12.985","12.981","12.890","12.583","9.535","9.860"
"00:00:02.400","12.984","12.981","12.890","12.583","9.535","9.861"
"00:00:02.500","12.984","12.980","12.891","12.583","9.535","9.861"
"00:00:02.600","12.984","12.980","12.891","12.584","9.533","9.859"
"00:00:02.700","12.984","12.980","12.891","12.586","9.531","9.857"
"00:00:02.800","12.984","12.980","12.891","12.587","9.530","9.855"
"00:00:02.900","12.984","12.980","12.891","12.589","9.528","9.853"
"00:00:03.000","12.984","12.980","12.891","12.591","9.526","9.850"
"00:00:03.100","12.984","12.980","12.891","12.592","9.525","9.848"
"00:00:03.200","12.984","12.980","12.891","12.594","9.523","9.846"
"00:00:03.300","12.985","12.983","12.893","12.597","9.524","9.847"
"00:00:03.400","12.986","12.986","12.894","12.601","9.524","9.848"
"00:00:03.500","12.987","12.988","12.896","12.605","9.525","9.849"
"00:00:03.600","12.988","12.991","12.897","12.609","9.525","9.850"
"00:00:03.700","12.989","12.993","12.899","12.612","9.526","9.851"
"00:00:03.800","12.990","12.996","12.901","12.616","9.526","9.853"
"00:00:03.900","12.991","12.999","12.902","12.620","9.527","9.854"
"00:00:04.000","12.992","12.997","12.901","12.619","9.527","9.853"
"00:00:04.100","12.992","12.994","12.899","12.619","9.527","9.852"
"00:00:04.200","12.993","12.992","12.897","12.618","9.527","9.852"
"00:00:04.300","12.993","12.990","12.896","12.618","9.527","9.851"
"00:00:04.400","12.994","12.988","12.894","12.617","9.527","9.851"
"00:00:04.500","12.994","12.986","12.893","12.616","9.527","9.850"
"00:00:04.600","12.995","12.984","12.891","12.616","9.527","9.850"
"00:00:04.700","12.988","12.993","12.898","12.607","9.527","9.856"
"00:00:04.800","12.989","12.992","12.897","12.606","9.528","9.855"
"00:00:04.900","12.989","12.990","12.897","12.605","9.528","9.854"
"00:00:05.000","12.990","12.989","12.896","12.604","9.529","9.853"
"00:00:05.100","12.990","12.987","12.896","12.603","9.530","9.852"
"00:00:05.200","12.991","12.985","12.895","12.602","9.530","9.851"
"00:00:05.300","12.991","12.984","12.894","12.601","9.531","9.850"
"00:00:05.400","12.990","12.983","12.894","12.599","9.530","9.851"
"00:00:05.500","12.989","12.983","12.893","12.598","9.529","9.852"
"00:00:05.600","12.988","12.982","12.893","12.596","9.529","9.853"
"00:00:05.700","12.987","12.982","12.892","12.595","9.528","9.854"
"00:00:05.800","12.986","12.981","12.892","12.593","9.528","9.855"
"00:00:05.900","12.985","12.980","12.891","12.591","9.527","9.856"
"00:00:06.000","12.984","12.980","12.891","12.590","9.527","9.857"
"00:00:06.100","12.984","12.979","12.890","12.590","9.527","9.857"
"00:00:06.200","12.984","12.979","12.889","12.591","9.528","9.856"
"00:00:06.300","12.984","12.978","12.888","12.591","9.528","9.855"
"00:00:06.400","12.984","12.978","12.886","12.592","9.529","9.855"
"00:00:06.500","12.984","12.977","12.885","12.592","9.529","9.854"
"00:00:06.600","12.984","12.977","12.884","12.593","9.530","9.854"
"00:00:06.700","12.984","12.976","12.883","12.593","9.530","9.853"
"00:00:06.800","12.985","12.976","12.882","12.592","9.530","9.854"
