General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,93800;0,05800;-0,005000;114,825;100,10;0,0000;0,000;101,408;19,800;0,000;338,650;339,850;25,30;1019,250;263,158;0,000;743,600;760,000;734,700;317,250;;;;;0,00;0,00;0,00;3,00;1,99;14,966;25,012;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,6613;;;0,00083415;0,00083415;-0,00039;0,70185;0,0007;24,980434;0,000152;23,952527;24,037402;0,0000;0,0032;0,00;0,00;0,00;0,00;0,07;;;;0,0066429;20,94500;0,04800;0,00400;0,0000890;;70,93;0,00;;;
Standard used;ISO 5660-1;1;20,93600;0,05700;0,008000;116,125;100,10;0,0000;0,000;101,416;19,800;0,000;338,650;339,850;25,30;1019,150;263,158;0,000;743,800;759,700;734,500;317,250;;;;;0,00;0,00;0,00;3,00;1,99;14,931;24,996;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;-0,00001017;-0,00001017;0,00160;-57,87648;0,0007;25,121445;0,000240;24,087736;24,173090;0,0001;0,0051;0,00;0,01;0,00;0,00;0,07;;0,000;0,000;0,0000000;20,94500;0,04800;0,01300;-0,0000249;;70,93;1,00;;;
Date of test;18.03.2026;2;20,93800;0,05800;0,048000;118,450;100,11;0,0100;0,000;101,416;19,800;0,000;338,550;339,850;25,30;1016,850;263,158;0,000;737,400;759,400;734,300;317,250;;;;;0,00;0,00;0,00;3,00;1,99;14,952;24,988;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;-0,03996785;-0,03996785;0,00251;-0,01488;0,0007;25,375431;0,000133;24,324085;24,417487;0,0000;0,0028;0,00;0,01;0,00;0,00;0,07;;0,000;0,000;0,0000000;20,94500;0,04800;0,01700;-0,0000756;;70,94;2,00;;;
Time of test;15:51;3;20,93600;0,05600;0,028000;114,575;100,11;0,0800;0,000;101,412;19,800;0,000;338,550;339,750;25,30;1014,950;263,158;0,000;732,300;759,100;734,000;317,350;;;;;0,00;0,00;0,00;3,00;1,99;14,947;25,002;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;-0,08668009;-0,08668009;0,00401;-0,00675;0,0007;24,956910;0,000045;23,922904;24,007699;0,0000;0,0009;0,00;0,01;0,00;0,00;-0,04;;0,000;0,000;0,0000000;20,94900;0,04800;0,02400;-0,0004059;;71,01;3,00;;;
Heat flux (kW/m²);50;4;20,93700;0,05500;0,030000;114,525;100,17;0,1600;0,000;101,408;19,800;0,000;338,450;339,650;25,30;1013,483;263,158;0,000;728,400;758,800;733,800;317,250;;;;;0,00;0,00;0,00;3,00;1,99;14,994;25,012;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,5202;;;-0,04088338;-0,04088338;-0,00215;-0,01431;0,0012;24,955150;-0,000516;23,914151;23,998941;-0,0001;-0,0108;0,00;0,01;0,00;0,00;0,02;;0,065;0,000;0,0052251;20,94700;0,04800;-0,00400;0,0000695;;71,09;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,93800;0,05300;0,029000;115,475;100,13;0,1600;0,000;101,416;19,800;0,000;338,450;339,650;25,30;1012,217;263,158;0,000;725,100;758,500;733,600;317,250;;;;;0,00;0,00;0,00;3,00;2,00;15,002;25,002;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,5217;;;0,00583903;0,00583903;-0,00194;0,03498;0,0017;25,058440;-0,000061;24,013132;24,098273;0,0000;-0,0013;0,00;0,01;0,00;0,00;0,02;;0,156;0,104;0,0052403;20,94700;0,04700;-0,00300;0,0000695;;71,09;5,00;;;
Sampling interval (s);1;6;20,94100;0,05100;0,002000;114,925;100,14;0,1600;0,000;101,416;19,800;0,000;338,350;339,550;25,30;1011,217;263,158;0,000;722,600;758,300;733,300;317,350;;;;;0,00;0,00;0,00;3,00;2,00;14,947;24,994;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,8059;;;0,00583903;0,00583903;-0,00259;0,03491;0,0025;25,002386;-0,000255;23,952337;24,037288;-0,0001;-0,0053;0,00;0,01;0,00;0,00;0,02;;0,241;0,104;0,0080948;20,94700;0,04700;-0,00600;0,0001074;;71,09;6,00;;;
Separation (mm);25;7;20,94000;0,05000;-0,026000;115,325;100,14;0,1500;0,000;101,412;19,800;0,000;338,350;339,550;25,30;1010,450;263,158;0,000;720,800;758,000;733,100;317,350;;;;;0,00;0,00;0,00;3,00;2,00;14,924;25,012;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,5199;;;0,00499471;0,00499471;-0,00216;0,04088;0,0040;25,045860;-0,000237;23,993985;24,079083;-0,0001;-0,0050;0,00;0,01;0,00;0,00;0,07;;0,373;0,366;0,0152672;20,94500;0,04700;-0,00400;0,0002029;;71,08;7,00;;;
Orientation;hor;8;20,94300;0,04900;-0,010000;112,275;100,16;0,1500;0,000;101,416;19,800;0,000;338,350;339,550;25,30;1009,683;263,158;0,000;718,900;757,800;732,900;317,350;;;;;0,00;0,00;0,00;3,00;2,00;15,002;25,010;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,1481;;;0,00507609;0,00507609;-0,00235;0,03969;0,0052;24,712446;-0,000430;23,674574;23,758539;-0,0001;-0,0089;0,00;0,01;0,00;0,00;0,04;;0,493;0,366;0,0115325;20,94600;0,04700;-0,00500;0,0001552;;71,08;8,00;;;
