General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,93400;0,05500;0,007000;115,550;100,13;0,0000;0,000;101,020;30,200;0,000;338,950;341,950;24,90;1139,883;263,183;0,000;860,100;881,600;858,500;319,950;;;;;0,00;0,00;0,00;3,00;1,81;15,463;24,107;0,61;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,5051;0,00000;0,0000;-0,00083415;-0,00083415;-0,00108;-1,03384;0,0005;24,872919;-0,000706;23,870563;24,081838;-0,0001;-0,0149;0,00;0,00;0,00;0,00;0,04;;;;0,0050533;20,93900;0,05100;0,00000;0,0000680;;73,44;0,00;;;
Standard used;ISO 5660-1;1;20,93300;0,05500;0,013000;114,825;100,12;0,0000;0,000;101,020;30,200;0,000;338,950;341,950;24,90;1139,750;263,183;0,000;860,000;881,500;858,300;319,950;;;;;0,00;0,00;0,00;3,00;1,81;15,482;24,091;0,61;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,5042;0,00000;0,0000;0,00417074;0,00417074;-0,00130;0,29705;0,0010;24,794766;-0,000676;23,795560;24,006171;-0,0001;-0,0142;0,00;0,00;0,00;0,00;0,04;;0,252;0,504;0,0050437;20,93900;0,05200;-0,00100;0,0000680;;73,44;1,00;;;
Date of test;17.03.2026;2;20,93100;0,05300;-0,040000;116,850;100,18;-0,0100;0,000;101,020;30,200;0,000;339,150;342,150;24,90;1137,083;263,183;0,000;852,200;881,400;858,200;319,950;;;;;0,00;0,00;0,00;3,00;1,81;15,467;24,099;0,61;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,01918538;0,01918538;0,00068;0,02525;0,0010;25,005068;-0,001187;24,011547;24,223944;-0,0003;-0,0252;0,00;0,00;0,00;0,00;0,04;;0,252;0,504;0,0000000;20,93900;0,05000;0,00800;-0,0000206;;73,43;2,00;;;
Time of test;15:37;3;20,93500;0,05300;-0,009000;110,350;100,13;-0,0300;0,000;101,020;30,200;0,000;339,250;342,350;24,90;1134,850;263,183;0,000;845,900;881,200;858,000;319,950;;;;;0,00;0,00;0,00;3,00;1,81;15,498;24,107;0,61;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;-0,00083415;-0,00083415;-0,00191;-1,00987;0,0010;24,296060;-0,000762;23,337588;23,550843;-0,0002;-0,0157;0,00;0,00;0,00;0,00;-0,01;;0,168;0,336;0,0000000;20,94100;0,05100;-0,00400;-0,0000022;;73,41;3,00;;;
Heat flux (kW/m²);75;4;20,93900;0,05200;-0,007000;117,325;100,15;-0,0100;0,000;101,022;30,200;0,000;339,350;342,350;24,90;1133,183;263,183;0,000;841,400;881,000;857,700;319,950;;;;;0,00;0,00;0,00;3,00;1,81;15,503;24,118;0,61;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;-0,01418050;-0,01418050;-0,00065;-0,06124;0,0010;25,048456;-0,000977;24,067395;24,280161;-0,0002;-0,0208;0,00;0,00;0,00;0,00;-0,01;;0,126;0,336;0,0000000;20,94100;0,05100;0,00200;-0,0000782;;73,43;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,93800;0,05200;-0,002000;116,600;100,12;-0,0100;0,000;101,014;30,200;0,000;339,350;342,350;24,90;1131,917;263,183;0,000;838,100;880,800;857,400;319,950;;;;;0,00;0,00;0,00;3,00;1,81;15,503;24,091;0,61;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00583903;0,00583903;0,00046;0,14827;0,0010;24,970944;-0,000602;23,992919;24,205026;-0,0001;-0,0128;0,00;0,00;0,00;0,00;-0,01;;0,101;0,202;0,0000000;20,94100;0,05100;0,00700;-0,0001415;;73,43;5,00;;;
Sampling interval (s);1;6;20,93700;0,05100;0,009000;118,250;100,12;-0,0200;0,000;101,012;30,200;0,000;339,350;342,350;24,90;1130,917;263,183;0,000;835,600;880,600;857,100;319,950;;;;;0,00;0,00;0,00;3,00;1,81;15,460;24,107;0,61;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,01751709;0,01751709;0,00490;0,04977;0,0010;25,147004;-0,000621;24,162083;24,375687;-0,0001;-0,0133;0,00;0,00;0,00;0,00;0,02;;0,084;0,202;0,0000000;20,94000;0,05100;0,02700;-0,0003343;;73,42;6,00;;;
Separation (mm);25;7;20,93800;0,05200;0,014000;115,675;100,14;-0,0400;0,000;101,022;30,200;0,000;339,250;342,350;24,90;1130,250;263,183;0,000;834,200;880,300;856,800;319,950;;;;;0,00;0,00;0,00;3,00;1,81;15,505;24,112;0,61;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,01084391;0,01084391;0,00221;0,07953;0,0010;24,875363;-0,000853;23,894038;24,112377;-0,0002;-0,0180;0,00;0,00;0,00;0,00;0,02;;0,072;0,144;0,0000000;20,94000;0,05100;0,01500;-0,0001823;;73,40;7,00;;;
Orientation;hor;8;20,94000;0,05100;0,024000;115,800;100,13;-0,0400;0,000;101,014;30,200;0,000;339,250;342,350;24,90;1129,650;263,183;0,000;832,900;880,100;856,500;319,950;;;;;0,00;0,00;0,00;3,00;1,82;15,498;24,110;0,61;0,61;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;-0,00166829;-0,00166829;0,00177;-0,28905;0,0010;24,888800;-0,000773;23,906945;24,125402;-0,0002;-0,0163;0,00;0,00;0,00;0,00;-0,01;;0,063;0,144;0,0000000;20,94100;0,05000;0,01300;-0,0002048;;73,40;8,00;;;
