General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
Edge frame?;N;9;20,94500;0,04900;-0,005000;112,450;100,02;-0,0101;0,000;101,060;35,600;0,005;322,050;323,650;27,00;842,117;263,190;0,000;566,200;584,600;556,100;313,050;;;;;0,00;0,00;0,00;3,00;2,47;15,832;27,122;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;3,0933;;;-0,00675456;-0,00675456;-0,00402;-0,13837;0,0112;25,822573;0,000075;23,546322;23,663304;0,0000;0,0015;0,00;0,01;0,00;0,00;0,12;;0,890;0,950;0,0310970;20,94800;0,04600;-0,01400;0,0004028;;71,21;9,00;;;
Grid?;N;10;20,94400;0,04900;-0,004000;116,600;100,01;0,0000;0,000;101,060;35,600;0,005;321,950;323,650;27,00;841,817;263,196;0,000;565,400;584,500;556,100;313,050;;;;;0,00;0,00;0,00;3,00;2,47;15,843;27,114;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,0909;0,00000;0,0000;-0,00675456;-0,00675456;-0,00061;-0,20047;0,0123;26,298835;0,000161;23,973156;24,099742;0,0000;0,0034;0,00;0,01;0,00;0,00;0,09;;1,010;0,950;0,0109667;20,94900;0,04700;0,00100;0,0001400;;71,22;10,00;;;
Non-scrubbed?;;11;20,94600;0,04800;-0,002000;114,200;100,02;0,0000;0,000;101,054;35,700;0,005;322,050;323,650;27,00;841,517;263,196;0,000;564,700;584,400;556,000;313,050;;;;;0,00;0,00;0,00;3,00;2,48;15,812;27,138;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00675456;0,00675456;0,00169;0,25728;0,0123;26,022729;0,000110;23,728835;23,846724;0,0000;0,0023;0,00;0,01;0,00;0,00;0,06;;0,968;1,058;0,0000000;20,95000;0,04800;0,01100;-0,0000597;;71,22;11,00;;;
Substrate used? {Y/N};;12;20,94800;0,04700;0,001000;114,700;100,01;-0,0101;0,000;101,060;35,700;0,005;322,050;323,650;27,00;841,350;263,196;0,000;564,200;584,400;556,000;313,050;;;;;0,00;0,00;0,00;3,00;2,48;15,786;27,149;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00591024;0,00591024;0,00307;0,22720;0,0123;26,079634;0,000196;23,780724;23,898870;0,0000;0,0041;0,00;0,02;0,00;0,00;0,06;;0,887;1,058;0,0000000;20,95000;0,04700;0,01700;-0,0001230;;71,21;12,00;;;
Substrate;;13;20,94900;0,04700;0,010000;114,800;100,00;-0,0101;0,000;101,060;35,700;0,005;321,950;323,650;27,00;841,217;263,196;0,000;563,800;584,400;556,000;313,050;;;;;0,00;0,00;0,00;3,00;2,48;15,780;27,116;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,5497;0,00000;0,0000;-0,00084432;-0,00084432;-0,00061;-1,59131;0,0138;26,095053;0,000352;23,787394;23,913000;0,0001;0,0073;0,00;0,03;0,00;0,00;0,12;;0,879;1,015;0,0155787;20,94800;0,04700;0,00100;0,0002004;;71,21;13,00;;;
Additional preparation details;;14;20,94800;0,04700;0,020000;119,950;100,01;-0,0101;0,000;101,064;35,700;0,005;321,950;323,650;27,00;840,883;263,196;0,000;562,800;584,500;555,900;313,050;;;;;0,00;0,00;0,00;3,00;2,48;15,782;27,146;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,6025;0,00000;0,0000;0,00000000;0,00000000;0,00056;Infinity;0,0144;26,673951;0,000197;24,315099;24,443491;0,0000;0,0042;0,00;0,03;0,00;0,00;0,09;;0,893;1,015;0,0060572;20,94900;0,04700;0,00600;0,0000767;;71,21;14,00;;;
;;15;20,94800;0,04700;0,016000;119,675;100,02;-0,0101;0,000;101,060;35,700;0,005;321,950;323,550;27,00;840,883;263,196;0,000;562,900;584,400;555,900;313,050;;;;;0,00;0,00;0,00;3,00;2,48;15,790;27,143;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,2998;0,00000;0,0000;0,00084432;0,00084432;0,00126;1,62475;0,0147;26,643357;0,000111;24,287210;24,407911;0,0000;0,0024;0,00;0,03;0,00;0,00;0,09;;0,863;1,003;0,0030139;20,94900;0,04700;0,00900;0,0000387;;71,21;15,00;;;
Specimen;;16;20,94900;0,04800;0,011000;118,725;100,03;-0,0101;0,000;101,052;35,700;0,005;321,950;323,550;27,00;841,017;263,196;0,000;563,100;584,600;555,900;313,050;;;;;0,00;0,00;0,00;3,00;2,48;15,841;27,119;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,3727;0,00000;0,0000;-0,00591024;-0,00591024;0,00219;-0,23118;0,0151;26,537396;-0,000009;24,190620;24,310841;0,0000;-0,0002;0,00;0,03;0,00;0,00;0,12;;0,830;1,003;0,0037467;20,94800;0,04700;0,01300;0,0000485;;71,21;16,00;;;
Sample description;PMMA_DE_6mm_q25_Al2O3_R1;17;20,94800;0,04800;0,010000;115,725;100,04;0,0000;0,000;101,054;35,700;0,005;321,950;323,650;27,00;841,017;263,196;0,000;563,200;584,500;555,900;313,050;;;;;0,00;0,00;0,00;3,00;2,48;15,786;27,154;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,4928;0,00000;0,0000;-0,00591024;-0,00591024;0,00078;-0,22824;0,0156;26,199971;-0,000129;23,883035;24,009145;0,0000;-0,0027;0,00;0,03;0,00;0,00;0,09;;0,807;0,931;0,0049543;20,94900;0,04700;0,00700;0,0000640;;71,22;17,00;;;
Material name/ID;PMMA_DE_6mm;18;20,94800;0,04700;-0,001000;119,175;100,05;0,0000;0,000;101,062;35,700;0,005;322,050;323,850;27,00;841,117;263,196;0,000;563,300;584,600;556,000;313,050;;;;;0,00;0,00;0,00;3,00;2,48;15,820;27,151;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,0058;0,00000;0,0000;0,00084432;0,00084432;-0,00249;1,13959;0,0176;26,583512;-0,000197;24,240185;24,375668;0,0000;-0,0042;0,00;0,03;0,00;0,00;0,09;;0,832;0,931;0,0201646;20,94900;0,04600;-0,00700;0,0002539;;71,22;18,00;;;
Specimen number;R1;19;20,94900;0,04600;-0,018000;118,875;100,05;0,0000;0,000;101,062;35,700;0,005;322,150;323,950;27,00;841,217;263,196;0,000;563,500;584,700;556,000;313,050;;;;;0,00;0,00;0,00;3,00;2,49;15,820;27,141;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,2269;0,00000;0,0000;0,00000000;0,00000000;-0,00179;Infinity;0,0188;26,545911;-0,000145;24,213414;24,348706;0,0000;-0,0031;0,00;0,03;0,00;0,00;0,07;;0,873;0,924;0,0123342;20,95000;0,04600;-0,00400;0,0001555;;71,22;19,00;;;
E (MJ/kg);13,10;20;20,95000;0,04700;-0,014000;117,500;100,04;0,0000;0,000;101,064;35,700;0,005;322,150;324,050;27,00;841,183;263,203;0,000;563,300;584,800;556,000;313,050;;;;;0,00;0,00;0,00;3,00;2,49;15,814;27,141;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00000000;0,00000000;0,00102;Infinity;0,0188;26,391939;-0,000042;24,072972;24,214951;0,0000;-0,0009;0,00;0,03;0,00;0,00;0,04;;0,860;0,924;0,0000000;20,95100;0,04500;0,00800;-0,0000441;;71,22;20,00;;;
Initial mass (g);71,22;21;20,94800;0,04800;0,001000;117,500;100,04;0,0000;0,000;101,064;35,700;0,005;322,150;324,050;27,00;841,083;263,203;0,000;563,000;584,800;556,000;313,050;;;;;0,00;0,00;0,00;3,00;2,49;15,807;27,151;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;-0,00084432;-0,00084432;0,00055;-0,65333;0,0188;26,391939;-0,000042;24,072972;24,214951;0,0000;-0,0009;0,00;0,03;0,00;0,00;0,04;;0,819;0,894;0,0000000;20,95100;0,04500;0,00600;-0,0000188;;71,22;21,00;;;
Thickness (mm);5,98;22;20,94900;0,04700;0,011000;114,000;100,03;0,0000;0,000;101,062;35,700;0,005;322,150;324,150;27,00;841,117;263,203;0,000;563,000;584,900;556,000;313,050;;;;;0,00;0,00;0,00;3,00;2,49;15,856;27,127;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00591024;0,00591024;0,00306;0,15920;0,0188;25,995897;0,000045;23,711728;23,858937;0,0000;0,0009;0,00;0,03;0,00;0,00;0,01;;0,782;0,894;0,0000000;20,95200;0,04600;0,01700;-0,0002311;;71,22;22,00;;;
Surface area (cm²);100,53;23;20,95000;0,04700;0,017000;114,500;100,05;-0,0101;0,000;101,062;35,700;0,005;322,150;324,150;27,00;841,183;263,203;0,000;563,200;584,900;556,000;313,050;;;;;0,00;0,00;0,00;3,00;2,49;15,849;27,146;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00591024;0,00591024;0,00422;0,15955;0,0188;26,052843;-0,000144;23,763671;23,911202;0,0000;-0,0030;0,00;0,03;0,00;0,00;0,06;;0,748;0,817;0,0000000;20,95000;0,04600;0,02200;-0,0001736;;71,21;23,00;;;
Sponsor;;24;20,95000;0,04700;0,001000;119,750;100,05;-0,0101;0,000;101,054;35,800;0,005;322,150;324,050;27,00;841,283;263,203;0,000;563,300;585,000;556,100;313,050;;;;;0,00;0,00;0,00;3,00;2,49;15,814;27,135;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00000000;0,00000000;0,00596;Infinity;0,0188;26,643430;-0,000212;24,302365;24,445698;0,0000;-0,0045;0,00;0,03;0,01;0,00;0,07;;0,717;0,817;0,0000000;20,95000;0,04500;0,02900;-0,0002496;;71,21;24,00;;;
Manufacturer;;25;20,94800;0,04700;0,006000;117,000;100,05;-0,0101;0,000;101,054;35,800;0,005;322,150;324,050;27,00;841,317;263,203;0,000;563,300;585,100;556,100;313,050;;;;;0,00;0,00;0,00;3,00;2,49;15,820;27,130;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;-0,00675456;-0,00675456;0,00334;-0,08149;0,0188;26,335726;-0,000194;24,021698;24,163375;0,0000;-0,0041;0,00;0,03;0,00;0,00;0,04;;0,688;0,751;0,0000000;20,95100;0,04500;0,01800;-0,0001707;;71,21;25,00;;;
Test start time (s);60;26;20,94900;0,04700;0,009000;113,850;100,04;0,0000;0,000;101,064;35,800;0,005;322,150;323,950;27,00;841,317;263,203;0,000;563,300;585,100;556,100;313,050;;;;;0,00;0,00;0,00;3,00;2,49;15,828;27,141;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00000000;0,00000000;0,00077;Infinity;0,0188;25,978788;-0,000125;23,696123;23,828524;0,0000;-0,0026;0,00;0,03;0,00;0,00;0,04;;0,661;0,751;0,0000000;20,95100;0,04500;0,00700;-0,0000314;;71,22;26,00;;;
Time to ignition (s);85;27;20,94900;0,04700;0,013000;116,550;100,07;-0,0101;0,000;101,054;35,800;0,005;322,150;323,950;27,00;841,350;263,203;0,000;563,100;585,300;556,200;313,050;;;;;0,00;0,00;0,00;3,00;2,50;15,828;27,141;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,8429;0,00000;0,0000;0,00675456;0,00675456;-0,00177;0,08134;0,0197;26,285032;-0,000348;23,975458;24,109420;-0,0001;-0,0073;0,00;0,03;0,00;0,00;0,04;;0,653;0,727;0,0084735;20,95100;0,04500;-0,00400;0,0001078;;71,21;27,00;;;
Time to flameout (s);511;28;20,94800;0,04600;0,007000;121,125;100,03;-0,0101;0,000;101,056;35,800;0,005;322,150;323,850;27,00;841,417;263,203;0,000;563,200;585,400;556,200;313,050;;;;;0,00;0,00;0,00;3,00;2,50;15,826;27,138;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,8593;0,00000;0,0000;-0,00084432;-0,00084432;-0,00180;-0,66333;0,0205;26,795956;0,000014;24,441490;24,570468;0,0000;0,0003;0,00;0,03;0,00;0,00;0,04;;0,660;0,727;0,0086382;20,95100;0,04500;-0,00400;0,0001078;;71,21;28,00;;;
End of test criteria;User end of test;29;20,94900;0,04600;-0,007000;114,825;100,03;-0,0101;0,000;101,054;35,800;0,005;322,150;323,950;27,00;841,517;263,203;0,000;563,500;585,400;556,200;313,050;;;;;0,00;0,00;0,00;3,00;2,50;15,812;27,143;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,0816;0,00000;0,0000;0,00000000;0,00000000;-0,00038;Infinity;0,0216;26,089791;0,000015;23,797372;23,930339;0,0000;0,0003;0,00;0,03;0,00;0,00;0,09;;0,670;0,743;0,0108729;20,94900;0,04600;0,00200;0,0001400;;71,21;29,00;;;
User EOT time (s);666;30;20,94900;0,04500;-0,004000;118,425;100,02;-0,0101;0,000;101,054;35,800;0,005;322,150;324,050;27,00;841,617;263,203;0,000;563,600;585,500;556,300;313,050;;;;;0,00;0,00;0,00;3,00;2,50;15,830;27,157;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,4988;0,00000;0,0000;0,00000000;0,00000000;-0,00132;Infinity;0,0231;26,495619;0,000067;24,167542;24,310079;0,0000;0,0014;0,00;0,04;0,00;0,00;0,09;;0,691;0,743;0,0150671;20,94900;0,04600;-0,00200;0,0001906;;71,21;30,00;;;
MLR EOT mass (g/m²);;31;20,95000;0,04500;0,008000;115,850;100,02;-0,0101;0,000;101,056;35,800;0,005;322,150;324,050;27,00;841,850;263,203;0,000;564,200;585,600;556,300;313,050;;;;;0,00;0,00;0,00;3,00;2,50;15,812;27,154;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;-0,00083415;-0,00083415;0,00263;-1,61757;0,0231;26,205979;0,000086;23,903351;24,044330;0,0000;0,0018;0,00;0,04;0,00;0,00;0,09;;0,693;0,730;0,0000000;20,94900;0,04700;0,01500;-0,0000372;;71,21;31,00;;;
MLR time period (s);;32;20,95100;0,04600;0,006000;119,925;100,03;-0,0101;0,000;101,052;35,800;0,005;322,250;324,150;27,00;841,950;263,203;0,000;564,200;585,800;556,400;313,050;;;;;0,00;0,00;0,00;3,00;2,50;15,833;27,143;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0978;0,00000;0,0000;0,00583903;0,00583903;0,00197;0,16525;0,0232;26,658754;0,000001;24,323890;24,467305;0,0000;0,0000;0,00;0,04;0,00;0,00;0,09;;0,673;0,730;0,0009832;20,94900;0,04600;0,01200;0,0000134;;71,21;32,00;;;
Truncate graphs at EOT;;33;20,95100;0,04600;0,017000;114,325;100,02;-0,0201;0,000;101,056;35,800;0,005;322,250;324,150;27,00;842,017;263,203;0,000;564,400;585,800;556,400;313,050;;;;;0,00;0,00;0,00;3,00;2,50;15,826;27,159;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,3656;0,00000;0,0000;0,00583903;0,00583903;0,00215;0,22952;0,0236;26,028886;0,000140;23,749189;23,889215;0,0000;0,0029;0,00;0,04;0,00;0,00;0,12;;0,659;0,697;0,0036749;20,94800;0,04700;0,01300;0,0000485;;71,20;33,00;;;
