General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,94700;0,04900;-0,004000;113,575;100,03;0,0000;0,000;101,052;35,600;0,005;322,150;323,750;27,00;849,250;263,190;0,000;585,200;585,900;557,200;313,050;;;;;0,00;0,00;0,00;3,00;2,46;15,835;27,130;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,6402;;;0,00000000;0,00000000;-0,00129;Infinity;0,0016;25,947394;0,000004;23,667487;23,785034;0,0000;0,0001;0,00;0,00;0,00;0,00;0,12;;;;0,0164892;20,94800;0,04900;-0,00200;0,0002130;;71,22;0,00;;;
Standard used;ISO 5660-1;1;20,94700;0,04900;0,015000;112,825;100,04;0,0000;0,000;101,052;35,600;0,005;322,050;323,750;27,00;849,183;263,190;0,000;585,300;585,700;557,100;313,050;;;;;0,00;0,00;0,00;3,00;2,46;15,812;27,130;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,9759;;;-0,00084432;-0,00084432;-0,00060;-2,04583;0,0026;25,865595;-0,000100;23,585552;23,710052;0,0000;-0,0021;0,00;0,00;0,00;0,00;0,09;;0,488;0,976;0,0098102;20,94900;0,04800;0,00100;0,0001273;;71,22;1,00;;;
Date of test;02.07.2026;2;20,94400;0,04800;-0,001000;116,525;100,04;0,0000;0,000;101,052;35,700;0,005;322,050;323,650;27,00;847,550;263,190;0,000;580,700;585,500;557,000;313,050;;;;;0,00;0,00;0,00;3,00;2,46;15,807;27,127;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,6672;;;0,00758870;0,00758870;0,00148;0,17835;0,0033;26,286293;-0,000048;23,969166;24,088248;0,0000;-0,0010;0,00;0,00;0,00;0,00;0,12;;0,655;0,976;0,0067071;20,94800;0,04700;0,01000;0,0000865;;71,22;2,00;;;
Time of test;11:01;3;20,94600;0,05000;0,006000;114,425;100,05;-0,0101;0,000;101,060;35,600;0,005;322,050;323,750;27,00;846,117;263,190;0,000;576,700;585,400;556,800;313,050;;;;;0,00;0,00;0,00;3,00;2,47;15,839;27,108;0,59;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;-0,00583903;-0,00583903;0,00376;-0,22969;0,0033;26,048351;-0,000202;23,752198;23,877579;0,0000;-0,0042;0,00;0,00;0,00;0,00;0,12;;0,548;0,651;0,0000000;20,94800;0,04700;0,02000;-0,0000401;;71,21;3,00;;;
Heat flux (kW/m²);25;4;20,94400;0,05000;0,003000;116,050;100,02;0,0100;0,000;101,052;35,600;0,005;322,050;323,650;27,00;845,050;263,190;0,000;573,800;585,200;556,700;313,050;;;;;0,00;0,00;0,00;3,00;2,47;15,856;27,130;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;-0,01259359;-0,01259359;0,00286;-0,10725;0,0033;26,232661;0,000125;23,920262;24,039102;0,0000;0,0026;0,00;0,00;0,00;0,00;0,09;;0,411;0,651;0,0000000;20,94900;0,04700;0,01600;-0,0000499;;71,23;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,94500;0,05100;0,021000;118,825;100,02;0,0100;0,000;101,052;35,600;0,005;322,050;323,650;27,00;844,183;263,190;0,000;571,400;585,100;556,600;313,050;;;;;0,00;0,00;0,00;3,00;2,47;15,751;27,119;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,5734;;;0,00084432;0,00084432;0,00172;1,61872;0,0039;26,544448;0,000125;24,204564;24,324817;0,0000;0,0027;0,00;0,01;0,00;0,00;0,12;;0,386;0,505;0,0057645;20,94800;0,04700;0,01100;0,0000738;;71,23;5,00;;;
Sampling interval (s);1;6;20,94500;0,05000;0,011000;120,475;100,03;0,0100;0,000;101,060;35,600;0,005;322,050;323,650;27,00;843,450;263,190;0,000;569,700;584,800;556,400;313,050;;;;;0,00;0,00;0,00;3,00;2,47;15,856;27,119;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,5781;;;0,00499471;0,00499471;0,00150;0,35737;0,0044;26,728110;-0,000029;24,372037;24,493121;0,0000;-0,0006;0,00;0,01;0,00;0,00;0,12;;0,418;0,505;0,0058113;20,94800;0,04800;0,01000;0,0000738;;71,23;6,00;;;
Separation (mm);25;7;20,94300;0,05000;0,009000;114,300;100,05;0,0000;0,000;101,052;35,600;0,005;322,050;323,650;27,00;842,917;263,190;0,000;568,300;584,700;556,300;313,050;;;;;0,00;0,00;0,00;3,00;2,47;15,824;27,119;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,1789;;;0,01174927;0,01174927;-0,00106;0,14797;0,0056;26,034120;-0,000218;23,739222;23,857163;0,0000;-0,0045;0,00;0,01;0,00;0,00;0,09;;0,483;0,611;0,0118518;20,94900;0,04800;-0,00100;0,0001526;;71,22;7,00;;;
Orientation;hor;8;20,94400;0,04900;0,000000;114,950;100,02;-0,0101;0,000;101,060;35,600;0,005;322,050;323,650;27,00;842,483;263,190;0,000;567,200;584,600;556,200;313,050;;;;;0,00;0,00;0,00;3,00;2,47;15,820;27,132;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,4893;;;0,00592041;0,00592041;-0,00498;0,22705;0,0081;26,108039;0,000109;23,806625;23,924901;0,0000;0,0023;0,00;0,01;0,00;0,00;0,06;;0,652;0,611;0,0250250;20,95000;0,04700;-0,01800;0,0003200;;71,21;8,00;;;
