General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
Edge frame?;N;9;20,92700;0,05400;0,003000;120,050;100,08;-0,0400;0,000;101,414;20,600;0,000;331,650;334,050;25,20;1008,517;263,177;0,000;716,000;758,300;731,800;315,950;;;;;0,00;0,00;0,00;3,00;1,71;14,813;24,700;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,6190;0,00000;0,0000;0,00000000;0,00000000;-0,00460;Infinity;0,0052;25,810617;-0,000528;24,236988;24,412381;-0,0001;-0,0114;0,00;0,00;0,00;0,00;-0,04;;0,191;0,284;0,0061684;20,94100;0,04700;-0,01400;0,0000785;;73,15;9,00;;;
Grid?;N;10;20,92800;0,05200;-0,004000;117,525;100,12;-0,0400;0,000;101,414;20,600;0,000;331,650;334,050;25,30;1008,050;263,177;0,000;714,900;758,200;731,600;315,950;;;;;0,00;0,00;0,00;3,00;1,71;14,815;24,727;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,4677;0,00000;0,0000;0,00000000;0,00000000;-0,00546;Infinity;0,0067;25,537737;-0,000877;23,980746;24,154284;-0,0002;-0,0187;0,00;0,00;-0,01;0,00;-0,01;;0,276;0,284;0,0146260;20,94000;0,04700;-0,01800;0,0001895;;73,15;10,00;;;
Non-scrubbed?;;11;20,93200;0,05000;-0,012000;116,700;100,10;-0,0400;0,000;101,414;20,600;0,000;331,550;334,050;25,30;1007,717;263,177;0,000;714,100;758,100;731,500;315,950;;;;;0,00;0,00;0,00;3,00;1,71;14,836;24,727;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;3,0955;0,00000;0,0000;-0,00083415;-0,00083415;-0,00835;-0,76173;0,0098;25,451782;-0,000720;23,892825;24,072985;-0,0002;-0,0153;0,00;0,00;-0,01;0,00;0,01;;0,459;0,570;0,0308463;20,93900;0,04800;-0,03100;0,0004017;;73,15;11,00;;;
Substrate used? {Y/N};;12;20,93400;0,04900;-0,004000;118,325;100,08;-0,0400;0,000;101,414;20,600;0,000;331,550;333,950;25,20;1007,517;263,177;0,000;713,700;758,000;731,400;315,950;;;;;0,00;0,00;0,00;3,00;1,71;14,786;24,727;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00500488;0,00500488;-0,00209;0,12784;0,0098;25,628373;-0,000493;24,058599;24,232753;-0,0001;-0,0105;0,00;0,00;0,00;0,00;-0,01;;0,549;0,570;0,0000000;20,94000;0,04800;-0,00300;-0,0000129;;73,15;12,00;;;
Substrate;;13;20,93800;0,04800;0,001000;118,850;100,07;-0,0500;0,000;101,414;20,600;0,000;331,550;333,950;25,20;1007,350;263,177;0,000;713,400;757,900;731,300;315,950;;;;;0,00;0,00;0,00;3,00;1,71;14,809;24,740;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,4680;0,00000;0,0000;0,01167806;0,01167806;-0,00254;0,08853;0,0102;25,685165;-0,000354;24,111913;24,286452;-0,0001;-0,0076;0,00;0,00;0,00;0,00;0,01;;0,525;0,756;0,0046641;20,93900;0,04900;-0,00500;0,0000602;;73,14;13,00;;;
Additional preparation details;;14;20,93800;0,04700;0,003000;114,650;100,08;-0,0601;0,000;101,414;20,600;0,000;331,550;333,950;25,20;1007,317;263,177;0,000;713,300;757,900;731,300;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,826;24,745;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00500488;0,00500488;0,00284;0,20288;0,0102;25,227244;-0,000458;23,682040;23,853468;-0,0001;-0,0096;0,00;0,00;0,00;0,00;0,04;;0,504;0,756;0,0000000;20,93800;0,04900;0,01900;-0,0001832;;73,13;14,00;;;
;;15;20,93800;0,04600;0,014000;116,500;100,10;-0,0601;0,000;101,406;20,600;0,000;331,550;333,850;25,20;1007,250;263,177;0,000;713,100;757,900;731,300;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,809;24,732;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;-0,00083415;-0,00083415;0,00197;-1,22704;0,0102;25,429964;-0,000667;23,872343;24,037948;-0,0001;-0,0141;0,00;0,00;0,00;0,00;0,04;;0,471;0,687;0,0000000;20,93800;0,04900;0,01500;-0,0001326;;73,13;15,00;;;
Specimen;;16;20,94100;0,04700;0,021000;113,125;100,09;-0,0601;0,000;101,418;20,600;0,000;331,450;333,850;25,20;1007,250;263,177;0,000;713,000;758,000;731,300;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,800;24,697;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00000000;0,00000000;0,00172;Infinity;0,0102;25,062683;-0,000615;23,520463;23,690772;-0,0001;-0,0128;0,00;0,00;0,00;0,00;0,01;;0,441;0,687;0,0000000;20,93900;0,04900;0,01400;-0,0001803;;73,13;16,00;;;
Sample description;PMMA_DE_6mm_q50_R14;17;20,94200;0,04600;0,015000;113,200;100,10;-0,0601;0,000;101,414;20,600;0,000;331,450;333,850;25,20;1007,250;263,177;0,000;712,900;758,100;731,300;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,815;24,740;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00000000;0,00000000;0,00083;Infinity;0,0102;25,070991;-0,000702;23,528259;23,698625;-0,0001;-0,0146;0,00;0,00;0,00;0,00;0,01;;0,415;0,606;0,0000000;20,93900;0,05000;0,01000;-0,0001424;;73,13;17,00;;;
Material name/ID;PMMA_DE_6mm;18;20,94200;0,04700;0,003000;119,475;100,09;-0,0601;0,000;101,414;20,600;0,000;331,450;333,850;25,20;1007,350;263,177;0,000;713,100;758,200;731,300;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,838;24,724;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;-0,00083415;-0,00083415;0,00017;-1,71475;0,0102;25,756497;-0,000562;24,171583;24,346607;-0,0001;-0,0121;0,00;0,00;0,00;0,00;0,01;;0,392;0,606;0,0000000;20,93900;0,05000;0,00700;-0,0001044;;73,13;18,00;;;
Specimen number;R14;19;20,94100;0,04700;-0,004000;118,150;100,06;-0,0601;0,000;101,414;20,700;0,000;331,450;333,850;25,20;1007,450;263,177;0,000;713,200;758,300;731,400;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,830;24,721;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00583903;0,00583903;-0,00096;0,24360;0,0102;25,613277;-0,000318;24,037176;24,211227;-0,0001;-0,0068;0,00;0,00;0,00;0,00;0,01;;0,372;0,542;0,0000000;20,93900;0,05000;0,00200;-0,0000411;;73,13;19,00;;;
E (MJ/kg);13,10;20;20,94000;0,04700;-0,014000;117,750;100,07;-0,0701;0,000;101,414;20,700;0,000;331,450;333,850;25,20;1007,583;263,177;0,000;713,500;758,400;731,400;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,815;24,745;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00583903;0,00583903;-0,00118;0,24319;0,0102;25,569884;-0,000370;23,996452;24,170209;-0,0001;-0,0079;0,00;0,00;0,00;0,00;-0,01;;0,353;0,542;0,0000000;20,94000;0,05000;0,00100;-0,0000889;;73,12;20,00;;;
Initial mass (g);73,19;21;20,94100;0,04800;-0,018000;117,850;100,06;-0,0701;0,000;101,414;20,700;0,000;331,350;333,750;25,20;1007,717;263,177;0,000;713,700;758,500;731,500;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,823;24,732;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,1741;0,00000;0,0000;-0,00083415;-0,00083415;-0,00253;-2,64090;0,0104;25,584598;-0,000300;24,003017;24,176873;-0,0001;-0,0064;0,00;0,00;0,00;0,00;0,01;;0,340;0,499;0,0017345;20,93900;0,05200;-0,00500;0,0000222;;73,12;21,00;;;
Thickness (mm);6,15;22;20,94000;0,04800;-0,031000;120,775;100,02;-0,0701;0,000;101,418;20,700;0,000;331,350;333,750;25,20;1007,850;263,177;0,000;713,900;758,700;731,500;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,823;24,713;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,4369;0,00000;0,0000;-0,00082397;-0,00082397;-0,00142;-9,91307;0,0128;25,900153;0,000154;24,299066;24,475066;0,0000;0,0033;0,00;0,00;0,00;0,01;0,27;;0,384;0,499;0,0242838;20,93000;0,06700;0,00000;0,0003128;;73,12;22,00;;;
Surface area (cm²);99,65;23;20,93900;0,04900;-0,003000;121,625;100,04;-0,0701;0,000;101,406;20,700;0,000;331,350;333,750;25,20;1007,917;263,177;0,000;713,900;758,800;731,600;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,802;24,732;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;10,8874;0,00000;0,0000;0,00493368;0,00493368;-0,00074;4,15753;0,0237;25,991134;-0,000073;24,384423;24,561041;0,0000;-0,0016;0,00;0,00;0,00;0,02;0,99;;0,657;0,936;0,1084931;20,90500;0,09800;0,00300;0,0013932;;73,12;23,00;;;
Sponsor;;24;20,94000;0,04900;-0,005000;120,175;100,04;-0,0800;0,000;101,414;20,700;0,000;331,350;333,650;25,20;1008,117;263,177;0,000;714,200;759,000;731,700;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,872;24,721;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;28,9692;0,00000;0,0000;0,00910441;0,00910441;0,00109;5,27560;0,0527;25,835738;-0,000055;24,238632;24,406880;0,0000;-0,0012;0,00;0,00;0,00;0,05;2,56;;1,460;0,936;0,2886781;20,85000;0,16800;0,01100;0,0037304;;73,11;24,00;;;
Manufacturer;;25;20,93900;0,04900;0,019000;118,075;100,01;-0,0900;0,000;101,418;20,700;0,000;331,350;333,750;25,20;1008,217;263,177;0,000;714,300;759,100;731,800;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,844;24,732;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;64,5605;0,00000;2,0884;0,01919556;0,01919556;0,00220;4,31545;0,1173;25,609009;0,000189;24,025919;24,199941;0,0000;0,0040;0,00;0,01;0,00;0,08;5,30;;3,272;3,879;0,6433450;20,75300;0,25800;0,01600;0,0083904;;73,10;25,00;;;
Test start time (s);60;26;20,93800;0,04900;0,015000;113,500;100,03;-0,1200;0,000;101,414;20,700;0,000;331,550;333,950;25,20;1008,517;263,177;0,000;715,000;759,300;731,800;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,823;24,727;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;114,0765;33,22903;-0,1219;0,03421021;0,03421021;0,00282;4,02185;0,2313;25,100404;-0,000020;23,562969;23,733535;0,0000;-0,0004;0,00;0,01;0,00;0,14;9,17;;6,582;3,879;1,1367719;20,61000;0,40500;0,01900;0,0151359;;73,07;26,00;;;
Time to ignition (s);24;27;20,93800;0,05000;0,014000;110,100;99,58;-0,1600;0,000;101,406;20,700;0,000;332,150;334,650;25,20;1009,017;263,177;0,000;716,100;759,500;732,000;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,838;24,735;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;178,9619;33,97499;17,5032;0,05249023;0,05249023;0,00082;3,55744;0,4103;24,699253;0,004475;23,228349;23,403183;0,0009;0,0922;0,00;0,10;0,00;0,19;13,84;;11,765;12,611;1,7833552;20,43400;0,54100;0,01000;0,0241517;;73,03;27,00;;;
Time to flameout (s);279;28;20,93900;0,05000;0,010000;110,200;95,99;-0,2300;0,000;101,414;20,700;0,000;333,050;335,850;25,20;1009,650;263,177;0,000;717,700;759,700;732,100;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,887;24,721;0,58;0,55;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;247,7423;32,93814;113,1697;0,07495117;0,07495117;-0,00114;3,35467;0,6580;24,677058;0,041207;23,270359;23,465997;0,0085;0,8512;0,01;0,95;0,00;0,25;19,00;;18,964;12,611;2,4687521;20,24500;0,71300;0,00100;0,0334956;;72,96;28,00;;;
End of test criteria;User end of test;29;20,93900;0,05000;0,007000;106,975;94,35;-0,3400;0,000;101,414;20,700;0,000;334,650;337,950;25,20;1010,283;263,177;0,000;719,300;759,900;732,200;315,950;;;;;0,00;0,00;0,00;3,00;1,72;14,866;24,732;0,58;0,54;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;296,7723;12,58192;50,5992;0,23504639;0,23504639;-0,00326;1,25490;0,9548;24,255098;0,058418;22,982334;23,208964;0,0119;1,1935;0,02;2,14;0,00;0,29;22,63;;27,698;28,146;2,9573358;20,09800;0,84200;-0,00900;0,0408532;;72,85;29,00;;;
User EOT time (s);326;30;20,93900;0,05000;0,002000;101,050;95,23;-0,6600;0,000;101,414;20,700;0,000;336,750;340,850;25,20;1010,817;263,177;0,000;720,600;760,100;732,300;315,950;;;;;0,00;0,00;0,00;3,00;1,73;14,851;24,732;0,58;0,55;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;345,9504;14,62068;41,4876;0,23578898;0,23578898;-0,00316;1,41917;1,3008;23,500205;0,049171;22,406784;22,679591;0,0098;0,9817;0,03;3,13;0,00;0,33;26,28;;37,487;28,146;3,4473956;19,93100;0,97800;-0,00900;0,0491958;;72,53;30,00;;;
MLR EOT mass (g/m²);;31;20,93900;0,05200;0,001000;101,750;94,74;-0,7799;0,000;101,406;20,700;0,000;339,450;344,550;25,20;1011,283;263,177;0,000;721,700;760,300;732,400;315,950;;;;;0,00;0,00;0,00;3,00;1,73;14,882;24,721;0,58;0,54;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;397,2606;35,18910;97,1813;0,11249797;0,11249797;-0,00398;3,24729;1,6980;23,487489;0,054393;22,574216;22,913378;0,0109;1,0971;0,04;4,22;0,00;0,37;29,91;;48,265;48,719;3,9587021;19,79100;1,06400;-0,01300;0,0565663;;72,41;31,00;;;
MLR time period (s);;32;20,94000;0,06700;-0,005000;101,475;93,88;-0,9200;0,000;101,406;20,700;0,000;342,350;348,850;25,20;1011,683;263,177;0,000;722,600;760,500;732,500;315,950;;;;;0,00;0,00;0,00;3,00;1,73;14,861;24,748;0,58;0,54;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;430,2555;32,74378;98,0305;0,13094076;0,13094076;-0,00252;2,99783;2,1283;23,356172;0,063431;22,639783;23,069632;0,0128;1,2881;0,05;5,51;0,00;0,39;32,41;;59,687;48,719;4,2874956;19,68800;1,14600;-0,00600;0,0616422;;72,27;32,00;;;
Truncate graphs at EOT;;33;20,93900;0,09800;0,000000;99,300;93,65;-1,0701;0,000;101,406;20,700;0,000;345,450;353,450;25,20;1012,050;263,177;0,000;723,400;760,700;732,600;315,950;;;;;0,00;0,00;0,00;3,00;1,73;14,866;24,724;0,58;0,54;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;449,9609;17,19183;51,0233;0,26081340;0,26081340;-0,00025;1,55086;2,5782;23,000608;0,065908;22,497009;23,017999;0,0133;1,3354;0,07;6,85;0,00;0,40;33,88;;71,215;71,439;4,4838600;19,61100;1,19700;0,00500;0,0654892;;72,12;33,00;;;
