General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,93300;0,06100;-0,017000;116,875;100,08;0,0000;0,000;101,418;20,700;0,000;331,950;334,450;25,20;1019,317;263,177;0,000;743,600;761,100;733,800;315,950;;;;;0,00;0,00;0,00;3,00;1,71;14,796;24,724;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;3,1682;0,00000;0,0000;-0,00083415;-0,00083415;-0,00409;-2,62757;0,0032;25,455508;-0,000478;23,925152;24,105338;-0,0001;-0,0101;0,00;0,00;0,00;0,00;0,16;;;;0,0315709;20,93400;0,05200;-0,01200;0,0004128;;73,19;0,00;;;
Standard used;ISO 5660-1;1;20,93000;0,06200;-0,015000;115,975;100,08;0,0000;0,000;101,416;20,700;0,000;331,950;334,450;25,20;1019,083;263,170;0,000;743,400;760,800;733,600;315,950;;;;;0,00;0,00;0,00;3,00;1,71;14,802;24,727;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,7291;0,00000;0,0000;0,00333659;0,00333659;-0,00229;0,42204;0,0039;25,357308;-0,000530;23,832856;24,012348;-0,0001;-0,0112;0,00;0,00;0,00;0,00;0,04;;0,365;0,729;0,0072657;20,93800;0,05000;-0,00400;0,0000953;;73,19;1,00;;;
Date of test;18.03.2026;2;20,92800;0,06500;0,014000;117,650;100,11;-0,0100;0,000;101,416;20,700;0,000;331,950;334,450;25,20;1016,917;263,177;0,000;737,500;760,400;733,400;315,950;;;;;0,00;0,00;0,00;3,00;1,71;14,815;24,724;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,3422;0,00000;0,0000;0,02335612;0,02335612;-0,00118;0,04401;0,0042;25,539767;-0,000739;24,004345;24,185128;-0,0002;-0,0157;0,00;0,00;0,00;0,00;0,04;;0,450;0,729;0,0034103;20,93800;0,04900;0,00100;0,0000446;;73,18;2,00;;;
Time of test;15:38;3;20,92600;0,06500;0,019000;113,375;100,12;-0,0400;0,000;101,412;20,700;0,000;331,850;334,350;25,20;1014,717;263,177;0,000;731,400;760,100;733,200;315,950;;;;;0,00;0,00;0,00;3,00;1,71;14,794;24,705;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,2393;0,00000;0,0000;0,01668294;0,01668294;-0,00071;0,03752;0,0045;25,075236;-0,000878;23,560642;23,738137;-0,0002;-0,0184;0,00;0,00;0,00;0,00;0,04;;0,397;0,566;0,0023842;20,93800;0,04800;0,00300;0,0000320;;73,15;3,00;;;
Heat flux (kW/m²);50;4;20,92500;0,06400;-0,003000;122,075;100,06;-0,0400;0,000;101,414;20,700;0,000;331,850;334,350;25,20;1012,950;263,177;0,000;726,800;759,700;732,900;315,950;;;;;0,00;0,00;0,00;3,00;1,71;14,758;24,727;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;-0,00250244;-0,00250244;0,00178;-0,10065;0,0045;26,019548;-0,000251;24,447916;24,632095;-0,0001;-0,0054;0,00;0,00;0,00;0,00;-0,04;;0,328;0,566;0,0000000;20,94100;0,04700;0,01400;-0,0002759;;73,15;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,92200;0,06400;0,018000;118,375;100,09;-0,0400;0,000;101,418;20,600;0,000;331,750;334,250;25,20;1011,683;263,177;0,000;723,500;759,400;732,700;315,950;;;;;0,00;0,00;0,00;3,00;1,71;14,796;24,732;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00000000;0,00000000;0,00334;-Infinity;0,0045;25,626059;-0,000564;24,070938;24,252332;-0,0001;-0,0121;0,00;0,00;0,00;0,00;-0,07;;0,262;0,387;0,0000000;20,94200;0,04600;0,02100;-0,0004123;;73,15;5,00;;;
Sampling interval (s);1;6;20,92200;0,06200;0,019000;113,575;100,11;-0,0400;0,000;101,412;20,600;0,000;331,750;334,150;25,20;1010,617;263,177;0,000;720,900;759,100;732,400;315,950;;;;;0,00;0,00;0,00;3,00;1,71;14,792;24,695;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00000000;0,00000000;0,00194;Infinity;0,0045;25,101126;-0,000826;23,577861;23,748432;-0,0002;-0,0173;0,00;0,00;0,00;0,00;-0,07;;0,218;0,387;0,0000000;20,94200;0,04700;0,01500;-0,0003490;;73,15;6,00;;;
Separation (mm);25;7;20,92200;0,06000;0,017000;119,175;100,08;-0,0400;0,000;101,416;20,600;0,000;331,750;334,150;25,20;1009,683;263,177;0,000;718,600;758,800;732,200;315,950;;;;;0,00;0,00;0,00;3,00;1,71;14,786;24,724;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00000000;0,00000000;-0,00073;-Infinity;0,0045;25,712506;-0,000460;24,152139;24,326865;-0,0001;-0,0098;0,00;0,00;0,00;0,00;-0,04;;0,187;0,277;0,0000000;20,94100;0,04600;0,00300;-0,0001240;;73,15;7,00;;;
Orientation;hor;8;20,92400;0,05600;0,000000;119,075;100,10;-0,0400;0,000;101,414;20,600;0,000;331,650;334,150;25,20;1008,950;263,177;0,000;716,800;758,600;732,000;315,950;;;;;0,00;0,00;0,00;3,00;1,71;14,794;24,705;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0985;0,00000;0,0000;0,00000000;0,00000000;-0,00232;Infinity;0,0046;25,705591;-0,000721;24,138366;24,320323;-0,0002;-0,0154;0,00;0,00;0,00;0,00;-0,01;;0,170;0,277;0,0009819;20,94000;0,04700;-0,00400;0,0000124;;73,15;8,00;;;
