General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,93300;0,05800;-0,003000;113,325;99,96;0,0000;0,000;101,068;32,200;0,000;324,250;325,650;28,70;846,683;263,190;0,000;573,800;587,400;559,400;313,650;;;;;0,00;0,00;0,00;3,00;4,98;14,948;28,396;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;0,00283;Infinity;0,0000;25,834753;0,000241;23,718355;23,820763;0,0001;0,0050;0,00;0,01;0,00;0,00;0,13;;;;0,0000000;20,94300;0,04900;0,02100;-0,0000271;;71,69;0,00;;;
Standard used;ISO 5660-1;1;20,93300;0,05800;0,014000;116,925;99,97;0,0000;0,000;101,076;32,200;0,000;324,250;325,650;28,70;846,717;263,190;0,000;573,900;587,400;559,400;313,650;;;;;0,00;0,00;0,00;3,00;4,98;14,939;28,414;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00166829;0,00166829;0,00287;0,61746;0,0000;26,241892;0,000137;24,092141;24,196163;0,0000;0,0029;0,00;0,01;0,00;0,00;0,11;;0,000;0,000;0,0000000;20,94400;0,04800;0,02100;-0,0000748;;71,69;1,00;;;
Date of test;02.07.2026;2;20,93900;0,05600;-0,011000;117,100;99,98;0,0000;0,000;101,068;32,200;0,000;324,250;325,650;28,70;846,083;263,196;0,000;571,900;587,500;559,400;313,750;;;;;0,00;0,00;0,00;3,00;4,99;14,960;28,404;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;-0,00835164;-0,00835164;0,00079;-0,07534;0,0000;26,261523;0,000032;24,110164;24,214263;0,0000;0,0007;0,00;0,01;0,00;0,00;0,05;;0,000;0,000;0,0000000;20,94600;0,04700;0,01200;-0,0000691;;71,69;2,00;;;
Time of test;14:06;3;20,93500;0,05700;0,023000;116,600;99,97;0,0200;0,000;101,076;32,200;0,000;324,250;325,550;28,70;845,483;263,190;0,000;570,200;587,400;559,400;313,750;;;;;0,00;0,00;0,00;3,00;4,99;14,948;28,401;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;-0,03496297;-0,03496297;0,00032;-0,00650;0,0000;26,205396;0,000172;24,058635;24,155092;0,0000;0,0036;0,00;0,01;0,00;0,00;-0,01;;0,000;0,000;0,0000000;20,94800;0,04600;0,01000;-0,0001519;;71,71;3,00;;;
Heat flux (kW/m²);25;4;20,93400;0,05600;0,003000;115,950;99,96;0,0599;0,000;101,076;32,200;0,000;324,150;325,450;28,70;845,117;263,196;0,000;569,000;587,500;559,400;313,750;;;;;0,00;0,00;0,00;3,00;4,99;14,981;28,414;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,1747;;;-0,02161662;-0,02161662;-0,00198;-0,02897;0,0002;26,136282;0,000225;23,987783;24,083985;0,0000;0,0047;0,00;0,02;0,00;0,00;0,02;;0,022;0,000;0,0017490;20,94700;0,04700;0,00000;0,0000224;;71,75;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,93400;0,05500;0,001000;118,425;99,98;0,0599;0,000;101,076;32,200;0,000;324,150;325,350;28,70;844,783;263,196;0,000;568,200;587,300;559,400;313,750;;;;;0,00;0,00;0,00;3,00;4,99;14,924;28,425;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,8030;;;0,00249227;0,00249227;-0,00433;0,09185;0,0010;26,413754;0,000086;24,242445;24,332191;0,0000;0,0018;0,00;0,02;0,00;0,00;-0,01;;0,115;0,161;0,0080415;20,94800;0,04600;-0,01000;0,0001013;;71,75;5,00;;;
Sampling interval (s);1;6;20,93600;0,05300;-0,007000;115,375;99,98;0,0599;0,000;101,068;32,200;0,000;324,050;325,350;28,70;844,483;263,196;0,000;567,400;587,300;559,300;313,750;;;;;0,00;0,00;0,00;3,00;4,99;14,987;28,398;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,4592;;;0,00583903;0,00583903;-0,00474;0,03870;0,0024;26,075418;0,000087;23,924539;24,020518;0,0000;0,0018;0,00;0,02;0,00;0,00;0,02;;0,285;0,161;0,0146128;20,94700;0,04600;-0,01200;0,0001870;;71,75;6,00;;;
Separation (mm);25;7;20,93700;0,05200;-0,003000;110,325;99,98;0,0499;0,000;101,072;32,200;0,000;323,950;325,150;28,70;844,283;263,190;0,000;566,700;587,400;559,300;313,750;;;;;0,00;0,00;0,00;3,00;4,99;14,960;28,412;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,5245;;;0,00583903;0,00583903;-0,00508;0,10465;0,0040;25,502303;0,000088;23,391478;23,478126;0,0000;0,0018;0,00;0,02;-0,01;0,00;0,02;;0,457;0,447;0,0152665;20,94700;0,04700;-0,01400;0,0001996;;71,74;7,00;;;
Orientation;hor;8;20,93900;0,05100;0,000000;118,900;99,98;0,0499;0,000;101,076;32,200;0,000;324,050;325,350;28,70;844,250;263,190;0,000;566,700;587,300;559,300;313,750;;;;;0,00;0,00;0,00;3,00;4,99;14,956;28,398;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,6521;;;0,00000000;0,00000000;-0,00177;Infinity;0,0046;26,470757;0,000071;24,287268;24,384701;0,0000;0,0015;0,00;0,02;0,00;0,00;0,05;;0,536;0,447;0,0065304;20,94600;0,04600;0,00100;0,0000828;;71,74;8,00;;;
