General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
Sample description;PMMA_DE_6mm_q75_R9;17;20,95500;0,04800;0,000000;103,400;95,17;-0,4900;0,000;100,992;27,500;0,000;342,850;345,650;25,10;1127,317;263,170;0,000;828,100;877,700;856,700;324,750;;;;;0,00;0,00;0,00;3,00;2,21;15,204;24,644;0,57;0,54;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;419,0648;16,21041;39,0361;0,25998942;0,25998942;0,00387;1,62024;1,1341;23,394716;0,050533;22,710265;22,895736;0,0101;1,0091;0,01;1,42;0,00;0,42;32,30;;54,386;55,396;4,2145351;19,70100;1,22500;0,02400;0,0605647;;71,30;17,00;;;
Material name/ID;PMMA_DE_6mm;18;20,95500;0,04800;0,012000;94,575;92,97;-0,6401;0,000;100,992;27,500;0,000;345,250;348,450;25,10;1127,783;263,177;0,000;829,400;877,800;856,700;324,750;;;;;0,00;0,00;0,00;3,00;2,21;15,158;24,638;0,57;0,53;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;486,9499;33,00108;96,1076;0,14839681;0,14839681;0,00428;3,09155;1,6211;22,296204;0,073912;21,795402;21,997416;0,0143;1,4181;0,03;2,84;0,00;0,46;37,14;;76,532;55,396;4,8972551;19,44200;1,39300;0,02700;0,0739459;;71,15;18,00;;;
Specimen number;R9;19;20,95600;0,04800;0,011000;93,375;91,67;-0,8201;0,000;100,992;27,500;0,000;348,950;352,950;25,10;1128,083;263,177;0,000;830,300;877,900;856,600;324,750;;;;;0,00;0,00;0,00;3,00;2,21;15,214;24,636;0,57;0,52;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;547,2580;31,76813;98,1284;0,17324829;0,17324829;0,00287;2,94228;2,1683;22,036535;0,088006;21,772424;22,022001;0,0170;1,6904;0,05;4,53;0,00;0,51;41,65;;99,720;100,424;5,5037740;19,23800;1,56000;0,02000;0,0841720;;70,97;19,00;;;
E (MJ/kg);13,10;20;20,95500;0,04900;0,019000;93,000;90,50;-1,0200;0,000;100,992;27,500;0,000;353,050;358,150;25,10;1128,417;263,177;0,000;831,200;878,000;856,600;324,750;;;;;0,00;0,00;0,00;3,00;2,21;15,173;24,660;0,57;0,51;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;596,8283;17,87273;58,4027;0,33583577;0,33583577;0,00439;1,61757;2,7651;21,864168;0,100848;21,855938;22,171659;0,0196;1,9503;0,07;6,48;0,00;0,54;45,31;;123,336;100,424;6,0023020;19,07200;1,67200;0,02800;0,0926016;;70,77;20,00;;;
Initial mass (g);71,79;21;20,95500;0,06300;0,004000;91,525;89,80;-1,4501;0,000;100,988;27,500;0,000;357,650;364,150;25,10;1128,883;263,177;0,000;832,500;878,100;856,600;324,750;;;;;0,00;0,00;0,00;3,00;2,21;15,160;24,657;0,57;0,51;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;629,4209;18,98562;63,4638;0,33341471;0,33341471;0,00338;1,70289;3,3946;21,550153;0,108564;21,822719;22,219329;0,0212;2,1040;0,09;8,58;0,00;0,57;47,72;;146,659;146,892;6,3300865;18,94300;1,77000;0,02300;0,0991484;;70,34;21,00;;;
Thickness (mm);6,06;22;20,95600;0,10700;0,005000;91,050;89,11;-1,6501;0,000;100,992;27,500;0,000;361,950;369,950;25,10;1129,683;263,177;0,000;834,800;878,200;856,600;324,750;;;;;0,00;0,00;0,00;3,00;2,21;15,202;24,649;0,57;0,50;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;651,2907;39,89432;139,1131;0,16418457;0,16418457;0,00090;3,53422;4,0458;21,366101;0,116342;21,896471;22,380438;0,0228;2,2711;0,11;10,85;0,00;0,58;49,24;;169,100;146,892;6,5500310;18,86100;1,82300;0,01000;0,1035230;;70,14;22,00;;;
Surface area (cm²);100,57;23;20,95200;0,24400;-0,011000;96,150;87,34;-1,8601;0,000;100,992;27,500;0,000;366,350;375,650;25,10;1129,817;263,177;0,000;835,100;878,300;856,600;324,750;;;;;0,00;0,00;0,00;3,00;2,21;15,189;24,657;0,57;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;679,7967;18,94988;76,9832;0,36077881;0,36077881;0,00130;1,69935;4,7256;21,824090;0,136402;22,637716;23,212387;0,0278;2,7616;0,14;13,61;0,00;0,61;51,52;;190,685;191,041;6,8367149;18,81000;1,88400;0,01200;0,1058118;;69,93;23,00;;;
Sponsor;;24;20,91500;0,43000;-0,011000;94,825;86,88;-2,3301;0,000;100,992;27,500;0,000;370,650;381,350;25,10;1129,817;263,177;0,000;835,000;878,400;856,600;324,750;;;;;0,00;0,00;0,00;3,00;2,22;15,185;24,641;0,57;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;695,1768;20,02045;82,8053;0,34921265;0,34921265;-0,00195;1,78345;5,4208;21,547110;0,141690;22,612745;23,265535;0,0289;2,8753;0,17;16,49;0,00;0,62;52,58;;211,385;191,041;6,9913926;18,73800;1,93700;-0,00500;0,1096387;;69,46;24,00;;;
Manufacturer;;25;20,80500;0,71800;-0,013000;100,000;86,70;-2,5602;0,000;100,990;27,500;0,000;374,950;386,950;25,10;1129,817;263,177;0,000;834,900;878,400;856,700;324,750;;;;;0,00;0,00;0,00;3,00;2,22;15,214;24,641;0,57;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;731,8634;19,75568;81,5422;0,37256877;0,37256877;0,00170;1,76647;6,1527;22,000013;0,143686;23,355897;24,103386;0,0304;3,0208;0,20;19,51;0,00;0,66;55,50;;231,470;232,224;7,3603499;18,66300;2,00300;0,01400;0,1130907;;69,23;25,00;;;
Test start time (s);60;26;20,63400;0,95800;0,010000;95,450;86,30;-3,0602;0,000;100,992;27,500;0,000;378,650;392,050;25,10;1130,117;263,177;0,000;835,700;878,500;856,700;324,750;;;;;0,00;0,00;0,00;3,00;2,22;15,246;24,646;0,57;0,49;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;734,4306;21,05646;88,0602;0,35077922;0,35077922;0,00033;1,87074;6,8871;21,388414;0,148319;22,930674;23,742165;0,0309;3,0715;0,23;22,58;0,00;0,66;55,63;;250,765;232,224;7,3861685;18,59200;2,05300;0,00700;0,1167765;;68,73;26,00;;;
Time to ignition (s);14;27;20,34300;1,22500;0,018000;94,525;85,35;-3,2301;0,000;100,996;27,500;0,000;382,550;397,050;25,10;1130,317;263,177;0,000;836,100;878,600;856,800;324,750;;;;;0,00;0,00;0,00;3,00;2,22;15,225;24,654;0,57;0,48;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;746,1455;46,66741;207,1080;0,16079712;0,16079712;0,00369;4,15542;7,6333;21,175752;0,159476;22,936509;23,805884;0,0333;3,3114;0,26;25,89;0,00;0,67;56,64;;268,896;269,763;7,5039850;18,52500;2,11000;0,02500;0,1198707;;68,56;27,00;;;
Time to flameout (s);202;28;20,01400;1,39300;0,024000;95,150;85,42;-3,4801;0,000;100,996;27,500;0,000;386,350;402,050;25,10;1130,417;263,177;0,000;836,300;878,700;856,800;324,750;;;;;0,00;0,00;0,00;3,00;2,22;15,254;24,646;0,57;0,48;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;763,6452;18,73475;81,7025;0,40993245;0,40993245;0,00462;1,66048;8,3969;21,140903;0,158653;23,126224;24,065997;0,0335;3,3303;0,29;29,22;0,00;0,68;57,97;;286,253;269,763;7,6799801;18,46400;2,15200;0,03000;0,1229236;;68,31;28,00;;;
End of test criteria;User end of test;29;19,70100;1,56000;0,027000;96,450;85,92;-3,9900;0,000;100,992;27,500;0,000;390,250;406,950;25,10;1130,517;263,177;0,000;836,600;878,700;856,800;324,750;;;;;0,00;0,00;0,00;3,00;2,22;15,189;24,652;0,57;0,48;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;782,3423;20,13164;83,6748;0,39082845;0,39082845;0,00482;1,79120;9,1793;21,178210;0,152776;23,400893;24,402290;0,0327;3,2517;0,33;32,47;0,00;0,70;59,44;;303,037;303,866;7,8680166;18,40500;2,20800;0,03100;0,1257482;;67,80;29,00;;;
User EOT time (s);306;30;19,44200;1,67200;0,020000;94,675;86,01;-4,2201;0,000;100,996;27,500;0,000;394,150;411,850;25,10;1130,450;263,177;0,000;836,500;878,700;856,700;324,750;;;;;0,00;0,00;0,00;3,00;2,22;15,261;24,657;0,57;0,48;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;786,3255;42,16039;172,7557;0,18757121;0,18757121;0,00493;3,75439;9,9656;20,878365;0,151729;23,300127;24,346460;0,0324;3,2220;0,36;35,70;0,00;0,70;59,77;;319,080;303,866;7,9080752;18,35400;2,25200;0,03200;0,1282367;;67,57;30,00;;;
MLR EOT mass (g/m²);;31;19,23800;1,77000;0,028000;97,050;85,34;-4,4601;0,000;100,992;27,500;0,000;398,150;416,850;25,10;1130,383;263,177;0,000;836,100;878,800;856,800;324,750;;;;;0,00;0,00;0,00;3,00;2,22;15,246;24,657;0,57;0,48;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;810,1800;19,75629;84,2247;0,41242472;0,41242472;0,00144;1,75290;10,7758;21,032166;0,159524;23,709969;24,823561;0,0347;3,4539;0,39;39,15;0,00;0,72;61,49;;334,538;335,633;8,1479804;18,29900;2,29400;0,01300;0,1311993;;67,33;31,00;;;
MLR time period (s);;32;19,07200;1,82300;0,023000;95,525;84,58;-4,9900;0,000;100,994;27,500;0,000;401,950;421,650;25,10;1130,717;263,177;0,000;837,000;878,900;856,800;324,750;;;;;0,00;0,00;0,00;3,00;2,22;15,259;24,668;0,57;0,48;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;811,5316;20,88275;93,7401;0,39082845;0,39082845;0,00069;1,84766;11,5873;20,767399;0,168454;23,634935;24,793308;0,0366;3,6429;0,43;42,79;0,00;0,72;61,56;;349,423;335,633;8,1615736;18,26200;2,32000;0,00900;0,1331198;;66,80;32,00;;;
Truncate graphs at EOT;;33;18,94300;1,88400;0,010000;93,950;83,82;-5,2001;0,000;100,990;27,500;0,000;405,550;426,250;25,10;1130,883;263,177;0,000;837,500;878,900;856,800;324,750;;;;;0,00;0,00;0,00;3,00;2,22;15,238;24,665;0,57;0,47;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;811,3090;45,52444;214,9391;0,17922974;0,17922974;0,00141;4,03574;12,3986;20,503868;0,177472;23,544012;24,745741;0,0385;3,8305;0,47;46,62;0,00;0,72;61,59;;363,422;364,428;8,1593342;18,22600;2,35300;0,01300;0,1348178;;66,59;33,00;;;
