General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,93900;0,06600;0,014000;116,575;100,00;0,0000;0,000;100,992;27,500;0,000;342,050;344,750;25,10;1137,717;263,170;0,000;854,800;879,600;859,300;324,750;;;;;0,00;0,00;0,00;3,00;2,20;15,204;24,649;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;0,00192;Infinity;0,0000;24,869526;0,001015;24,085595;24,275716;0,0002;0,0215;0,00;0,02;0,00;0,00;0,07;;;;0,0000000;20,95400;0,05000;0,01400;-0,0000444;;71,79;0,00;;;
Standard used;ISO 5660-1;1;20,93800;0,06300;0,000000;115,225;100,04;0,0000;0,000;100,992;27,500;0,000;342,150;344,850;25,10;1137,450;263,170;0,000;854,400;879,300;859,200;324,750;;;;;0,00;0,00;0,00;3,00;2,20;15,164;24,625;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,0705;;;-0,00166829;-0,00166829;-0,00114;-0,24179;0,0011;24,721492;0,000635;23,949227;24,138217;0,0001;0,0134;0,00;0,03;0,00;0,00;0,07;;0,535;1,071;0,0107664;20,95400;0,04900;0,00000;0,0001455;;71,79;1,00;;;
Date of test;17.03.2026;2;20,94100;0,06100;-0,011000;115,525;100,08;0,0000;0,000;100,992;27,400;0,000;342,050;344,750;25,10;1135,083;263,170;0,000;847,600;879,100;859,100;324,750;;;;;0,00;0,00;0,00;3,00;2,20;15,172;24,638;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,2845;;;0,01251221;0,01251221;-0,00267;0,03229;0,0024;24,757272;0,000254;23,976879;24,166143;0,0001;0,0054;0,00;0,04;0,00;0,00;0,04;;0,856;1,071;0,0129179;20,95500;0,04900;-0,00700;0,0001737;;71,79;2,00;;;
Time of test;16:07;3;20,94100;0,05800;-0,010000;111,700;100,04;-0,0200;0,000;100,988;27,400;0,000;342,050;344,750;25,10;1133,083;263,170;0,000;842,000;878,900;858,900;324,750;;;;;0,00;0,00;0,00;3,00;2,20;15,172;24,636;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,1223;;;0,00583903;0,00583903;-0,00026;0,06803;0,0035;24,343969;0,000609;23,576605;23,762708;0,0001;0,0126;0,00;0,05;0,00;0,00;0,10;;0,972;1,088;0,0112872;20,95300;0,04900;0,00400;0,0001552;;71,77;3,00;;;
Heat flux (kW/m²);75;4;20,94300;0,05700;-0,003000;119,175;100,02;-0,0100;0,000;100,996;27,400;0,000;341,850;344,650;25,10;1131,583;263,170;0,000;838,000;878,700;858,600;324,750;;;;;0,00;0,00;0,00;3,00;2,20;15,145;24,646;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,5911;;;-0,00750732;-0,00750732;-0,00338;-0,05467;0,0051;25,152687;0,000789;24,345586;24,544994;0,0002;0,0169;0,00;0,07;0,00;0,00;0,05;;1,068;1,088;0,0160020;20,95500;0,04900;-0,01000;0,0002117;;71,78;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,94500;0,05500;-0,010000;114,775;100,03;-0,0100;0,000;100,992;27,500;0,000;341,750;344,450;25,10;1130,250;263,170;0,000;834,400;878,500;858,400;324,750;;;;;0,00;0,00;0,00;3,00;2,20;15,151;24,641;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;0,00060;Infinity;0,0051;24,687606;0,000723;23,888439;24,077170;0,0002;0,0152;0,00;0,08;0,00;0,00;0,04;;1,014;0,877;0,0000000;20,95500;0,04900;0,00800;-0,0000162;;71,78;5,00;;;
Sampling interval (s);1;6;20,94700;0,05300;0,011000;115,725;100,01;-0,0100;0,000;100,996;27,500;0,000;341,650;344,350;25,10;1128,883;263,170;0,000;830,900;878,200;858,100;324,750;;;;;0,00;0,00;0,00;3,00;2,20;15,128;24,630;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,6281;;;0,00583903;0,00583903;-0,00114;0,06928;0,0057;24,793194;0,000886;23,983589;24,173127;0,0002;0,0187;0,00;0,10;0,00;0,00;0,04;;0,897;0,877;0,0063168;20,95500;0,04900;0,00000;0,0000851;;71,78;6,00;;;
Separation (mm);25;7;20,94900;0,05200;0,009000;115,975;99,99;-0,0200;0,000;100,990;27,500;0,000;341,650;344,350;25,10;1128,317;263,170;0,000;829,600;878,000;857,900;324,750;;;;;0,00;0,00;0,00;3,00;2,20;15,160;24,660;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00583903;0,00583903;0,00148;0,00433;0,0057;24,819960;0,001101;24,009481;24,199224;0,0002;0,0232;0,00;0,13;0,00;0,00;0,02;;0,814;0,627;0,0000000;20,95600;0,04800;0,01200;-0,0001145;;71,77;7,00;;;
Orientation;hor;8;20,95100;0,05100;0,022000;120,425;100,02;-0,0200;0,000;100,992;27,500;0,000;341,650;344,250;25,10;1127,683;263,170;0,000;828,200;877,800;857,600;324,750;;;;;0,00;0,00;0,00;3,00;2,20;15,175;24,646;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;-0,00166829;-0,00166829;0,00129;-0,01546;0,0057;25,291653;0,000824;24,465771;24,651959;0,0002;0,0177;0,00;0,14;0,00;0,00;0,05;;0,712;0,627;0,0000000;20,95500;0,04800;0,01100;-0,0000415;;71,77;8,00;;;
Edge frame?;N;9;20,95200;0,05000;0,015000;115,200;100,02;-0,0200;0,000;100,992;27,500;0,000;341,550;344,250;25,10;1127,283;263,170;0,000;827,200;877,700;857,500;324,750;;;;;0,00;0,00;0,00;3,00;2,20;15,151;24,652;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00583903;0,00583903;0,00300;0,00432;0,0057;24,740513;0,000775;23,925623;24,114758;0,0002;0,0163;0,00;0,16;0,00;0,00;0,04;;0,633;0,487;0,0000000;20,95500;0,04800;0,01900;-0,0001428;;71,77;9,00;;;
Grid?;N;10;20,95200;0,05000;0,014000;113,125;100,00;-0,0300;0,000;100,992;27,500;0,000;341,450;344,150;25,10;1126,983;263,170;0,000;826,500;877,600;857,400;324,750;;;;;0,00;0,00;0,00;3,00;2,20;15,173;24,646;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00500488;0,00500488;-0,00027;0,07994;0,0057;24,520274;0,001025;23,705696;23,893148;0,0002;0,0214;0,00;0,18;0,00;0,00;0,02;;0,570;0,487;0,0000000;20,95600;0,04900;0,00400;-0,0000259;;71,76;10,00;;;
Non-scrubbed?;;11;20,95400;0,04900;0,014000;117,550;100,03;-0,0300;0,000;100,992;27,500;0,000;341,450;344,150;25,10;1126,783;263,170;0,000;826,200;877,500;857,200;324,750;;;;;0,00;0,00;0,00;3,00;2,20;15,194;24,652;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,1882;;;0,00417074;0,00417074;-0,00005;1,38126;0,0059;24,995242;0,000696;24,164885;24,355968;0,0001;0,0148;0,00;0,20;0,00;0,01;0,13;;0,526;0,416;0,0018929;20,95200;0,06300;0,00500;0,0000257;;71,76;11,00;;;
Substrate used? {Y/N};;12;20,95400;0,04900;0,000000;111,400;99,99;-0,0400;0,000;100,992;27,500;0,000;341,450;344,150;25,10;1126,817;263,170;0,000;826,400;877,500;857,100;324,750;;;;;0,00;0,00;0,00;3,00;2,21;15,194;24,652;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;13,8040;;;0,00999959;0,00999959;-0,00348;2,19868;0,0197;24,332607;0,001122;23,524263;23,710280;0,0002;0,0232;0,00;0,22;0,00;0,02;1,11;;1,066;0,416;0,1388267;20,91500;0,10700;-0,01100;0,0019054;;71,75;12,00;;;
Substrate;;13;20,95400;0,04900;-0,007000;116,550;99,97;-0,0500;0,000;100,992;27,500;0,000;341,450;344,050;25,10;1126,583;263,170;0,000;825,800;877,500;857,000;324,750;;;;;0,00;0,00;0,00;3,00;2,21;15,175;24,649;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;50,4596;0,00000;0,0000;0,01426188;0,01426188;-0,00356;5,23410;0,0701;24,888698;0,001302;24,061880;24,245102;0,0003;0,0275;0,00;0,25;0,00;0,07;4,15;;3,455;4,248;0,5074719;20,80500;0,24400;-0,01100;0,0068152;;71,74;13,00;;;
Additional preparation details;;14;20,95500;0,04900;0,004000;114,625;99,97;-0,0702;0,000;100,994;27,500;0,000;341,450;344,050;25,10;1126,617;263,170;0,000;826,000;877,500;856,900;324,750;;;;;0,00;0,00;0,00;3,00;2,21;15,214;24,638;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;108,6905;46,80144;11,4763;0,02335612;0,02335612;-0,00397;6,17642;0,1788;24,682306;0,001271;23,862345;24,044046;0,0003;0,0267;0,00;0,27;0,00;0,14;8,76;;8,892;4,248;1,0931001;20,63400;0,43000;-0,01300;0,0148162;;71,72;14,00;;;
;;15;20,95300;0,04900;-0,010000;114,625;99,97;-0,1001;0,000;100,994;27,500;0,000;341,450;344,050;25,10;1126,783;263,170;0,000;826,500;877,500;856,900;324,750;;;;;0,00;0,00;0,00;3,00;2,21;15,160;24,652;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;208,4899;89,93113;11,4964;0,02331543;0,02331543;0,00104;10,85108;0,3873;24,682306;0,001271;23,862345;24,044046;0,0003;0,0267;0,00;0,30;0,00;0,25;16,65;;18,872;20,945;2,0967830;20,34300;0,71800;0,01000;0,0284641;;71,69;15,00;;;
Specimen;;16;20,95500;0,04900;0,008000;113,050;99,58;-0,1602;0,000;100,996;27,500;0,000;341,850;344,450;25,10;1126,983;263,170;0,000;827,100;877,600;856,800;324,750;;;;;0,00;0,00;0,00;3,00;2,21;15,164;24,649;0,57;0,56;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;327,7083;15,51437;5,1100;0,21243286;0,21243286;0,00276;1,60543;0,7150;24,497800;0,005180;23,711714;23,892058;0,0011;0,1079;0,00;0,41;0,00;0,34;25,39;;34,449;20,945;3,2957627;20,01400;0,95800;0,01800;0,0451563;;71,63;16,00;;;
