General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,92600;0,06300;0,021000;116,325;100,00;0,0000;0,000;101,008;33,900;0,005;319,250;320,750;28,30;846,617;263,196;0,000;575,000;589,800;555,600;308,850;;;;;0,00;0,00;0,00;3,00;3,73;15,238;27,648;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;0,00271;Infinity;0,0000;26,378647;0,000016;23,844251;23,956284;0,0000;0,0003;0,00;0,00;0,00;0,00;-0,07;;;;0,0000000;20,94000;0,04800;0,02100;-0,0004073;;71,38;0,00;;;
Standard used;ISO 5660-1;1;20,92500;0,06100;0,024000;119,750;100,01;0,0000;0,000;101,008;33,900;0,005;319,250;320,750;28,40;847,183;263,196;0,000;576,600;589,900;555,600;308,950;;;;;0,00;0,00;0,00;3,00;3,73;15,185;27,637;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00166829;0,00166829;0,00227;-0,23718;0,0000;26,764168;-0,000054;24,192733;24,306403;0,0000;-0,0012;0,00;0,00;0,00;0,00;-0,10;;0,000;0,000;0,0000000;20,94100;0,04700;0,01900;-0,0004297;;71,38;1,00;;;
Date of test;02.07.2026;2;20,92700;0,06000;0,012000;120,075;100,01;0,0000;0,000;101,008;33,900;0,005;319,250;320,650;28,40;846,617;263,196;0,000;574,900;589,900;555,600;308,850;;;;;0,00;0,00;0,00;3,00;3,74;15,160;27,659;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;-0,00834147;-0,00834147;0,00015;0,04750;0,0000;26,800463;-0,000054;24,225540;24,331776;0,0000;-0,0012;0,00;0,00;0,00;0,00;-0,07;;0,000;0,000;0,0000000;20,94000;0,04700;0,01000;-0,0002553;;71,38;2,00;;;
Time of test;13:27;3;20,92600;0,05900;0,006000;118,325;100,00;0,0200;0,000;101,008;33,900;0,005;319,250;320,750;28,40;845,983;263,196;0,000;573,000;590,000;555,500;308,950;;;;;0,00;0,00;0,00;3,00;3,74;15,177;27,648;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;-0,03503418;-0,03503418;-0,00149;0,01123;0,0000;26,604447;-0,000002;24,048357;24,161349;0,0000;0,0000;0,00;0,00;0,00;0,00;-0,07;;0,000;0,000;0,0000000;20,94000;0,04700;0,00300;-0,0001667;;71,40;3,00;;;
Heat flux (kW/m²);25;4;20,92800;0,05600;-0,018000;121,050;100,01;0,0601;0,000;101,008;33,900;0,005;319,250;320,650;28,30;845,483;263,196;0,000;571,600;589,900;555,500;308,950;;;;;0,00;0,00;0,00;3,00;3,74;15,194;27,664;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;1,9015;;;-0,02168783;-0,02168783;-0,00816;-0,00063;0,0019;26,909052;-0,000089;24,323696;24,430362;0,0000;-0,0019;0,00;0,00;-0,01;0,00;-0,04;;0,238;0,000;0,0190266;20,93900;0,04800;-0,02500;0,0002354;;71,44;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,92900;0,05300;-0,009000;113,350;100,00;0,0601;0,000;101,008;33,800;0,005;319,250;320,850;28,30;845,117;263,196;0,000;570,500;589,900;555,500;308,950;;;;;0,00;0,00;0,00;3,00;3,74;15,172;27,645;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,5310;;;0,00333659;0,00333659;-0,00353;-0,11538;0,0024;26,039147;-0,000019;23,537370;23,655333;0,0000;-0,0004;0,00;0,00;0,00;0,00;-0,01;;0,433;0,106;0,0053136;20,93800;0,04700;-0,00600;0,0000680;;71,44;5,00;;;
Sampling interval (s);1;6;20,93000;0,05200;-0,007000;118,075;100,00;0,0601;0,000;101,008;33,800;0,005;319,250;320,750;28,30;844,850;263,196;0,000;569,700;589,900;555,500;308,950;;;;;0,00;0,00;0,00;3,00;3,74;15,202;27,656;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,1650;;;-0,00084432;-0,00084432;-0,00384;0,46537;0,0026;26,576327;0,000033;24,022938;24,135810;0,0000;0,0007;0,00;0,00;0,00;0,00;-0,04;;0,419;0,106;0,0016512;20,93900;0,04700;-0,00700;0,0000203;;71,44;6,00;;;
Separation (mm);25;7;20,93200;0,05100;0,010000;113,125;100,00;0,0601;0,000;101,008;33,800;0,005;319,150;320,750;28,30;844,683;263,196;0,000;569,200;589,900;555,500;308,950;;;;;0,00;0,00;0,00;3,00;3,74;15,179;27,669;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00591024;0,00591024;-0,00054;0,00224;0,0026;26,017364;0,000016;23,510313;23,628178;0,0000;0,0003;0,00;0,00;0,00;0,00;-0,04;;0,371;0,152;0,0000000;20,93900;0,04800;0,00700;-0,0001696;;71,44;7,00;;;
Orientation;hor;8;20,93400;0,05000;0,012000;114,925;100,01;0,0499;0,000;101,008;33,800;0,005;319,150;320,550;28,30;844,583;263,196;0,000;568,800;590,000;555,500;308,950;;;;;0,00;0,00;0,00;3,00;3,74;15,210;27,661;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00675456;0,00675456;0,00408;-0,05740;0,0026;26,223537;-0,000037;23,696619;23,800568;0,0000;-0,0008;0,00;0,00;0,00;0,00;-0,04;;0,325;0,152;0,0000000;20,93900;0,04700;0,02700;-0,0004102;;71,43;8,00;;;
